author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
T-Africa2000,Much improved,"We had a business dinner at 1415 this week and we were very impressed with the service levels and even more with the quality of the food. The Nederburg red by the glass was delicious and perfectly cooled. They served us a complimentary asparagus soup...entrée which was amazing. We then ordered the jumbo prawns and the lamb chops, both outstanding and beautifully presented. The sauces were delicious and the sides were excellent. It’s a pity the restaurant is inside the hotel and doesn’t have an amazing atmosphere because the food is certainly up to it.More",40,Jan-20,4,1415 Steakhouse Seafood Restaurant
sunilt1960,Calm and Relaxing,"Had dinner at this restaurant while staying in Eko hotel on a business trip. A very relaxing place with a very good ambience and excellent décor secluded from the busy areas of the hotel complex. Didn't find many people when I visited, but enjoyed the...live music.  Sea food was excellent and served in style along with the soup. However slightly pricey. Service was good and the waiters were very friendly. They can improve on the drinks and needs to update the menu. Hopes to go there again to try more of the menu, next time when I stay at Eko hotel.More",45,Feb-19,4,1415 Steakhouse Seafood Restaurant
ooobabatunde,Better,Thank you for staying with us in Eko Hotels & Suites. It is always heartwarming to hear that our restaurants are appreciated and we are delighted your dining experience at our 1415 steakhouse & seafood restaurant made your stay a memorable one. We appreciate your...More,45,Jan-19,4,1415 Steakhouse Seafood Restaurant
MrTraveller420,1415 Steakhouse,"Went over to the old location of the Steakhouse and was told they've now been moved to 1415. 
They did not disappoint. The combo as a seafood Steakhouse is excellent.  My salmon tartar was perfect, my beef tenderloin was impressive and overall this was one...of my finer meals in Lagos. The service was superb. I was very impressed.  We even got to thank the chef at the end our meal. 

Well done guys.More",40,Nov-18,4,1415 Steakhouse Seafood Restaurant
Jan P,Great restaurant,Thank you for visiting us in Eko Hotels & Suites. We are glad you enjoyed your meal at our 1415 Steakhouse & Seafood Restaurant and we appreciate your feedback as this is the only way we can serve you better. We are committed to ensuring...More,40,Dec-18,4,1415 Steakhouse Seafood Restaurant
Reshu M,Never try,We visited 1415 Steakhouse during a business visit to Eko Hotel with my colleagues. Food is amazing. You should try the Beef Carpaccio and the Filet Mignon from American Beef! Service was very attentive and the staff accommodated all our dietary requests with happiness! You...should try it! Harry the Manager and his team are doing a fantastic work!More,40,Aug-18,4,1415 Steakhouse Seafood Restaurant
Onyeabor E,"Superb lunch and the best of service

22 April 2018",Thank you for visiting 1415 Steakhouse & Seafood Restaurant. It is always heartwarming to hear that our restaurants are appreciated and we are delighted the dedicated service of our restaurant staff and manager made your dining experience a memorable one. We are committed to ensuring...More,40,Apr-18,4,1415 Steakhouse Seafood Restaurant
wooddonna53,Great dinner with a wonderful service,with the commodity the it's in the Eko Hotels compound. Great variety from steaks to Mexican Fajitas.,50,Mar-18,4,1415 Steakhouse Seafood Restaurant
lyon94,Dinner,The food is not good.. most of the menu items are not there ..service is slow and you will end up waiting for food very long,50,Apr-18,4,1415 Steakhouse Seafood Restaurant
eegiaye,great service excellent meal,Me and my family  had a superb lunch the fisherman linguini and  a nice warm fondant cake for desert was on point thanks to Mr Friday thanks for that great service.,50,Mar-18,4,1415 Steakhouse Seafood Restaurant
Chris H,Expensive Italian with lousy Service,"I never thought I'd be able to say this about any restaurant in Lagos but 1415 is one of the best experiences I've had since being in Nigeria for the last 1 year with a 2 days stay.Great night with a young well smiling, focus...and  favorite Waiter OLA......truly a great night and do hope to be back soon. thumb up.More",10,Mar-18,4,1415 Steakhouse Seafood Restaurant
_kaiserrey,Below Par,"Restaurant beautiful, staff excellent, food wonderful.I had Lasagna Emiliana& a nice tiramisu.and  the staff beauty was an excellent waitress with a beautiful smile...keep up the smile",50,Mar-18,4,1415 Steakhouse Seafood Restaurant
Kryssie10,THE BEST!!,"one of the best meals I have had in a long time, and service was dope. that feeling when your waitress is all smiles and welcoming, Thanks Opeyemi, yeah got your name saved up. well done manager, great job you're doing.",50,Oct-17,4,1415 Steakhouse Seafood Restaurant
lapeml,Great service,"The service was a bit iffy and all the staff wanted to do was prepare the restaurant for breakfast so the were hurrying the few patrons they had. The meal itself was pretty good, with Italian cold cuts to start and we both had chicken...main courses. Generally a good meal but not cheap given its location but spoilt by waiters in a hurryMore",50,Sep-17,4,1415 Steakhouse Seafood Restaurant
