author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
LeeWAberdeen,Good food at an affordable price,"The place has a variety of Nigerian and intercontinental dishes. The price is affordable and the dishes are tasty.
I plan to come back again",30,Mar-23,3,Black Bell
redlace2434,the reason i don't like it,there are flies flying around the food bad service people don't awnser to other people and they talk badly,40,Nov-22,3,Black Bell
HRM_Winnie,My eating experience,The food tastes so nice like homemade.... I love the environment too😍 Restaurant filled with all kinds of dish and also situated in a nice environment,10,Jun-22,3,Black Bell
Lumilowe,Order over the phone,Tried to order over the phone the person on the other end was busy talking to someone else and customer service was -5,50,Dec-21,3,Black Bell
Tribabs,Poor customers service,Black Bell has wonderful meals but the down sides is the customer service personnels. How can order and pay for food only to be told 10 mins later that the food is unavailable? Not the 1st time the service delivery is poor!,10,Jun-21,3,Black Bell
Pioneer759269,Trying to Order via Whatsapp,Not impressed. I tried to order lunch via whatsapp and i was told to come pick up order myself then why on earth did i make the order.Sighs,20,Nov-20,3,Black Bell
harrypN6936AEh,Trying to Order over the phone,Not impressed with the way I was attended to over the phone trying to place an order and it was like I was say black bell should pay for my food. The attendant didn’t even take my order complete and the just cut me off...the phone. That’s insulting and you should(black bell)take notes so you don’t end up losing customers trying you out for the first time. I tried black bell at lekki and I say it’s was a different thing for ikeja.More,10,Nov-20,3,Black Bell
ogunduni,Just passing,"I visited black bell sangotedo for the first time and I was impressed. The atmosphere is soo welcoming and comfortable, soo good an ambience my baby caught some zzzzzz's. The food, omg! Had their special rice and Asun. Let's just say I'm blown 😍😍😍",10,Feb-20,3,Black Bell
Jasmine M,Friday Night Fun!,"My boyfriend and I visited this spot on a Friday night. We got food from the main level and took it upstairs to the lounge. The food was good and fresh, we enjoyed jollof rice, plantain, and a turkey wing. The lounge was cute and...comfy! There was live music, the musicians were interactive and lively. We went back to this place for lunch on a weekday. Jollof rice wasn’t available and the staff was a bit disorganized. They seem to get a big lunch rush. Overall we would recommend this place to others, especially the lounge for relaxing entertainment.More",50,Jan-20,3,Black Bell
tennysonm2019,Excellent Services,"This is one of the best restaurants I have been to, the ambience and the atmosphere is unique, the food variety is wide and very delicious.",40,Dec-19,3,Black Bell
Olelebisa,Terrible Sassy staff upon spoilt turkey,"I just had a large meal of seafood okra with turkey and snail. While I have been a daily lunch time customer of the place, today the turkey was spoilt and the attendant at the cash point sarcastically said ‘eiya sorry’ make ridicule of me...in public for a service I’m paying for. I don’t think you’d like to be treated like that now would you?More",50,Dec-19,3,Black Bell
popeourfriend,A lovely visit,I was with friends for a birthday party. I ordered the chicken salad. It was pricey but well worth the time and very lovely.A lovely barbeque fish was ordered too... the atmosphere was nice and cosy upstairs,30,Oct-19,3,Black Bell
rooony,Choose well!,"The food is good in parts.Some dishes are very tasty and some just hang in there.So choose well o! Restaurant is clean, spacious and comfortable.Parking is crammed but functional. I like their fish, chicken and varieties of rice.They have some tasty veg options too.",40,Feb-19,3,Black Bell
Ayo O,Affordable Tasty Meals,"Black Bell is a well located eatery on the busy Adeola Odeku street. The building facade and the interior are contemporary and very clean, and the parking lot takes about ten cars.

You may enjoy sweet treats from the bakery or help yourself to the...broad range of local delicacies from various parts of Nigeria. 

However, you may be required, mid-meal, to come out to relocate your vehicle. 
Furthermore, the serving staff members need to smile and exude warmth, as you wonder if they think their tasks drudgery 

Overall, a good experience with room for improvement.More",30,Sep-18,3,Black Bell
