author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
Excalibernono,Poison sushi,"This is what was sold to me today that is as good as poison.  The smell is so bad that even a blind person will know it was spoilt.  Pls note that this is my first time ordering sushi from your restaurant, and it surely...will be the last time.   I Normally eat sushi at bungalows and I frequently eat sushi abroad but I will give your resturant a PhD award of the most terrible sushi I have ever ordered that is not fit for Human consumption and the best place for it is in the Dustbin.  Thank you for wasting my money and giving me a truly terrible experience with your resturant but I shall let the world know never to come and buy food at your resturant.More",40,Jan-23,4,Bonzai Restaurant
ummyd2019,Delicious Sushi,"For the past five years I’ve always come here alone. That’s how amazing it is 😋

Always go for a sushi platter, I promise you  won’t regret it. Always fresh and yummy. And you can always ask for a fish to be replaced for another...one. Average sushi platter costs N10,500.

Cheese cake tastes soo good.

Amazing ambiance, good food,great music, love it!More",45,Feb-20,4,Bonzai Restaurant
JoanO539,Amazing Experience,"I went to Bonzai with a group of 3 other girlfriends for  dinner at their Tepanyaki  station and it was an amazing !!
From start to finish, you could tell that  they went to great lengths to ensure we had a good evening. 
The Sushi...was delicious, the bread was nice, the soup was very tasty and the dinner itself was sumptuous. We had lobsters, chicken, fish and prawns and there were no complaints on any item. Rice was delicious the vegetables were crunchy and all the protein deliciously seasoned. The show was nice too.

Service was Excellent. It would have been nice to have my preferred wine choice in stock and not have to buy a more expensive wine, but that didn't dampen our evening.   There was even a surprise Desert ""mothers day""  ice cream at the end, all on the house. That was a very nice touch. We all had a very enjoyable time. We will be back for sure!More",45,Mar-19,4,Bonzai Restaurant
NahlaFoodLover,Best restaurant in Lagos,"Mrs / Miss  JoanO539
Thanks for your recent visit to BONZAI RESTAURANT on 1303 Akin Adesola Victoria Island.
We crave perfection and to serve to you better.
We are looking forward to welcoming you back very soon
Sincerely yours
Executive assistant",35,Feb-19,4,Bonzai Restaurant
Timi's G,Bonzai!,"I went to Bonzai with a group of friends for their Tapanyaki and it was just delicious !!
The show was nice, the food was great and the service was excellent. We all enjoyed our night. 
Make sure to try their cocktails and dessert as...well!!! 
Also love their instagram page. 
I will definitely be coming back soon !More",10,Jan-19,4,Bonzai Restaurant
Oladele O,Great for family time,"Hello  NahlaFoodLover
We would like to thank you very much for this positive Review, following to your recent visit at BONZAI RESTAURANT on 1303 Akin Adesola Victoria Island.
We are   looking forward to welcoming you back very soon.
We wont rest on our Best but...More",50,Dec-18,4,Bonzai Restaurant
bruceg819,"Good food. Service, not so much.","Awesome sushi, amazing service. This was our 2nd visit, we will surely visit again. Highly recommended.",50,Mar-18,4,Bonzai Restaurant
Compass690853,Never Again,"We would like to thank you very much for this positive Review following to your recent visit at BONZAI RESTAURANT on 1303 Akin Adesola Victoria Island.
We are   looking forward to welcoming you back very soon
Sincerely yours,
The executive assistant",50,Feb-18,4,Bonzai Restaurant
NaomiBabs,Lovely!,Great place for a family meal. Very rich menu and the staff were friendly with the kids. Price is reasonable as well. Only downside was that Man Utd lost to Liverpool while we were having our meal.... can’t really blame them for thatMore,50,Dec-17,4,Bonzai Restaurant
ZeeGoes,Basic,"We would like to thank you very much for your nice Review following to your recent visit at BONZAI RESTAURANT on 1303 Akin Adesola Victoria Island.
I must say you have a very good sense of humor 
We are   looking forward to welcoming you back...More",50,Nov-17,4,Bonzai Restaurant
Tonia Eka A,Excellent sushi,"Good Sushi and Sashimi. The decor is nice and the open  cooking stations looked interesting.

The large bar dominates the restaurant and the patrons are permitted to smoke. That destroys the taste buds so the taste of the food is lost.

Service was really slow....On balance, I won't be back.More",30,Jul-17,4,Bonzai Restaurant
Sandra A,Amazing!!!!,"Hello Mr. Bruce.

First of all, we want to thank you for your visit on Sunday and your nice comments on our Sushi and Sashimi.

Concerning apparently the smoking of a guest, there is in the restaurant a smoking area where 2 huge ceiling extractors...More",10,Jul-17,4,Bonzai Restaurant
JiffyJocks,What A Find In Lagos,"This was the worst dining experience I have ever had & I am so shocked at this becos I have been to Bonsai twice in the past,they are under a new management & it's a totally waste of money,food is crap,cocktail is crap,service is crap.More",40,Mar-17,4,Bonzai Restaurant
Ugonna I,"Great atmosphere, fantastic Sushi!","We are really sorry that you had an odd experience with us.
We are definitely not under a new management,we are still the same one since inception 15 years ago,except very few usual changes of various collaborators (waiters,Bar tenders,runners, accountants, etc..) but all to serve...More",10,Feb-17,4,Bonzai Restaurant
Vania M,Very nice teppanyaki show and food!,"Service was wonderful, helpful and quick enough. Food was okay but tbh I'm not a sushi person. However, my sister is and she loved the food. So yeah, overall it was a nice and surprisingly filling dinner.More",50,Dec-16,4,Bonzai Restaurant
ReviewsByNS,Best cheesecake in Lagos!,Not tried the mains for a long time. It's was so so the last time I tried it. They have revamped the interiors ..have been going here mostly to take out the cheeesecake!,40,Nov-16,4,Bonzai Restaurant
