author_name,review_title,review_text,author_rating,visit_date,overall_rating
387christians,Horrible,I ordered via Jumia. Food arrived totally spilled. No way to contact the restaurant. Very disappointing.,40,July 2020,4.0
TheLuckyTraveller14,Weak and unprofessional service,"The waiter tried to ripp-me-off by telling that the price list was old and the prices changed, he told that I needed to pay 1500 naira more that on the pricelist.
The new pricelist wasn’t printed yet but the chicken became more expensive, I ordered...a beef burger?
I requested the manager, after some time she came and I ended up paying what was on the pricelist listed. 
About the burger: it was dry, and due of the argument it didn’t taste me anymore. 
I pay left and will not come back!More",35,January 2020,4.0
Preesca,Chill Vibes,"The atmosphere was very serene, good food, good vibes. 100% recommend. I love a place where i can think and i got just that",35,September 2019,4.0
_abisheart,brilliant live music and great food,"Took business visitors from out of town with a friend who is a regular there as we wanted a fun environment to unwind after a busy work day. The evening we went there was a live band which was great and played a good range...of music.
The bbq chicken wings are very tasty as is the halloumi and avocado wrap. cocktails are very good also.
better to book in advance as it’s usually very packed. 
if you want good food and a lively environment , Bottles won’t disappoint 👍🏽👍🏽👍🏽More",35,October 2019,4.0
Keith B,Great Nite Out,"Although this restaurant/ bar / club seems way up a back street in Lagos, it is well worth a visit. Do book ahead though as it is really popular with a mix of ex-pats and locals. A tex-mex menu should suit most tastes but best...of all are the frozen margaritas - order a pitcher!. Live music, dancing if you wish to but if you want to talk with your companions, book a table in the outdoor bar area - all inside but no roof, cooler and less noisy. Plenty of security,popular and classy. Smart but casual or dress to impress and you are sure to enjoy.More",40,August 2019,4.0
kamilejan,Very nice Mexican place!,"It’s a place for expats mainly, at least when we went on a Saturday night. Really nice food, good Margaritas, nice deco and you can good pretty good shisha. Great ambiance overall!",10,March 2019,4.0
KaiUWulff,Lagos adaptation of TexMex ..,"A little loud for my taste but great service, interesting food combinations and unbeatable selection of cocktails like Margaritas and fruit mixers. On the weekend they have life bands, I would say, rather sit in the ""beergarden"" then. ;-)",20,April 2019,4.0
vasaainei,Good place but the location,"Though the place is very congested it's not that bad. I prefer seating outdoor. Live muzik on Wednesday is to die for. Despite all, the road to the place is scary and secluded place. Hope more lights and better roads can serves the purpose.",40,December 2018,4.0
Ricalea,Always good...and fun...,"Food is always good with lot of flavours in dishes.
The atmosphere is always amazing with good music and nice crowd.
One of a good restaurant and entertaining place in Lagos",50,October 2018,4.0
Genviper,Nice place,"A good Tex mex restaurant with concert on wednesday evening which means it is full of people and it is better to book a table. 
Quality of food is good. Service a bit too long.",40,January 2019,4.0
Edvard F,Great Pub,"went to Bottle with 2 work colleagues. I had no expectations but I left feeling that this is a well run pub offering great pub style food. Its a pub make no mistakes and it delivers what it says it will on the tin. The...waitresses were friendly and service was quick and fast. the food we had was good, well cooked and arrived hot. I understand that Wednesday is the best day to go, I liked the place.More",50,November 2018,4.0
Todd J,Great atmosphere and food,"It was quite a shock when we found a good Mexican restaurant in West Africa!  The staff is always super nice, the food consistent and the atmosphere is very festive!  Definitely worth a visit!",40,December 2017,4.0
prestonit3,One of the best Mexican restaurants,"I was pleasantly suprised finding Bottles in Lagos. The restaurant scene in Lagos is perhaps not the best so this restaurant is a well hidden gem! Not only do they make awesome mexican food, their pitcher margaritas cools you down in the humid heat of...Lagos! Definitly a top notch place for good solid food and great atmosphere!More",30,November 2017,4.0
530clemens,Nice place to hangout,Went there on Wednesday with a live band playing. Atmosphere was awesome. Severs were quick and the prices were reasonable.,40,July 2018,4.0
David A,Not bad to eat and hangout,"Great people wonderful service, We had a wonderful evening and a dinner worth remembering here at this restaurant on Tuesday this week.",40,July 2018,4.0
95dimm,Seriously.?????,The waiter who took our order had a small verbal with the bar lady in front of us...the wakamole was just disgusting (smashed avocado ).and be careful on yr order...it’s the first place I visited and they charge you 20 %of yr bill for taxes...More,40,July 2018,4.0
emeka3669,The mariachi weren't plaging... But friends made it worthwhile.,"A group of food enthusiasts (About 20 if us) decided to meet up at bottles for dinner and bonding over food and football. 

It was a wonderful time. Pretty light crowd in a Saturday evening which suited us just fine.

The ambience is very relaxed....More",35,June 2018,4.0
622franckl,music on wednesday night,"went there on recommendations
Food looks good, drinks are nice
Music played by a band on wedneday nights",35,July 2018,4.0
DDP917,Great Place,"I have been here a few times and each visit has been different.  They have set theme nights from unlimited beer and wings to live bands and also salsa dancing. The food is nice, the iced margaritas are delicious. A great place to meet with...More",35,June 2018,4.0
JessicaAbuDhabi,"Live Music, Tasty Appetizers, Vibrant Setting","I went out on a Wednesday night with a few friends.  The setting was fun and relaxing.  The live music added to the ambiance, and the appetizers went well with our margaritas.  The later it got the more people arrived.  Mostly expats.",40,May 2018,4.0
Luca R,Mexican restaurant for white people,"It definitely depends on what you're looking for. On our second day in Lagos, some Nigerian friends took us to the Bottles, where there is a band playing every Wednesday. Knowing nothing of it, we expected local food and atmosphere. It is actually a Mexican...More",10,May 2018,4.0
Ricalea,Average because the next rating is very good but it is too much ..I would say good,"The place is good , the food is good, the staff is good
Nothing amazing but nothing bad
Great atmosphere , good live band..
Nice to go but not too often",40,April 2018,4.0
