author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
solas471,a wide selection available,I guess the food was ok. Although the fresh fish had a lot of bones in it. The staff were professional and polite.More,40,Jun-19,4,Brazerrie
65thBook,Wonderful array of food choices!!!,"Dear Solas471,

Thank you for taking your time to share your experience at the Four Points by Sheraton Lagos through this platform. As a valued customer, we appreciate your feedback and are pleased to hear that you had a great stay, every process has been...More",35,Apr-18,4,Brazerrie
charlesaD9225JH,Quite An Experience!,"I had the pleasure of staying at Four Points by Sheraton for a night with my wife and we had both dinner and breakfast at this restaurant......IT WAS WONDERFUL!!! 

The choices are pretty much what is expected from a high rate restaurant but what I...fell in love with is their Water Melons. Their fruit choices were absolutely exquisite.
The atmosphere that evening was lovely as the room was well lit yet subtle enough to give that elegant feel to each meal. Buffet style dinner and breakfast yet it looked specially cooked for you. 

The only down side to my experience was the breakfast chef who was making the omelets, who had the air of sheer arrogance about answering simple questions and doing his job. The line for what he was doing was quite long but his final output was worth the wait though.

The coffee choices wonderful; the array of fresh fruit juices was exceptional; the meat and chicken done right and finally the clean up was on time and professional. 

I will definitely recommend this place to anyone who wants good service and food choices.More",35,Jun-17,4,Brazerrie
Howard W,Crowded,"Dear 65thBook,

We are delighted to have been your chosen hotel during your recent stay in Lagos. It was truly a pleasure to serve you.

We appreciate your business and value your honest feedback. Your comments will be shared with the hotel team as a...More",35,Nov-16,4,Brazerrie
joymariek,Not up to snuff,I enjoyed the array of good foods on display at Brazzerie. My favorite was the chicken suya. It was quite delicious.More,35,Oct-16,4,Brazerrie
Omelebele N,food and service are improving each time i go there,"Dear CharlesaD9225JH,
Thank you for sharing your experience at the Four Points by Sheraton Lagos through this platform.
As a valued customer, we appreciate your feedback and are delighted to hear that you enjoyed our array of food. 
With a spirit to serve, we take...More",40,Jul-17,4,Brazerrie
MarcusKM,Decent but nothing special.,"Good food, but very frantic. Couldn't relax and enjoy the meal. I felt rushed. However the service was good considering the sheer volume of customers/guests.More",40,Mar-17,4,Brazerrie
ASHU275,Good Ambiance - Lots of options,"Dear BMNAF,
Thank you for sharing your feedback on your last visit to the Four Points by Sheraton Lagos.
We appreciate your comments, we will share your message appropriately within the organization. 
Every process put in place is aimed at providing you with a memorable...More",40,Nov-16,4,Brazerrie
Dennis C,Average buffet food,The food is average -- a little on the greasy side -- and the service is standard. Price is high and not the best value.,40,Sep-16,4,Brazerrie
Ianfung,MEDIOCRE BUFFET SAVED BY PASTA STATION!,"good verities of food all meal period be it breakfast, lunch or dinner . 
but the best is the sunday brunch a combo of breakfast, lunch and drinks",30,Sep-16,4,Brazerrie
