author_name,review_title,review_text,author_rating,visit_date,overall_rating
Joseph U,The best in all,"Tasty meals you can't resist at all times. A wonderful experience in all. Whatever the weather and whatever the occasion, timely meals with an equal taste of the best is what I always get.",35,May 2023,3.5
414blessingo,THE WORSE FOOD EVER..... RUN OOOO,"It was a delivery on a Wednesday Morning 

The rice was stale and tasteless with spoilt sausage, which made me nauseous and the plantain was refried with bad oil, equally tasted horrible 😫. The chicken was a complete disaster and has obviously been left in...the store for weeks, it wasn't fresh nor tasty one bit. All I wanted was a nice meal for breakfast but I got an awful meal after paying the sum of 3900. Ordinary dodo could not be made well thoughtless of chicken and jambalaya rice. It was so bad I had to give it to my sales girl and she threw it away. It is really painful because I was advised against patronising Bukka Hut and now I know why. I have informed my staff to equally spread the news of how you deliver spoilt food to customers. To imagine this was my first time and I just wanted to have a good time with a great breakfast. I AM EXTREMELY DISAPPOINTED FOR CHOOSING BUKKA HUT.More",45,May 2022,3.5
Jydeoo,Nice Meal,I was here to grab a quick lunch with a colleague. The main thing was that the food was tasteful and service level was good.,35,September 2019,3.5
NonemekCreativity,Leading the modern fusion Buka in Lagos,"Buka Hut has taken business off the regular fast food. they are fast casual offering affordable and relatively fantastic meals of everyday person.They have numerous outlet across Lagos. Including in Lekki, Jakande, V.I, Ikeja etc.",50,September 2019,3.5
missmomoh,RUN!!!,"I experienced the worst services ever, I am stil shook!!!  Other customers couldn’t believe it too. Her name lady is “ANGELA”, She had flu and sneezed in the rack of cutleries, told her to get it fixed, she won’t she said the sneeze was at...the edges of the tray rack and it was fine.

She lied to me that ALL OF THEIR POS is set to default and had no options of selecting account type (savings or cheque accounts), I saw more than 4 POS terminals, she said they were all same. I complaining bitterly about how they would set all to default inconveniencing the customers. The other customers behind me on the queue were also saying it was a silly idea to have all of their POS not giving debit options of type of account.

My SMILE and MTN data devices had network fluctuating from “No service” to “Limited service- one bar”. 
 Angela with some other staff watched me for over 18minutes struggling to log on to my internet banking to transfer funds from one account to another since they lied they do not have POS that allows you to pick which account to debit. 
They were supposed to offer free WiFi to customers but she said that too was not available. 

After I successfully transferred the funds, I discovered she was lying, they had at least 3 other POS terminals that gave options of choosing which accounts you would like payment debited to. A customer watching the drama actually dumped his food, he was irritated and disappointed, they claimed they had no manager. 

I took some drugs and needed to eat, I was already pissed, I left there very angry. How do humans treat another humans this way, I usually don’t write bad reviews but what I experienced yesterday was horrendous. Imagine how many customers would contract FLU from same lady.More",10,March 2019,3.5
GokeF,"Not quite like mom's cooking, but close enough","I was staying in a nearby hotel and I needed some proper Naija food. Bukka Hut came to my rescue. 

Pros
1. Really good food.
2. Prompt service
3. Thoroughly pleasant staff with good customer service

Cons
1. Limited dessert options
2. Limited car parking",40,December 2018,3.5
Olori Wunmi A,EXCELLENT,"excellent food. great atmosphere, friendly staff, lovely lounge. nice suya and grills. hot amala and ewedu/gbegiri. nice comedy night on thursdays. overall greatness but can still do more.",40,February 2019,3.5
ccalz08,Very Good for Suya!,"Bukka Hut has really tasty chicken suya. The suya is made in front of you and is made relatively quickly.  However, suya is only served after 5pm.",10,December 2018,3.5
ceotiffygroup,Good food but poor customer service,"Bukka hut prepares tasty food that is pocket friendly for where they are located.
Their customer care service is a no no.
When you order online,order takes forever to be delivered.",50,October 2018,3.5
Luca R,Good Nigerian food,I had the best Nigerian lunch in this place that doesn't look particularly appealing from the outside. I recommend amala with ewedu soup and fish or beef. It looks weird but tastes very good! I loved it so much I went back twice.,50,May 2018,3.5
OyinboPrincess,"Great Place, Lovely Food & Friendly Staff","I have been to this Bukka Hut on a number of occasions. From just popping in over a lunch hour to visiting with friends for dinner, food has always been 'on point!'. Good value for money and always tasty. I will be back!",40,January 2018,3.5
bunmiOdez,Modern Nigerian dinner (Bukka),"I have been to Bukka hut more than 3 times. I go mostly for Suya (Nigerian grilled meat).
Their menu is good and the foods taste great. They need to expand as the place has serious parking issues and the place gets crowed in the...evenings.
Its good value for your money if you really want Nigerian dish.
And oh they also have a bar session where you can hang out for drinks.More",30,December 2017,3.5
chijiokeo307,Victora Island outlet,"A snazzy bar that host a variety of artists depending on the day you visit. Good music, limited parking space, affordable drinks. Can visit on a good day",40,October 2017,3.5
detheboy,Good Food,"Came here for dinner after work. The food tasted quite good nothing extra, but with classic Nigerian food there isn't much space for much extra. I did however feel the queue was a bit too long. The ambience also wasn't that welcoming didn't feel the...urge to sit back and relax. But on the whole the food tasted great and the serveice was not badMore",50,August 2017,3.5
tokunbo g,"Well seasoned dishes, freshly prepared","I love the fact that you could see all the food displayed in a hygienic surrounding, the food tasted very fresh and delicious. The only downside was that the queue moved slowly as individual orders had to be microwaved once selected. Also very limited  parking...space at the front.More",30,May 2017,3.5
Olubilly,Nice!,"Varieties of local dishes was displayed with great customer service.
Good location.....good environment to try out any local dish of your fancy......Above all,i enjoyed the warmth of the staff....They were very hospitable!",35,April 2017,3.5
ZurielKiru,Where to Eat in Lagos,"I have been planning a visit to Bukka Hut Admiralty Way to have a girls time out with ""T"" my good friend since the place is just within her office environment but had not been able to make it but just last week, I saw...More",45,February 2017,3.5
