author_name,review_title,review_text,author_rating,visit_date,overall_rating
Ade703,Consistent over time,"Bungalow restaurant has been in existence for as long as I can remember and that's a remarkable feat (especially in this environment). The wear and tear of age shows a little bit on and in the building if you look closely enough but that's understandable....It's a mid-sized restaurant offering oriental cuisine and with about 3 or so different indoor sections (the bar, main restaurant area and then a smaller section where you can host private gatherings such as birthdays); there's also an outdoor sitting area though I hardly see this space used. Service can be a bit slow especially on busy days/nights e.g. weekends, the staff and manager are quite attentive and friendly - for me, this is always a big plus since I'm a sucker for good customer service. 

Overall it's a nice place for a night out with friends/family.More",40,March 2021,4.0
Motecz,Foods,"If you are having serious doubts about this place,common you've got no worries.. I will just tell you come and join me and let's have fun",40,May 2020,4.0
olatundun r,Birthday,Had a birthday dinner here. The food tasted nice but the plating wasn’t impressive. It wasn’t inviting to eat and the portion was okay. The decor also looked old fashion and the serving mat looked old fashioned more like a local bukka.,40,November 2019,4.0
Dealoceans,Food is okay,Nice environment and cool place to hang out. Had fun except for the fact that i expected more in the quality of food ordered.,35,May 2019,4.0
577wimj,Event,I just wanted to thank Bungalow mnegment and staff for the nice birthday I had.. Service was great food was awesome the Lebanese manager was helpful and have a great team.. I recommend this high-quality of restaurant,40,October 2019,4.0
TCRand,"great food , great people, very good value","Thank you for your review and rating


Bungalow Restaurant (VI)",40,August 2019,4.0
RanjitWarrier,Best Sports Bar in Nigeria,Recommend this restaurant. The huge lobster tail do on Japanese grill was great. Great talking with staff! We will be going back,50,July 2019,4.0
621pierrek,We went with some friends for the final of champions league it’s was a memorable night we had the best time ever,This is the best place to watch a sporting event and enjoy lovely food. The service is excellent and the ambience is truly world class. A great place to hang out in the evenings.,40,May 2019,4.0
badwi k,M,"Thank you for your rating and review. Hope to see you back soon


Bungalow Restaurant",30,June 2019,4.0
kamilejan,Great food and ambiance!,"Great atmosphere Great selection of quality food ,great Service and feel home place And not to forget the Good guy Marcel 💯",50,March 2019,4.0
Bosslady6,"Great food, relaxing environment!","Good food, Nice cocktails and friendly staff.
Visited many times and always enjoyed my cocktails and well chilled beer.
The food is always tasty. Well marinated grill chicken.
Always fresh vegetables for the best salads.",50,November 2018,4.0
Nathaniel A,Lovely Place,Thank you for your rating and review,50,November 2018,4.0
Jan P,Great option when you are looking for a place to eat in Lagos,"The food and ambiance were nice, the chef very attentive to the wishes of the guests. Big choice of food and food is of good quality, you will for sure find something for all tastes here. There is sports on all the time. The restaurant...is a bit dark with no windows.More",50,December 2018,4.0
Trail38570538481,No better hangout place,"I enjoyed the food very much. The environment is also clean and relaxing. It may be on the pricey side for some people but when you look at what you're getting, you really can't complain. It's worth every penny.",50,September 2018,4.0
Odyssey18769816156,Consistently consistent ! Reliable,A friend hosted his birthday party here. I particularly enjoyed the hummus. Bungalows has a wide range of options and also an outdoor sitting option.,40,March 2018,4.0
irishboy4,Non-smokers beware!!,"I’ve lived in Lagos for three years, Bungalows was recommended but I had yet to visit. I checked the TripAdvisor app and saw is featured vegetarian food in the headlines, I am a non meat eater. I could not find it on the menu and...More",40,October 2018,4.0
