author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
Yousef B,Charged my twice and stole my money,"Charged me twice and stole £98 from me, no email to contact for a refund. The waiter lied and said the first transaction didn't go through and made me give my card again, but then got charged twice! I want my money back.",40,Oct-23,4,Cactus Restaurant
ScenicSights,Popular Place,"Visited after church last Sunday.  Seems to be a popular place.  Clean and pleasant.  I had dundun and dodo and prawns.  Unfortunately, the only way I could get prawns on the side was to have them breaded and fried which is not what I prefer....I peeled off the breading and they were still good. The dundun and dodo were okay but not spectacular.  I had a drink with ginger in it.  My friend had a fritata.More",40,Oct-23,4,Cactus Restaurant
Adenike A,MELT IN YOUR MOUTH FILET OF BEEF,"I hadn't been to this restaurant in a while and a friend who was equally bereaved convinced me to go with him.
It was the best decision I'd made in the last ten months. 
Initially we were both at a loss of how to employ...the QR code  menu,we insisted on hard copy ones which we got with smiles....obviously these grey heads are not up to date.
We decided on an entree of fried baby calamaris and a meal of medium well grilled filet Mignon.
Wow I tell you we had our socks blown off by the deliciousness of these plates,the calamari was crisp ,hot and delicate to the palate as expected while the steak was melt in your mouth beef with the loveliest black pepper sauce and fried rice as carbs.
I went back alone on a later date to have ice-cream...my choice was lemon cheese cake flavor,I so relished it it took me a whole hour to lick just one scoop.
This is a lovely restaurant for ambience and meals......I only wished the clientele could be more considerate,there tended to be a lot of noise.More",40,Nov-22,4,Cactus Restaurant
Foxyoonthego,Great salads and views of the ocean.,"During my visit, this place came highly recommend by a family member. Cactus definitely lived up to my expectations of serving a great chopped chicken salad. I went back several times and loved every experience with the staff.",35,Apr-22,4,Cactus Restaurant
Voyage648403,WHAT!!!!!!,"Classic burger meal and 2 beers cost me the equivalent of £34,00..........that is extortionate rates.  Looked at the cost of draught beer online, 3000n per drink, my horror when the 2 drinks cost me £12.00 and not pints.   Added tax and consumption bill bought to...bill to an unreasonable amount the pay.  The plus side, the waiter was extremely polite and punctual........but does not make up for an ordinary meal costing so much.  What a shame.....More",40,Sep-22,4,Cactus Restaurant
bunmiOdez,Great food!,Went out with my colleagues in December. The food was very good. No complaints. The environment was also very good and the staff were on point. December is a busy period but they were on their toes.,10,Dec-21,4,Cactus Restaurant
LancasterTee,Consistently Good for Over 20 Years,"I come here too often! The foods good, very consistent.  Never any cause for complaint.  I’ll still keep coming. My favourites fish and chips, surf and turf burger and spaghetti bolognese.",40,Jan-22,4,Cactus Restaurant
Cruiser58162,Good food service could be better,"The menu choice was good. And the food delivered. Portions are bigger than expected if you are from Europe.
Service was less than standard.  Staff need to be more attentive to customers needs and request.We had to ask 3 times to get something we ordered....If you are after good food and do not mind the service you will have decent food and left overs to takeaway if you desire.
Menu choice is great from seafood to dessert and everything in between.More",50,Sep-21,4,Cactus Restaurant
ciikii,Nice place for any day of the week,"Nice food and scenery too . Choice of both indoor and outdoor sitting.
You got to try the coconut flavor ice cream. They have a bread and cake section too.",50,Sep-21,4,Cactus Restaurant
bensono877,Terrible visit,Manager rudely proclaimed they could not accommodate any gluten free meal. I would not recommend this place to anyone’s dog let alone human beings eating.,20,Jul-21,4,Cactus Restaurant
fayosayemik,Cactus,"I won’t recommend you go there, not very welcoming and highly disrespectful workers. Not the nicest environment too, worst experience never returning",50,Jun-21,4,Cactus Restaurant
SUZYCOKER,Great Place for All Occasions,"I have known cactus all the years that i have lived, worked and come to visit Nigeria. It is an amamzing space with excellent food, service and ambience. The owners are always on hand to help with any request and the standards over the years...have only improved more and more.
Today we witnessed 7 birthday celebrations, one marriage proposal (flowers and ring!!!) and so many families visting, along with couples, childern and solo diners also being there.
It was athroughly enjoyable day and one felt happy, safe and protected. You could not ask for more!More",50,May-21,4,Cactus Restaurant
Ade703,Perfect chill spot,"Cactus is one of those few places that have been around for as long as I can remember but still managed to maintain a good standard. The ambience is nice, bubbly atmosphere, reasonable prices and good food. The waiters are attentive even on busy nights...(e.g. weekends) and orders come out quite quickly. There are multiple indoor sitting sections as well as a lagoon-facing outdoor area. Both the food and drink menus are quite expansive thus there are multiple options to choose from. 

It's a great place to eat and chill, these are some of the reasons I keep going back.More",30,May-21,4,Cactus Restaurant
mariol169,Quick and good,"We were in a rush tio be on an evening meeting and we ordered two chicken breast serving these very fast.

Food is tasty and well prepared, service is very correct and attentive",40,Mar-21,4,Cactus Restaurant
_abisheart,Service can be a bit slow but usually good quality food,"Went with a friend and I had a chicken burger with extra cheese and she had the English style fish and chips. The chicken burger was excellent as was the coleslaw and fries. They do a great pepper sauce. The batter on the fish was...a bit thick but excellent tartar sauce ..
Can be very busy at weekends. 
Child friendly place if you have kidsMore",10,Mar-21,4,Cactus Restaurant
maryamk74,Lovely dinner,"Family dinner with children.
The food and service were amazing! 
We had beef stir fry, Mac & cheese, barbecue burger ( swapped the bacon for turkey ham) chicken escalope , chips were crunchy. Serving portions were reasonable.
The children loved their chocolate milkshake! However, the...More",40,Feb-21,4,Cactus Restaurant
Namdi1982,Cactus?,I was sure it was a mexican restaurant. All in all both food and interior were a pleasent surprise. Shared some starters and a pizza.,40,Jan-21,4,Cactus Restaurant
blackfaces,Amazing Food. Disgusting Attitude,Why Nigerian restaurants don’t train their staff on customer relations is beyond me. I wont be ordering from Cactus ever again,40,Nov-20,4,Cactus Restaurant
ms_dick01,It was an amazing breakfast,It was an amazing breakfast and amazing food plus it is safe to eat at the restaurant with your family,35,Sep-20,4,Cactus Restaurant
sue_4192,My experience,"Beautiful ❤ and Eliteee⭐👌, orders were prompt beautiful sea side view, wonderful meal and nice ice cream👌",40,Sep-20,4,Cactus Restaurant
Jydeoo,Still Value for Money,"Went to hang out with friends and I was pleasantly surprised at the renovation works that had been done there since the last time I dined here. The finishing and decoration that was very good before, was significantly improved upon. However the prices were also...More",50,Jul-19,4,Cactus Restaurant
Motecz,Chops,"Was so eager to know this place, was a good experience being there really a nice place to be, thumbs up",40,Jan-20,4,Cactus Restaurant
