author_name,review_title,review_text,author_rating,visit_date,overall_rating
charpt2022,Nice services,"I really enjoyed my time there, it was a nice experience filled with delicious delicaices.
I would definitely encourage you to visti",40,February 2022,4.0
Ayo O,Delicious,"Casa Lydia serves well portioned tasty dishes right in the heart of Ikoyi.
And they do not demand a king's ransom. 
There are many new restaurants opening in the Ikoyi/Victoria Island axis as the industry recovers from the COVID slump, Casa Lydia is poised to...attract /retain its clientele since great food trumps fancy architecture.More",45,December 2021,4.0
Offical D,Great Experience,Food was nice and attendant was very nice and helpful because we in need of information regarding alot of thing because it was our first time visiting lagos.,40,May 2021,4.0
914marcuse,"It's very funful,nice weather with good people","It's really a nice place to be the people are so friendly and entertaining, you'll never regret going there.",40,July 2019,4.0
mohamad_m_adel,Nice place for dining,"A nice place with a good service and a variety of Nigerian and international food and drinks, has closed and air areas.",50,September 2019,4.0
NonemekCreativity,Great place to be but no reservations...,Some ethnic geographical cuisine restaurant. Don't ask me what that means till you get there... Its a place to check out,40,October 2018,4.0
Adebayo99,awesome meal,very delicious meal and good servers serve  a diverse meal and ensures customer satisfaction. kind staff,50,August 2019,4.0
Lakeshyt,Delicious meal,"They are such a good and lovely place have ever visited in my life, its so fascinating and well arranged",50,July 2018,4.0
llaboya,awesome food,good meal to taste when ever you travel to African especially lagos nigeria. try and visit any africa restaurants for a good meal,50,April 2019,4.0
GoPlaces42150883499,Peppery Meals,"If you intend to have your tongue all lit up in pleasure, this is the best place. Their meals will have you drink gallons on water.",40,October 2018,4.0
Muzungu007,Visit with Business Associate,"From time to time, once has an experience which makes an impression.

This establishment was suggested by a business associate for a meeting over lunch.

Was not disappointed. From walk in to exit, staff on point and helpful. Ambiance was just right for our meeting,...timing of waitron for drinks, starters, mains and dessert was great.

Food well above standards in Lagos - island/s or mainland.More",50,July 2018,4.0
Walter A,Great Meal at a serene environment.,Casa D'lydia has become a household name for us @ CLP LEGAL. Majority of our office birthdays are celebrated here. They have varieties of meals ranging from Africana to Continental dishes. You all should try Casa D'lydia for that great meal experience...,50,June 2018,4.0
grubwaz,From the heart,"The chef here cooks from the heart and serves hearty portions. Yes, food takes a while to get to your table, but worth the wait. Experienced my first Jollof Rice here.",20,January 2018,4.0
TukeMorgan,Huge Portions,"Casa Lydia is probably my favourite restaurant in Ikoyi. It's clean, cozy, service is good and prices aren't ridiculous. I had their pasta with chicken and prawns and was really impressed by the portion size. My Husband and I shared it and were both very...full. To see what I mean by the huge portion size, check out my Blog Tuke's Quest for pictures and a more comprehensive review. Their Virgin Strawberry Mojito was delicious!!More",30,October 2017,4.0
frankdS1287UC,Online Order,"Ordered online the most simple thing via Jumia Food, a bakery basket.
After 25 minutes I found out via Jumia that it was cancelled with the most stupid excuse: „The chef is not there, we can’t make the basket“.
Sorry - very bad!",40,April 2018,4.0
Laulo F,"Outdated menu, poor service","Came here last Friday for dinner with my husband. When we walked in, we thought we had gone to the wrong place; very small space with no particular deco. There were lots of waiters standing around the restaurant but the service was very slow. Took...More",40,April 2017,4.0
wendyezeibe,Great food but the room was quite warm.,"Even before making my order, the room felt quite hot. I had to ask for the control of their air conditioning to be turned up.",45,February 2017,4.0
Ngozi O,Restaurant,"Awesome Continental restaurant - great ambience with pleasant and helpful staff. Free parking, great cocktail selection.",40,April 2017,4.0
dedoy2000,Very good food,"I had read different reviews about this place, wasn't sure what to expect to be honest. The restaurant scored very low on ambience... it just felt like d garage of an abandoned house..  lol. Can't say the same about the food.  I ordered the odaran...More",40,February 2017,4.0
Poshitude,Nice,Lovely private place for lunch or dinner. Ambience is lovely. Pricing is good. Food is soooooooooo tasty.,20,March 2016,4.0
