author_name,review_title,review_text,author_rating,visit_date,overall_rating
Ikechukwu O,Good Dinning,The ambiance was generally good and suited for business and leisure. Had a business meeting and was glad we opted for the finger food we had. The sauce was tasty and hot and the fries came out just as i liked it - simply delish!,40,March 2022,4.0
global5050foru,I had a nice view of the facilities and the best staff practice ever.,"The overall experience was nice and delicious meals were served with best performing staff members. The management team did their best to train their staff to satisfy the guests. Room furnishing was another plus to them but I needed a good more of the ethic...foods in their restaurant.
So amazing experience.More",40,March 2022,4.0
Cosmopolitan812599,Dinner,"starter, main food (was a lot I couldn’t finish) and the drink were all pleasant. Good settings for almost everything; casual hangout, birthday dinner, meeting, blind dates(you’d easily find your date).",40,October 2019,4.0
JayJazzy,Lovely for small group celebrations/outings,"I had a surprise birthday dinner with friends at Casper and Gambini's and it was so lovely. First the ambiance was quite nice and quiet (perhaps because it was a Tuesday),  the platter we shared was also quite tasty, calamari and ribs. The meals were...well prepared and tasty, i particularly enjoyed their fish and potato wedges. Nicely done.

The only but' to the visit was their drinks, all the cocktails we tried were either too sweet or over-diluted with water, one drink (i cant remember the name now) tasted like mint soup - a combination of plenty water, plenty mint leaf(s) and maybe a drop of rum, it was awful. we had to ask for another type of drink which wasnt any better truthfully. 

In all it was really nice and a bit pocket friendly. I ll absolutely take friends back there, we ll just order water and their lovely food.More",35,October 2019,4.0
thedrewfiles,The best cafe and restaurant in Victoria Island Lagos,"Casper and Gambinis is easily my favorite hang out spot in the entire city of lagos. Located in the very commercial core of Victoria Island, it boasts of the most serene sitting area and the perfect lighting that creates the ambience needed to make u...forget about the struggles of lagos city. Their menu is quite pricey but worth every penny. Their customer service is top notch and i will gladly recommend it for visitors who are looking to lounge in a luxurious environment.More",40,November 2018,4.0
segunopeke,Always a good time,The meals and atmosphere and also the service are always top notch. The waiters and waitressses pay a lot of attention to details.,50,August 2019,4.0
Bimbo A,Chapman,Every good restaurant serves Chapman in mugs/big cups except yours and I wonder! Not good for the image you portray.,40,June 2019,4.0
marksW1155GQ,a very nice birthday dinner in a place with such ambience,"This new place is a trendsetter with a huge bar and dining area. 
We had a variety of seafood dishes and the linguini is very tasty.
The suya combo was a good choice but the aubergine with parmessan was with mozarella I think. Still tasted...good though.More",40,June 2019,4.0
gfiretti,Late lunch,"Have tried the international restaurant chain previously in Beirut, Lebanon leaving with a good impression. 
Positively surprised that the chain is available also in Lagos (visit the city occasionally from Abuja for business).
Sorted out work engagements well after lunchtime and arrived with family at...the restaurant around 4 pm.
The restaurant has a contemporay look and a very well stocked up bar (great variety of cocktails and other drinks)
Service was prompt and waiter attending to us was well experienced.
The order was promptly served. Particularly impressed by the harvest salad (fresh raspberries, strawberries and wallnuts with salad and feta cheese).
Fish and chips was decent, batter done well.
Casper & Gambini has their coffee brand and an espresso was a must.
Only complaint was with the bathroom door (men bathroom) that opens towards the inside, making it difficult to get out of it...More",50,May 2019,4.0
KingOpe,Birthday dinner,"Went here (Ikeja branch) for my birthday dinner. Lovely food, nothing exceptionally. 
Cocktail wasn’t lovely (different types and different instances)",40,April 2019,4.0
mrs_tatsiana,Nice food,"Have tried almost everything from the menu and has never been disappointed. The food is always delicious and so much, very reasonable prices. Staff is well trained. Clean environment and simple nice interior. Always taking foreigners to have lunch or dinner there",30,March 2019,4.0
Meenahj10,The Perfect Breakfast,Casper & Gambini has an amazing menu with a lot of options but on this visits it was all about breakfast. They are open Early enough to get breakfast and have a wide array of options. I had the pancakes and sausages with their awesome...ice tea. They also have great waffles that are worth a try! It was definitely an experience!More,40,December 2018,4.0
KaiUWulff,Great Salads and Sandwiches,"An expensive but great spot for a light and good lunch. The Salads are made to order and the sandwiches are massive portions of comfort. Several home made, filling soups and more.",40,January 2019,4.0
OAF68,Lovely Pancakes,"Had Brunch with a friend, clean, lovely decor and view; enjoyed the pancakes and chicken bites, the cappuccinowas also nice.  Would visit again whenver in Lagos",30,November 2018,4.0
Tomi10,Tasty Sandwich,"I visited this restaurant for my birthday breakfast. I had chicken suya sandwich and hot chocolate which had marshmallow in it. The hot chocolate was nice only that it wasn't hot by the time the waiter brought it. The chicken suya sandwich which came with...fries was yum but I would have preferred if the chicken were not in big chunks.
Customer service was great and I will definitely be visiting againMore",50,October 2018,4.0
GoodLifeStylist,Try the Chicken Pesto,"The chicken pesto pasta at C&G is literally the best pasta-anything I've had in Lagos.

Al dente, proper Parmesan cheese (not the plastic stuff), flavourful...My mouth is watering just writing about it.

If you're looking for something on the lighter side, I also recently discovered...More",40,October 2018,4.0
Ibarieze,Tasty Desserts,"Great environment for relaxation, good food and even better dessert. My favourite is their chocolate fondant - very decadent especially when it is served fresh and warm.",40,December 2017,4.0
mandyfyfe,One day the food will arrive all at the same time!,"Food here is really good, however, on one or two occasions its been cold and if there are more than 3 of you the chances of it arriving at the same time are slim.  I will say however,  that the salads are the finest in...More",40,September 2018,4.0
margaretolele,Delightful Eating,"This was my first time in Casper& Gambini and it was at their outlet in Ikeja at the Shoprite mall. Strangely, I have heard the name but never associated it with a restaurant until an uber driver suggested the place when I wanted to have...More",35,September 2018,4.0
Omelebele N,wonderful,when it comes  rich and classy salad and dish for your events look no further casper and gambini are just one of the best in Outdoor catering,50,December 2017,4.0
KITTAPPA,Place for foodies,"Good place to chill with your friends & family , Good food, excellent ambience and clean ,Really attentive staff with a bar serving a wide array of drinks and cocktails. The meals were great and the Veg Pizza  that I had was so good 
Price...More",40,June 2018,4.0
TitiDokubo,Amazing spot at the mall,"I visited their new branch at the Ikeja City Mall. It was a full house but the waiters are prompt and they do a good job of attending to everyone's needs.

My order took a bit long to arrive but the wait was worth it....More",30,July 2018,4.0
Justina A,Lagos Nigeria,"Good food, good ambience, world class service delivery. Overall the experience was great! I look forward to visiting again.",50,May 2018,4.0
RitzAroundTheWorld,"Nice ambiance, but not a cheap place.","The last time I dined at this restaurant was in 2016. It is really a nice-looking place, decent and very cool for a meeting should you want to have one there. 
The food was nice, but I'd say rather expensive for the small portions...don't expect...More",50,June 2017,4.0
David A,A great experience,"I was here just last week with a few clients from South Korea. We did a checkup of the Lebanese owned restaurant/foods and even tasted few of their menu. In the end, they like the food. To me, bread is bread but the sauce and...More",40,May 2018,4.0
dadachu,Great burger - good break from Nigerian Cuisine,"Nice interlude to the spicy Nigerian offerings.  Classic burger, great nachos and well done ""chicken under a brick"".  Good selection of cocktails.  

Really good place for breakfast too!.",40,May 2018,4.0
MAAN4,Nice Restaurant - Great Location and good service,"Was a bit disappointed with the food.  I ordered crap and avocado as it was written on the menu and was anticipating digging into the crap claws.  However, the dish was served with very cheap crab sticks, laid on a bed of greasy salad.  The...More",50,May 2018,4.0
Chichi N,Good people,"food is tasty n pricey,the quantity is usually not alot. so u probably need to nibble on something before you go in. if you go in with an empty stomach, i cant guaranty satisfaction. Been to bothe d island and ikeja outlets. I ve come...More",40,February 2018,4.0
Andy M,Casper and Gambini = Consistency,"Love the fact the food and service is the same in Jeddah, Erbil and Lagos. Felt very lucky to have a C&G in Lagos. The food is very good, the staff are friendly and the place is spotlessly clean",30,July 2017,4.0
oga_kales,I am astonished...,"Best pepper soup I have had, it is magical and yummy just like the one I had in Doha, Qatar. I am so shocked at how amazing there Nigerian dishes are so yummy! I am impressed Casper and Gambinis, most try! MOST",50,March 2018,4.0
nicov633,Lovely evening @ Casper & Gambini's,"Went exploring and found myself at this lovely establishment.  Great vibe, good service and excellent food. Had a calamari starter and chicken pesto pasta. Everything was very tasty.  Venue has a modern, sophisticated look and feel. Will definitively return.",40,March 2018,4.0
holjones,Nice food but a bit overpriced,Been twice. The first time I had an open sandwich which was very good. Second time I went with family and we had a selection of bits and pieces. All was tasty and service was good but my husband will never let me forget the...More,40,June 2017,4.0
Mark S,best prawn suya and chicken wings,Initially we were just going to have a light lunch with their famous club sandwiches but as we looked at the menu we ordered more and more. The chicken Caesar would have been perfect had it been unsalted or less salty as the salt made...More,40,March 2018,4.0
charlesboham,Quaint place,"I really liked my visit here as it offers something for both family and more formal meetings. The original concept might have been a patisserie, but it has morphed nicely into a full-blown restaurant. Limited but quality menu though.",35,December 2017,4.0
93addya,Food was Okay,"The ambiance is nice here but the food was not that great. Moreover, when we went, the POS would not work and the manager was more irritated than helpful. I wont be going back.",50,December 2017,4.0
_abisheart,a bit pricey for what it is .... but good food,"went for birthday dinner of a friend. The environment is very canteen like and I must say not really impressive. we actually contemplated leaving as it didnt seem befitting for a birthday meal
However, i must say the food was excellent. If you can get...More",30,November 2017,4.0
Ayo O,Don't Drop the Ball,"Casper & Gambini's serves great food (almost) every time and this visit for lunch was no exception- warm service from the waiters and delicious meals from the kitchen.
Caesar's salad, jollof rice, burgers, calamari... a worthwhile culinary experience. 

However, the starter we ordered (fried yams...More",40,September 2017,4.0
charlesaD9225JH,Tasty Food,I visited Casper & Gambini last June with a group of friends to send off a retiring colleague. The meal was delicious and everyone present had good things to say about the delicious meals on offer.,40,June 2017,4.0
ayodelefm,Great,"This one of my favourite restaurants when it comes to European menu. The food is great and the environment is cozy. One of my favourite is the club sandwich, it's one of the best I've had. You need to be there, parking could be annoying...More",20,September 2017,4.0
Christophernd,Good food.,"The food was good, the ambiance nice.I had a birthday lunch here and casper and gambini's did not disappoint.From the ceaser salad to the drinks,service was ok as well.If you are in the mood for a little european experience, casper and gambini's will do just...More",30,July 2017,4.0
amina_ok,Super,"It's perfect. Great food and bread. Clean, testy, fresh. One of my favorite. I visited all of ""first"" restaurants in Lagos, but this one is minimum second place.",30,October 2017,4.0
abdulhakeem a,Italian,I enjoyed my lasagna dish- first one I had in a restaurant after eating one made by a friend a while back. Its a lovely palce to visit with the family. Good service and the staffs are wonderful.,40,October 2017,4.0
