author_name,review_title,review_text,author_rating,visit_date,overall_rating
LorraineM1629,Quick lunch in VI,"Deli’s is nice and wonderfully designed. The noise proof glass and gorgeous cafe setting make stopping here for lunch awesome!
The food is great, awesome WiFi and super clean!",45,October 2019,4.5
Subomi P,Great food!,"The breakfast at Deli's is really lovely and the presentation is great. If you go on a weekend, try to get there early, as ""rush hour"" begins around 11am when seating is limited and service becomes very slow.",50,March 2019,4.5
Lamide21,Very cosy and tasty,The service is really good and the food is tasty. Small and quiet if you don’t like a crowd. Good for breakfast and brunch.,45,March 2019,4.5
Ade2566,Quaint and Friendly,"Revisited this mainstay Cafe located on Akin Adesola Street in Victoria Island for a quick meeting with some potential clients.

Early morning at the Cafe presented a quiet and comfortable location for such meeting. Cafe was ran and staff greet you warmly on arrival. Coffee...and fresh pastries are available as expected. For those requiring a little bit more there is a light menu providing some good choices.

Some work still to be done in the delivery quality of service as our waitress served us our pastries in saucers rather than side plates.

Beyond this it was an overall OK experience much in line with what you would expect from a coffee shop.

Clean and comfortable with fresh pastries!More",50,September 2018,4.5
WIH-Intl,Early Dinner ... Perfect Choice,"#deliscoffeeshoplagos 👏👏👏... Perfect Choice for an early dinner... 

Penne Pasta with chicken in a tomato and olive based sauce .. Soo yum.. The tangyness of the olives are 👌.. 

Creamy Tagliatelle with Mushroom and Chicken (add chilli oh for a kick 😉).. This was 20/10......Like every forkful was divine .. 

Grilled Prawns with Mash and Spicy Vegetables.. The mash was 💥 .. 

Banana and Nutella Crepe was oh so yummy 

All in all, fantastic choiceMore",50,July 2018,4.5
Lez M,Enjoyed a Sunday morning coffee here,"Went to look at the food products available in the store below, and was blown away by the amount of hard to find items that they had in the store.  They were a little pricey on some things and others they were reasonable.  We had...coffee and cake.  It was nice, but also pricey compared to other places we have visited.  But a lovely atmosphere and very clean and European in decor.   We will certainly be back.More",50,June 2018,4.5
Kevin L,"Fresh Ingredients, Good Food","This restaurant's ingredients are so fresh! Their smoothies are amazing too. The dessert menu is limited however, I'd highly recommend the banana and strawberry crepes. The portion is big so I'd share it with 1 or 2 people",50,May 2018,4.5
MohamadJr,Nice Sub,"the steak sub is wonderful, it is a small restaurant for a fast bite. located in VI , very easy to find",40,May 2017,4.5
David a,Excellent lunch,"Good choice, good proportion, Fresh Salad price align with food quality. Just 1 thing can improve, service speed (Really to slow) and food delivery could be done (not sure).",40,November 2017,4.5
princess_kaat,Dream Cafe,"Met with girlfriends at Delis on a recent trip to Lagos in Nigeria.

I would describe as a minimalist trendy cafe, great place to block out all the Lagos craze. Friends recommend it as a great place to work if the office just isn't cutting...it.

I had the Duo seafood salad which was absolutely delicious, calamari and prawns. Also the mocha frappe.More",40,July 2017,4.5
aboutsomethingelse,Just a drink but still impressed,"We stopped by just for a drink after visiting the grocery store below. Enjoyed (two) glasses of fresh pineapple juice and a strawberry smoothie. 

Even though our interaction with the staff was limited to drinks, we found them very friendly and attentive. The Cafe itself...is bright and airy with the huge windows facing the road and would be a great spot to catch your breath before or after grocery shopping. 

I look forward to coming back and trying their breakfasts especially.More",40,July 2017,4.5
Leke-Adeboye,My kids loved it....,"The handlers and waiters were just nice and accommodating. And that's not normal in Nigeria. Our food came on time and even when we asked for the steak to be recooked they obliged. 

You will love the mushroom sauce in anything you order. It was...really nice. I can't even say anything else. The toilet was also very clean. And that's a good sign for anywhere in Africa. Their smoothies also was just wonderfulnessMore",50,April 2017,4.5
KenCooper1953,Good for coffee and cake,"Nice setting and now smoking outside
Small menu and bit expensive 
Have visited mainly for Coffee and cake",50,April 2016,4.5
No7Food,"Great coffee, breakfast & brunch","Nice quiet seating area, great service and beautiful fresh food.....
What's not to love about Deli??? 
So good, I'm there each week!",40,June 2016,4.5
Joyeden88,Lovely sandwich and great smoothies,I went for lunch during the week with some colleagues and everyone was pleased. I ordered a sandwich which was a healthy portion and a smoothie. We all got their menus and a business card to take with us! I felt that this was a...nice personal touch. I was impressed with their service.More,50,May 2016,4.5
809bull,Good Place to be.,"Good Food, Nice Location, Overlooking one of Victoria Island main road... Parking Space/Delis Super Market...",45,July 2016,4.5
omo2laa,Great For Brunch,"While I was in Nigeria visiting family, I decided to take an afternoon to meet up with a few friends at the cafe. The food was really quite good, I had the roast beef and it was delicious. To top it all, their staff was...More",50,June 2016,4.5
