author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
Cheelaks,Lovely place,I always look forward to visiting whenever I'm in Lagos.Their shredded chicken and rice is so tasty.,35,Sep-19,3.5,Double Four
KaiUWulff,"Solid comfort and lebanese food place, friendly service","Inside the mall building with friendly staff, large portions and a good selection of comfort food choices. Not the place for a healthy meal but a nice place before or after shopping to relax and meet friends.",40,Apr-19,3.5,Double Four
AmitMAgrawal,Nice Lebanese dinner!,"Was visiting Lagos and was taken our for dinner by my friends in the city to Double Four.

Was a pleasant surprise to see an option of outside seating in a city with security concerns. We all sat outside and it was quite nice in...terms of seating and lights.

We had ordered Lebanese food and it was good quality. Not the best I have had but quite nice. The hot Lebanese bread was available that always makes such a big difference to the food experience.

The various servings were quite OK. The service was acceptable though not the best. Food got served without the cutlery at times and needed follow up.

Overall a decent place to head to for a nice evening and for Lebanese food in town.More",40,Sep-17,3.5,Double Four
princessashinze,Double Four review,"I enjoyed the service, I had fried rice and chicken breast. The meal was fresh and tasty but I disliked the pepper sauce that came along with the chicken breast.",40,Jun-16,3.5,Double Four
Ibadanboy,Nice!,"44-Double Four is a nice Lebanese style restaurant. It serves tasty fresh food in a cozy environment. Good food, good service, good place",30,Apr-16,3.5,Double Four
Ibadanboy,Double 4,"This is restaurant that takes me back in time. Great food, one of the first real restaurants that served nice Nigerian food in an upmarket environment. Still going strong, but totally outdone by the new entrants in the F&B market. Good food, nice service, good...locationMore",50,Mar-16,3.5,Double Four
rohits45,Rohit Sidhwani,The food in the new location in Victoria Island is nothing great. The service was bad and even the food was not of the same standard they used to serve in Ikoyi. A total disappointment.,40,May-16,3.5,Double Four
mstphy,Ambience with lots of food choices,"We went for lunch and eat outside. This would be a great place in the evenings. Portions were BIG, but not the best fattoush salad I've had. Also the Sakura restaurant so lots of food choices. Friendly waitstaff. Close to 9 to 7 supermarket.",40,Mar-16,3.5,Double Four
Ravi D,DOUBLE 44 has returned to Saka Jojo Street - same location as Sakura,"Chef Hassan of Al Basha fame has returned to work his magic with great Lebanese food at the Double 44 in the same place as Sakura. The hummus, moutabel, chicken satay, shish taouk - you name it is still the best I have eaten",30,Feb-16,3.5,Double Four
Kunalchopra27,Best Hummous in Lagos,This restaurant is located in the shopping mall called shoprite which offer great lebanese food.There Hummous with pita bread which is always freshly prepared for the customers is just fantastic and there sherreded chicken with fried rice is really tasty.A must visit restaurant for lebanese...food lovers.I loved this place.Thumps Up.More,40,Oct-15,3.5,Double Four
wikotan,Quite Average-The Palms,"If you are looking for a place with service standards...I suggest you manage your expectations! The food is just ok but quality varies depending on how busy the place is...You may also prompt for service a couple of times since the team has not yet...mastered the art of ""working under pressure""...well atleast you can have a view of everyone walking into the mall as you wait.More",40,Jul-15,3.5,Double Four
ZeeGoes,average,"not worth the buzz. My friends grew up going here, and it used to be known for serving good food, so I decided to try it out. It was pretty average...I can't even remember what I ate, probably some variation of pizza",20,Aug-14,3.5,Double Four
