author_name,review_title,review_text,author_rating,visit_date,overall_rating
itsdenalu,Worst hotel to stay in Lagos!,"I was very disappointed with this hotel, for the amount of money I paid, the place is not worth it. The room is old, the carpet in the room is so dirty and smelling!

I checked in at the Eko Hotel and Suites on April...3, 2021, the first room they give me as soon as I entered the place is smelling like a pee! I calles the Room Service- my first call the woman who answered the call said she will send someone in the room, after 40 mins no one come. So I called again and no one came to the room again. Third time I calles she said I should call the dury manager. I called the duty manager and after an hr someone came and  put as to another room- the whole process took us almost 3.5 hrs! 

We ordered for dinner- it took them more than 1 and a half he to bring the food and their white rice is terrible too! 

The bext morning i ordered for breakfast- the food came, but it is not complete, the bread did not come, the mushroom and ham were not served!!! We called room service and it took them an hr to bring the remaining food and ofcourse something is missing again. They just dont get the right thing the first time!

This is the worst hotel i experience in Lagos, I paid $350 for 2 nights and that money can get me a more decent hotel in Lagos.More",40,April 2021,4.0
ca_geologist,What a lovely resort.,"What a lovely resort. The grilled meat by the pool on the weekends is wonderful, and there is a very large choice of restaurants. The restaurant in the Eko Suites hotel at the end of the resort has a really nice variety of Nigerian food.",10,December 2019,4.0
kamangaglamhouse,The Best Hotel in Nigeria,"It’s the Best hotel in town, everything about Eko hotel is amazing. The staff very friendly, the buffet is on point with lots of variety to eat . 
The room are so clean and smells so good. 
Thank you 🙏🏼. 
I’m definitely coming for my...Honeymoon 😊More",50,November 2019,4.0
Real O,Had issues with my room,Had issues with my room and called to speak to manager Olu who attended my room with colleague Gloria . They listened to my concerns and addressed all issues . They were both extremely professional and exceeded my expectations. I will definitely be back .,50,October 2019,4.0
Paul B,Good accommodation,"Recently stayed in the suites. Rooms very good and spacious with very good bathroom facilities.
The only negative of this place was the arrangements for breakfast which was chaotic to say the least.
Bar service very good",50,September 2019,4.0
FearlessBrum,Excellent hotel in Lagos,Spent two nights here recently whilst on business in Nigeria. I was actually working in rural Nigeria but spent two nights in Lagos at Eko to attend business meetings. To arrive at Eko was bliss as the room was superb and the amenities top notch....I had a couple of drinks at the bar near the pool before deciding to eat in the Thai restaurant. Overall my stay was excellent value with extremely reasonable rates. I will definitely come back to this hotel. Highly recommendedMore,40,June 2019,4.0
Benoit D,Safe environment,"When visiting Lagos, it is always good to return to the EKO for its comfy accommodation and good food. No need to wonder off in the city.",50,June 2019,4.0
jan v,"Great location, but rooms need refurbishment","The hotel is very well located one a nice, big and well secured compound. The pool area and bar are really nice for get together s. 
The hotel is a bit 80‘s styles and the rooms good use an upgrade. In my case the room...was not cleaner properly as I still found used soap and missing towels and water bottles in the room. Als the rooms are a bit noisy as there a tiled floors all over combined with poor sound isolation on both window, corridor and even between floors.

Nevertheless I had a good sleep; beds are good and breakfast as well. Would stay again but might prefer a newer hotel.More",40,November 2018,4.0
ASB052,Good Ambiance and good choice of food,Hotel is very nice with a choice of many restaurants. I found the place to be relaxing after a long day. Enjoy the outdoor restaurant. They also have Tex-Mex,30,August 2018,4.0
Omelebele N,home for all,"i call it home for all because you get to meet both the low , high and mighty at eko hotel , they have if not mistaking the largest in door event center in lagos and the neccessary facility like , if not mistaken close...to 6 or more resturants , playing ground for both adults sports and kiddies event . you can live in one week without steping outside the hotel because of its facilities , the fastest hotel lift i have ever stayed in Nigeria .More",50,April 2018,4.0
Reshu M,Comfortable,Stayed there for  a week. Its really comfortable and nice stay . Service is great and very Hospitable.,40,August 2018,4.0
joseagustina2015,Tips,"Went to the the Crossroad Restaurant very nice food by the way, had a light lunch at the swimming pool bar next day as well. 
The only thing when I ask for the bill the waiter toll me don't put the tip, if I charge...it to my room, they don't see it? 
So is better to give them cash...More",50,March 2018,4.0
lollamoto,Lagos Experience,"It’s a very beautiful upper class establishment , the setting is serene the staff are friendly and the food was okay. A bit pricey but it was a night we’ll spend.",40,December 2017,4.0
mrs_tatsiana,Good place but need to improve service,"Eko Hotel is one of my favorite place in Lagos, I like pool side so much there, pool is clean, comfortable for kids and adults. Nice environment around, territory is clean, reasonable people, nice food, comfortable parking. Only one thing I don’t like there is...how waiters are working, so slow: sometimes you’ll wait 20 minuets for them to bring menu, next 20 minuets to take the order etc. 
I think management needs to pay more attention on this minor issue and everything gonna be alright.More",40,November 2017,4.0
655kimk,What a Village,"The Leo Hotel & Suits is so large to qualify to be called a village. It has a variety of accommodation options a settings to suite all. There's also many restaurants to choose from a s the famous pool side featuring great shows. 

The one...downside, probably due to its size, is a somewhat lack of personalised service.

Otherwise the rooms are very comfortable, breakfast great and meals sumptuous. It's nice and quiet in the rooms.  Location is good. It's a bit far from the airport though.More",40,September 2017,4.0
ElieSall0um,Business,"I have been staying at Eko Hotel and Suites since February 2017 up until now... staying in a hotel for a long period of time is not so easy, but when you feel at home at Eko Suites with the warm welcome and service of...More",40,February 2017,4.0
melvin d a,Nice meal at an over-priced rate,Was looking for a nice Nigerian buffet. found one but was way too pricey for the value. the atmosphere was good but overall the food was still way below what Hilton Abuja would offer for the same price or even less.,50,October 2017,4.0
TopSan,Fabulous brunch-time music band!,The brunch serves a wide range of dishes from Nigerian to continental. They have a live band providing beautiful music entertainment - This is a bonus! Makes all the difference. It also offer access to the poolside.,40,September 2017,4.0
Kevin S,lagos,"a bit overpriced for the service you get, food often cold by time it gets to the table, more so when you sit outside",40,March 2017,4.0
CSRam,Drink at the Bar,"The Bar is very well placed between the Coffee shop having a Buffet and the pool. the ambience is superb. Just love to sit around and have a chilled beer (Draught). The service staff is very friendly , but the hotel management needs to look...More",30,June 2016,4.0
