author_name,review_title,review_text,author_rating,visit_date,overall_rating
Biscuits180,Super,"Great lively yet calm environment
Super hygiène
Good service 
Super nice Indian food obviously fresh and quality ingredients 
Internet works well
Safe place to park the car 
Not far from airport 

Will make it my last stop whenever i have time before leaving Lagos by...air.

It's part of a nice small hotel

Definitely will come againMore",45,September 2022,4.5
ImadH6,TOP PLACE,"Been there many times and especially on Sunday's. Atmosphere is great, nice looking bar outside with Cold Beer and most importantly the food is delicious and not over priced. Highly recommend.",45,May 2022,4.5
Journey780074,Bad!,"if misogyny was a restaurant, it’d be this. they refuse service to women unless they have male company, which SUCKS. do better!",45,November 2020,4.5
JunaidM50,Excellent Food with one of the best outdoor sittings,"This is clearly the spot for Indian food. The Chef never disappoint with his skills. On top of the great food this place offers; it also has great outdoor sitting area with a bar. The service is also good, but the overall vibe is fantastic...in the evenings at the outdoor seating. I have been to this place several times over the last year and I must add that I was always impressed.More",45,November 2019,4.5
Sreeresh P,Good restaurant,This place is good for a casual dining or if you want to chill out with friends on a weekend evening. The food is tasty and the ambience is good.,50,March 2019,4.5
assham,Nice decor,Nice lunch we had with the friends. It has a nice decor and good food as well. But not as good as original Indian stuff but in Nigeria should be okay. Visit the place.,40,March 2019,4.5
Dolan B,Good casual place in Lagos for quality Indian food,"We went as a group of friend very close to where we are staying to Harzoyka Indian Restaurant and were very pleasantly surprised to be served authentic Indian food. Owner/maitre’d was there to make sure everything ran smoothly. 

Would recommend going there as a reasonably...priced, meal, which is highly unusual in Lagos!More",10,March 2019,4.5
Rajesh M,Lovely Place,I had a wonderful staying experience in Harzoyka. Atmosphere is calm no outside noise. Rooms are neat and clean. Rooms are cleaned and dressed every day with new sheets and towels. People are very friendly and courteous. Indian restaurant is awesome with lovely Indian dishes....Taste of the food is good. Bar is wonderful with good selection of drinks.More,50,November 2018,4.5
Sonia S,Love the place,good ambiance and food. Their menu is elaborate and satisfying. Great selection of drinks too. Friendly staff,40,April 2018,4.5
ashes360,An absolute gem,"A friendly service team lead by a welcoming owner. A place to connect with other expats, great vibes over the weekends. Indian cuisine and hospitality done great!",40,December 2017,4.5
Bunnie24,Lovely,Lovely place to be and the food is great. I try to go as often as I can. Great to go with family and friends,40,December 2017,4.5
brijeshboza,Nice food,Food variety / choice is good. Tastes good as well. Nice ambiance. Good for friends and family gathering.,50,October 2017,4.5
Martin R,Great place to chill among friends,"if you are looking for a great atmosphere among friends, to enjoy a cold bier with great indian and local food, it’s definitely the place to go",50,October 2017,4.5
dirkm_12,"Friendly atmosphere, great food.","Been coming here a few times, usually wait till the third or fourth visit to review. 
Relaxing atmosphere. Staff is very friendly, the food gets a 5/5 and the castle beer is cold from the tap.  
Well worth a visit!",50,October 2017,4.5
