author_name,review_title,review_text,author_rating,visit_date,overall_rating
Tia011,An ok place for a quick bite - nothing special,"An ok place for a quick bite. Some dishes are well made and quite tasty. I enjoyed the coconut rice, the first time I had it, when it was hot. The next time, it was lukewarm with a solitary prawn as a garnish! The food...could be much better if it was fresh and piping hot. I ordered an assortment of meat, it was tough and inedible. It is very variable in terms of quality, waiting staff are polite but seem inexperienced. 

Eating in is slightly better than ordering takeaway but the presentation is sloppy, oil dripping from containers and cold food. All in all, an average place.More",40,March 2020,4.0
dammylog,best restaurant with delicious spicy,"the food is amazing very delicious and fine looking,
their takeaway package also good with best taste",40,January 2020,4.0
Dealoceans,Average meal,I have visited this restaurant several times and it wasn't glorious all the time. There are some meals that are so expensive and totally empty.,40,January 2019,4.0
Tamdd G,Nigerian Food and vibe,"Its an interesting restaurant and pretty spacious. A very local Nigerian setting and a huge variety of local food but if you're not a pepper fan, I suggest you exercise caution because the soups can be very hot even when your'e told they aren't, be...very wary. If you're not sure of what you're ordering, be careful so you don't end up with an upset stomach, Water is your friend.More",45,February 2019,4.0
Segun A,Great Food Always...,Great food always with intimidating quality! Great food always with intimidating quality! Great food always with intimidating quality!,40,August 2019,4.0
JoanO539,"Budget friendy, Prompt excellent service","If you're looking for authentic local food at budget prices, this is the place to go. The portions are huge as well, and 5 could easily share food served for 3.  I always enjoy the local soups, especially the traditional soup. 
Service is polite, and...prompt. This is not fine dinning, but clean tidy environment.
Ideal if youre on a budget. Dont be  afraid to try the local dishes. If youre unfamiliar with  ""hot food, brace yourself.!More",30,February 2019,4.0
Ibarieze,Excellent Service,"Over and beyond serving fresh and tasty meals, Jevinik restaurant's knack for prompt service is commendable. You don't have to sit for several minutes before your choice of meal is served - fresh and steaming hot. Polite and efficient staff as well. I see this...same level of serve replicated in all Jevinik restaurant branches I have been to inside and outside of Lagos.

Well done!More",50,October 2018,4.0
CSRam,Business lunch with colleagues,"A nice parking, once you enter one is awed by the vastness high roofed place, definitely not for a romantic dinner date at a corner table!! Very Nigerian , right from spoiling the customer by offering the hand washing bowl and water with soap at...the table before food service, crisp menu with a very informed waiting staff. Very quick service , tasty food. Overall a very nice experience.More",40,October 2018,4.0
Ikemokeke,The elegance of African traditional cuisine,"The environment is tidy,warm and friendly....without being too formal.
The  cuisine is traditionally nigerian.....exquisitely made!
The service delivery time is one of the fastest I have seen!
If you are considering a taste of the nigerian traditional foods....
This is one of the few places...you can find everything in one roof !More",30,August 2018,4.0
chandr_b2017,Great Nigerian cuisine,"This restaurant was recommended to us by friends who live in Lagos. To give us a taste of local cuisine. 
There are some more adventurous dishes, if you are feeling up for it. Be sure to ask your waiter to explain the dishes before ordering....Their fresh fruit juices are amazing.More",40,September 2018,4.0
