author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
Rotimi S,Jevinik Baba O!!,"It is still the best place for large portions of authentic south-south cuisine. 

Service is prompt, courteous, and with a smile. They have still maintained high quality standards that I have known them for since 2012",40,Sep-23,4,Jevinik Restaurant 2
Safiatou Traore D,Nice and worth the price,"We were there in a group and I was specially amazed by the waiter who attended to us, Emmanuel! We first did not know what we wanted, we were changing our minds so often, he handled us with greta care, enthusiasm and always smiling.
At...the end we could not pay with our card as the system was not working, he escorted us twice to Ecobank and came back with us wearing the same smile.
The food was also very nice.
It is worth visiting ans please when you go ask for Emmanuel.More",40,Aug-22,4,Jevinik Restaurant 2
Ikechukwu O,Original African Delicacy,Just ask for the white soup and pounded yam - you'd be glad you did! Thumbs up guys. Your standard has maintained that quality that make you the preferred African restaurant of choice within the metropolis!,40,Dec-21,4,Jevinik Restaurant 2
itsaykay,Affordable and very well-done,"A great place to chill out with a friend at an affordable price. The food was a lot and it was certainly very well worth the money. I highly recommend it. By far, the African restaurant industry leader.",40,Jul-21,4,Jevinik Restaurant 2
NwanyiomaObinna,Good African meals,"taste is still same, all flavors on point. i have been to the restaurant in the eastern bloc, in VI, across board, dishes are delish",40,Oct-20,4,Jevinik Restaurant 2
Nmababy,Nice Outing,"A spur of the moment decision to have a lunch date with my friends , to a place that is pocket friendly and serves local food and Jevnik came to mind. We weren't disappointed as the cool environment added to the gun. I will strongly...recommend that Jevnik introduce finger foods before the main dish and dessert after eating. It gets boring just chatting while Whitford the food to be served and at  the end to allow for a bit of digestion. Apart from that everything was excellent.More",50,Oct-20,4,Jevinik Restaurant 2
omoladeoh,Excellent Service Rendered,The soup was massive yet delicious. Could barely breathe after eating (in a good way of course) The attendant was nice too. Treated me with maximum respect. Hats off to him and the entire staff and management.,40,Aug-20,4,Jevinik Restaurant 2
aadetoyin,Nice,Went there with my family. If you love local food then cool. Environment is clean and organised. Food is a little over pricey. Try their seafood okro it’s taste so good,40,Oct-19,4,Jevinik Restaurant 2
MurrayNige,This restaurant made me a fan of Nigerian food,"What hit us the most was the ample portions of food and then most importantly came the taste.
In my opinion the catfish soup and jollof are absolutely excellent.
The waiter named Solomon is extremely kind and friendly and didn't mind giving us a few...local tips.More",40,Dec-18,4,Jevinik Restaurant 2
susanne o,Traditional food kingdom! Literally,Oh My geez! So I ordered swallow for myself and my hubby . The soup was massive! And it tasted absolutely amazing .... stored some for another day😂🤣😂n it’s so affordable though! Really affordable! Love it!,40,Sep-19,4,Jevinik Restaurant 2
mohamad_m_adel,Good place to taste the local Nigerian food,"A place where you can taste almost all Nigerian specials with high quality, the service is average as it’s a local restaurant but the food is delicious.",50,Sep-19,4,Jevinik Restaurant 2
Damian U,"Falling standards noticed in the taste of some foods, Quantity and Size of Protein","Something has gone wrong with this place which used to be my place of reference particularly for local delicacies. Visited on the 12th August with my family. Jollof Rice and Cat fish were tasteless while the chicken was not fresh at all. We had a...bad experience and even after paying so much, we had to go somewhere else to eat and be happyMore",40,Aug-19,4,Jevinik Restaurant 2
778emmanueln,Great Experience,A dinning experience worth repeating as they offered good value for money. Conducive and inviting environment with courteous and prompt services. A good place for a date! Well recommended.,50,Mar-19,4,Jevinik Restaurant 2
Rolf605,My first Nigeria Cuisine experience,"My local Nigerian friends brought me here.  I had a great time here.  Especially the food are inexpensive and tasty.  Must try the Moi Moi.  It might look weird at first from Asian's point of view, but its addicting.  I think its made out of...some sort of beans, and steamed it to form like a body of a fish.  I had it with Coconut rice and some beef.  The beef is basically beef tendon that's a little mild.  Overall, it's a great place to dine.More",40,Jan-19,4,Jevinik Restaurant 2
