author_name,review_title,review_text,author_rating,visit_date,overall_rating
Deola I,Stole my money,"I was charged three times for a order on February 8, 2023. I was told to show proof of the debit which I have done more than once. Two months later, I still don't have my money. I believe someone stole my money that's why...they don't want to return it. I have lost all faith in this restaurant.More",40,February 2023,4.0
larrysR6038ZT,DELAYED SERVICE,"Great burger good location,the only thing is that the short fair manager Hope who was supposed to attend to our complaints was up in the managers office one Namir by name doing what we don't know and still came out unapologetic",40,December 2021,4.0
David M,Awesome burgers,"These are brilliant burgers, I love them. But what sets this place apart from other purveyors of fine burgers is the bar, being able to have a beer with your burger, closely followed by a couple of tequilas - epic 😋",40,March 2022,4.0
Dorcas201,"Great burger,bad service","I love the burger taste,it was great and delicious  but the problem I had is the services rendered by the server,a slim and dark lady,she’s sluggish and doesn’t know her menu",35,November 2021,4.0
Putin100,Best burger place on the island,"What I love most about this restaurant,is the speed of service and the burger taste,they are the best",40,September 2021,4.0
Quentin S,One of the best burger in Lagos,"One of the best burger in Lagos, draft always available
Service is fast
Many TVs for watching sport, sometimes 2 games at the same time 
Bill is fair",10,May 2021,4.0
frankoY9112LU,TASTED AS GREAT AS THE LAST TIME,"The last time (which was my first time) i had a Johnny Rocket double burger was in 2014. Six years after, and its still as great and delicious as i experienced. Well Done Johnny!! Your consistency in excellence is amazing. Keep moving forward.",30,March 2021,4.0
Biggershoes39,Jonny wake up,"Rubbish 
A waste of money 

It took 7 calls to 3 different people 
And 2 text messages and 7k to receive this rubbish.More",50,May 2020,4.0
Osman T,Great burgers!,"Dear Vincent, 

We apologised to you, and even offered you a burger on the house as soon as your complaint came in,  in order to make it up to you. 

You insulted and made fun of the families of each of our team members, including...More",30,May 2019,4.0
Andrej P,Fine burger fast food,"Great burgers and shakes! Cool ambiance, authentic diner decor. Great service. Burgers are always good quality.",50,November 2018,4.0
vasug35,Best burgers in Lagos,"Typical fast food style restaurant with variety of burgers located right opposite to Eko hotel, if someone has cravings for burgers :)",50,July 2018,4.0
serenaa,"Went twice, niggling unease, superb cheesy chips, moreish coffee milkshake","Johnny rockets offers best chicken burgers in Lagos though it’s debatable. 

I love the chicken burger though I am a big fan of McDonald’s chicken burgers. Since Mcdi is not here in Nigeria, Johnny rockets is the best available option",50,December 2018,4.0
Francis N,Good old fashion authentic burger,"I went on 2 consecutive evenings over Christmas with family. The ambience is welcoming, though the dimmed lighting made reading the menu somewhat challenging (silly me forgot her glasses🙈). 
On the first day, I had a bacon single cheeseburger with cheesy fries. I could barely...taste the bacon, the actual burger patty was dry and tasted somewhat gamey, almost like it was made from goat meat... one of my fellow diners thought so too. The onions were raw rather than caramelised and the bread seemed a bit doughy. I ended up with indigestion and mild heartburn, and kept belching up a foul oily aftertaste... overall, I would not recommend this burger nor would I try it again. The saving grace was the cheesy fries which was really cheesy and soOoo yummy, I would order them again and the serving portion was generous too.
Sucker for punishment that I am, or maybe in the spirit of Christmas and keeping an open mind, I returned the next night as the children in the group insisted on Johnny Rockets. I knew I was going to have the cheesy chips for sure, but decided to try the Chicken club sandwich on wheat bread this time. The bread tasted stale and the salad in the sandwich was underdressed, the chicken was dry and stringy. As a personal choice, because I find it easier to manoeuvre, I prefer my sandwich cut into 4 and preferably without the crust. I did not enjoy this club sandwich. I had a coffee  milkshake which was full of flavour, rich, creamy and very moreish. I asked to speak to a manager,but was told there wasn’t one on site. I mentioned my concerns  to our server but he wasn’t particularly helpful, although, I guess if that’s the usual fare and no one else has mentioned these  and people like me despite the complaints keep coming back, then there’s no reason for him to be concerned.More",10,October 2018,4.0
Ade703,Not bad,"Good old fashion authentic burger Is what you get here and by my reckoning, the best milkshake in Lagos if not Nigeria. The beef burgers are wonderful, environment just reminds you of iconic America.
The music from the “juke box” doesn’t play like you want...it to anymore. Nothing like enjoying some special old numbers.More",50,August 2018,4.0
Rysz-DK,Not good quality,"Johnny Rockets is an ok burger place...the burgers are pricey but generally taste ok. The milkshakes are divine, a winner everytime",40,September 2018,4.0
Ade2566,Rocket Losing its Fizz?,"Johnny Rockets really did arrive in Nigeria many years back with a Fizz! It was the GoTO place for Burgers.. Very expensive burgers and fries and milkshake. The Trifecta can easily set you back $25 and considering the average monthly wages in the Country, this...More",40,September 2018,4.0
Ephi,Nice Ambience,"The burgers are good but not great.
Certainly better than most of the available options on the Island.",40,April 2018,4.0
gcxotf,No No No,"Had a quick meal in the afternoon. Place empty, still service took a while. Quality of the burger below any eatable standard. For a similar price would rather go to Hard Rock with better crowd, quality & atmosphere.",40,October 2017,4.0
TaofickO,Uneventful Burger Experience.,"Visited Johnny Rockets with 2 other friends for lunch. Great ambiance and clean environment. 
We got to choose free songs from the mini jukebox on our table. 
However, was put off by the staff attitude. They were not so welcoming. The appeared tired and uninterested....More",35,November 2017,4.0
chijiokeo307,Classic JR,"Nice, clean and well decorated outlet fashioned in the usual JR franchise style of the 50s. Was in one outlet in dubai and there is no difference. Major snag is the limited parking space and the average cost of their burgers  ( over 10 USD...More",40,October 2017,4.0
Valdis A,Trendy&Costly Fast food,"Visit that place after 1 year and as I realize - portions become even smaller but price goes up. Also the quality been not in the standards of JR or even random bar in Lagos. 
I understand that we are in Naija but c'omon guys...More",30,July 2017,4.0
SaintDalton,Simply Trendy,"I have done the birthday of my daughter here in August and I told the staff about her birthday the moment we entered the cafe.
 They were generous enough to do a special presentation for her birthday that made it so special.
Recently I went...More",40,September 2017,4.0
cornelis2017,nice but too expensive,"if eating for fine dine prices would expect also a wine card , nothing like this . Service was very friendly. However as a burger insider cannyt imagine they calculate these prices . Never had a fresh burger soo expensive .
Quality however quality was...More",20,January 2017,4.0
876steve2016,Food is ok just,Used to be exciting and with a bang. Now it is all tired.  Need to do something exciting otherwise it will die,30,June 2017,4.0
Bobztraveler,I was expecting some Johnny Rockets experience :(,"i was so much looking forward to this experience at Johnny Rockets VI Lagos/Nigeria.

The shake was great, the fries were ok, but not Johnny rockets', the burger was nothing like a JR.

I ordered my favorite #12 and i received a burger that tasted...More",30,May 2017,4.0
gatiri4life,Always great with children,Good food what more can I say and the children always have fun with activities to keep them coming back for more.,30,February 2017,4.0
MOI2015304,Birthday hangout.,Nice! you would want to visit again. Food is great if you like burgers.It is located in a good neighbourhoo.,50,November 2016,4.0
Phearphire,Great burgers,"Clean environment, friendly staff, top notch burgers, we ate in and service was impeccable even entertaining at times. 

I would recommend they reconsider their takeout packaging on the Burgers as while the burgers are always perfect in the restaurant the packaging on takeout can cause...More",40,February 2017,4.0
262Blondy,Disappointment,"Well, its a clean and nice place in a good location, friendly stuff.
But its TOO expensively for a fast food restaurant and since our last visit we find all portions reduced. A glass of milk shake is more than 10$, which i find ridiculous!!!...More",20,February 2017,4.0
MohamadJr,Good food,"Dearest Customer,

We are so sorry to hear about your recent negative experience.  As high-ranking Trip Advisor Contributor who has rated us 5 stars in the past, we are especially saddened by your review, and are taking it very seriously.
 
Firstly, thank you for your...More",20,April 2016,4.0
douglasvh,Greasy American Food,"If you are craving a greasy bacon cheese burger, do or order out. I have usually ordered delivery with Johnny Rockets. They are true to the USA model of the restaurant. You'll get a satisfying burger, but for me there's nothing unique about the food.",40,December 2016,4.0
Titi O,Authentic burgers and shakes,"Authentic American burgers and shakes.  My kids love their milkshakes which are available in a wide variety of flavours.  Burgers, Chiken tenders and fries are also a great treat.  The convenient delivery service is a nice touch.",40,September 2016,4.0
Abere N,Pretty Expensive Burgers,"So my lady and I had 2 burgers, fries and 2 glasses of milkshake. We were shocked when we were given a bill of NGN19,800. I tried converting to dollars using the current exchange rate and truth is, I don't think burgers in the US...More",40,December 2016,4.0
ReviewsByNS,Fine dine McDonald's 🤑,Nothing special about the burgers... v oily onion rings... basic fast food restaurant decor with fine dine prices..,35,March 2016,4.0
Bart_Boy_ID,Best burger in Lagos!,"Yes! This this the place for the burgers mania.. 
with good environment and classic music box, you can listen your favorite music!!",40,December 2016,4.0
Robertsnov,Good burgers but not a budget place,"Went for a quick bite to eat, service was prompt, waiter was courteous and very knowledgeable about the menu (was a great help to us ) ordered burgers fries and onion rings, and they were excellent, big,juicy,tender. fries were lovely and hot and the onion...More",30,December 2016,4.0
MartinDarlyn,Good but not Cheap!,If you are looking for a place to chill and have a good burger then Johnny Rocket is just the right place to go. Although their prices are not particularly cheap but you can rest assure you'll find the variety of burgers tasty and filling....More,40,November 2016,4.0
TitiDokubo,Simply Amazing,"Visited during the MasterCard Restaurant Week and had a little bit of a misunderstanding. This was sorted out when it got to the manager Namir some days later and he offered me a meal on the house.

The waiters were friendly, burger was simply delicious....More",30,November 2016,4.0
