author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
Ryan T,Amazing!,"It is a pleasure to write a letter of recommendation for the Italian restaurant at the Lagos Sheraton Hotel.  Special compliments to Atinuke and Godstime for exceptional service. A lot of restaurants produce great food, however, it is rare to find the quality and attention...to detail that Atinuke and Godstime have.  

A special thanks to both of them for a job well done.  I look forward to returning to the Italian restaurant the next time I am in Lagos.More",40,Feb-23,4,La Giara Italian Restaurant
karpoozi,"Great food, great people.","I have been on the road for a while now and really, really needed a delicious meal. La Giara did not disappoint! The menu offered a lot of variety, and dishes I have not seen at any other restaurant. Absolutely incredible. And the staff was...amazing, Shade took very good care of our table.More",40,Dec-22,4,La Giara Italian Restaurant
beckyaZ4079AG,Ah-mazing service & food,"After a long day of travel, this was such a great way to end my day! Shade was our server and was attentive to anything we needed.  Excellent eggplant parmesean, generous servings. I was with 2 colleagues and we could have ordered 2 dishes for...all of to share, with extra.  We all walked away full and ready to rest. If you're in Lagos, particularly if you're staying in the Sheraton, you won't regret eating here.More",40,Dec-22,4,La Giara Italian Restaurant
roloc888,Great oasis in Lagos,The food and service was excellent. The variety of food available is impressive. I had a few meals here and enjoyed each one of them thoroughly.,35,Nov-22,4,La Giara Italian Restaurant
alaasQ3032PV,La Giara Italian restaurant/ review,"The food is very nice and hospitality is great , particularly Mrs.Shade & Mrs.Sandra as they are doing the best to satisfy the customer needs , they are an amazing helpful person .

Thanks Shade and Sandra 
Thanks for your kindness and hospitality",35,Sep-22,4,La Giara Italian Restaurant
HusseinElkadi,Very interesting,"The staff is very helpful and the place is very interesting 
I recommend it especially for non Nigerian guests as there are a lot of food varieties",50,Sep-22,4,La Giara Italian Restaurant
RomainP753,Very good service and nice food,"Youcef took care of me very well. He is a perfect waiter, very professional and very nice.
I didn’t know what to chose but I would like Pasta. He recommend me to take the « make it yourself » pastas and it was delicious.",50,Aug-22,4,La Giara Italian Restaurant
SingaporeNomad91,Personable service from Atinuke,Ordered shrimp risotto. Absolute generous serving. Requested for some spicy condiment. Atinuke came back with raw chopped chilli in light oil. Top class service. Superb taste.,50,Aug-22,4,La Giara Italian Restaurant
ridasabri,Very good service 👍,Delicious Italian Food served here. Extremely friendly staff and very good service 👍. A must visit place.,50,May-22,4,La Giara Italian Restaurant
Ruthbara,Trip of a Lifetime,"We were visiting Lagos, Nigeria for the first time. Didn’t know what to expect and we didn’t plan a full busy itinerary like we usually do. After exploring local cuisine, we wanted a taste of something familiar. We decided to try this restaurant since it...was in the hotel lobby. Philip, our waiter, made our dining experience such a pleasure. He was friendly, knowledgeable and made the best recommendations ever for our meal. 

My husband is a very picky eater and Philip listened well. He conveyed everything to the chef and the food was amazing! My husband had lasagne and the salad buffet. I had a make your own pizza. I’m sensitive to tomatoes so Phillip suggested an alfredo base which was not on the menu. He was attentive and we enjoyed the experience so much that we ordered dinner to our room the next day! Guess who our server was, Phillip! He did it again. I wanted salad, so he had them make a special one just for me and remembered no tomatoes. I asked lots of questions about the menu and even mixed and matched items from various hotel restaurants. It was delightful and the portions are big.More",50,Apr-22,4,La Giara Italian Restaurant
