author_name,review_title,review_text,author_rating,visit_date,overall_rating
NaijaBabe2016,Truly Authentic Italian Cuisine!  🧆 🍤 🍝 🍕,"La Veranda Italian Cuisine/Restaurant is part of the leisure and hospitality entity known as The Blowfish Group. This comprises of a hotel- The Blowfish Hotel, 9-7 Supermarket and about 5/6 Restaurants. The Restaurants include: Izanagi Japanese Restaurant, Woks Asian Cuisine, Seabass Seafood Restaurant, Velvett Grill...Lounge & Bar, Mahawis Lebanese Grill and of course- La Veranda Italian Cuisine. A Purple Restaurant was also listed, but don't know if it's still operational, or the name changed. La Veranda and Woks Asian are located inside The Blowfish Hotel, while the others are situated in and around the same street. There's also 'The Poolside by Blowfish'- a casual/sports bar type eatery by the hotel pool. I had the pleasure of dining at Izanagi Japanese Restaurant a few years back; (you can read my separate review of it on TripAdvisor). 

Even though I knew The Blowfish Group had a number of restaurants, I had no idea an Italian Restaurant was a part of them. On this visit to Lagos, I was with 2 of my daughters who happen to love Italian food, so a google search of Italian Cuisine on Lagos Island brought us to La Veranda. The restaurant is located above/opposite the pool area, just by an adorable children's playground surrounded by lush greenery. You access it via a staircase. The restaurant was lovely, with an elevated, breathtaking, 'deep blue' backdrop of Blowfish Hotel's swimming pool. Service was fast and efficient, but our main criticism was that we were not informed that there was a non-smoking seating area. We ended up sitting in the smoking area and got simultaneously bombarded by the second hand cigarette and shisha smoke of two different sets of customers. Had we known this, we would have asked to be seated in the non-smoking section of La Veranda. They had outdoor, as well as indoor seating.

La Veranda Italian Cuisine has an awesome menu featuring numerous Italian Classics. It comprised of 14 ANTIPASTI, 9 SALADS, 2 SOUPS, 20 PASTAS, 6 STEAKS, 8 MAIN COURSES, 3 PIATTI DELLA CASA (HOUSE DISHES), 12 CLASSIC PIZZAS, 3 VEGETARIAN PIZZAS, 3 WHITE PIZZAS, 2 SIDE DISHES, 6 DESSERTS, 3 MILKSHAKES, FRESH JUICES, COFFEE & TEA, 4 MOCKTAILS, SPECIALTY SHOTS, COCKTAILS, and a heck of a lot of ALCOHOL, plus a sizeable SHISHA selection. 

We were a party of 3, so for our Starters, we ordered the ARANCINI (a rustic, Italian favorite, crispy bites of risotto, breaded mozzarella cheese, served with creamy balsamic sauce for dipping), SHRIMP SCAMPI FRITTA (hand-breaded & fried shrimp lightly tossed with garlic & a butter lemon sauce) and BASTONCINI DI MOZZARELLA (MOZZARELLA SQUARES). We also ordered a Classic Pizza- the FRUTTI DI MARE (tomato, mozzarella, shrimps, calamari, garlic, chilli). For our Mains, we ordered the PENNE AL PESTO (penne pasta tossed with homemade basil pesto sauce), a TAGLIATELLE CON POLLO (thinly sliced chicken breast, sauteed mushrooms in a fresh cream sauce, over a bed of pasta ribbons) and the RAVIOLI DE LA CASA (homemade fresh ravioli filled with ricotta & spinach, prepared with a mushroom, creamy rosa sauce). 

For our drinks, we got 2 Mocktails, the BERRY GO ROUND (raspberry, mint) and VERANDA PASSION (passionfruit, strawberry, orange), and one VANILLA MILKSHAKE. We got a takeaway order for our driver. It was, the SPHAGHETTI ALLA BOLOGNESE (sphaghetti topped with a hearty tomato meat sauce & fresh basil) and a MIXED GREEN SALAD (mixed lettuce tossed in our signature lemon vinaigrette with tomatoes, green pepper, cucumber & olives). The Starters were good, but for the Arancini, I expected the creamy balsamic glaze to come as a side dipping sauce, as opposed to being drizzled on the Arancini. It had an unappealing color that looked like a caramel sauce. I also thought that the Shrimp Scampi would be a tad bit more fried than it was. The Mozzarella Squares were imcredible. 

The Seafood Pizza was delicious, however, the pizza crust/base was a little on the thin side and there wasn't enough calamari on it. My Ravioli was amazing- so smooth and creamy, but the portion was on the small side. My daughter didn't like her Vanilla Milkshake. She found it to be too sweet and quite grainy with tiny pellets of ice in it. They both really enjoyed their Tagliatelle and Penne Pesto. The Mocktails were very good- fruity and refreshing. Our dining experience at La Veranda Italian Cuisine was overall, a rather pleasant one. As previously mentioned, the main 'hiccup' we had was other diners blowing smoke in our direction, and that was very unfortunate and super annoying. None of the staffers wore name tags, so I can't identify them in this review, but the service at La Veranda was generally quite impressive. The food is without a doubt truly authentic Italian Cuisine! 👌🏽 Even though Italian Food doesn't quite make my list of 'Top Ten Favorite Cuisines' in the world, I look forward to visiting La Veranda Restaurant again; sometime in the near future! 😄 Highly, highly recommended!!!More",40,August 2023,4.0
KevinTscharner,Expensive,Very Expensive. The menu does not show the price of things unless you go on their website that does not contain the full menu…  Difficult to find a meal with lots of vegetables if that is what you are looking for.,45,August 2023,4.0
Oyeols,Nice place!,"The ambience of La Veranda was good. Felt very chill and family friendly, unlike some places in Lagos that seem to try too hard with their ambience!
The main course of a t bone steak was okay. The food was pretty bare! Just the steak...on a wooden platter and a basket of fries. I'd have liked sauteed vegetables to go along with it
The tiramisu dessert was really nice though, with lots of visual interest.More",45,April 2023,4.0
Sergio L,Bad experience,"Nice location but terrible kitchen...all night my family font slept about stomach pain, very expensive too
Fake Italian resturant!",40,September 2021,4.0
Kelly M,Great ambiance!,good morning sir Please accept my sincere apology. could you please call my number  it is 07080070295 Thank you,40,August 2021,4.0
Ade703,Not bad but could be better,"I met some people here for drinks.  The atmosphere was awesome and we enjoyed the music, the seating was comfortable, and the drinks and snacks delicious.  I will definitely go again for dinner. The menu looked great!",40,May 2021,4.0
abboudhiba,Little Italy,"La Veranda is located within Blowfish hotel and is one of several restaurants on the premises. It's a nice outdoor setting overlookingthe pool (though there's a small indoor section) with a lively crowd and music from the DJ. It's well staffed and turnaround time for...the food is good. 

On the flipside however, the food and drinks to me are a bit overpriced, I haven't gotten value for money on the few occasions I've been there; the milkshakes honestly tasted like nothing more than blended diluted ice cream. The pizza however is quite good. This is a good hangout spot for a Friday or Saturday night.More",30,November 2020,4.0
bajo111ng,Lovely Atmosphere,good morning . thank you for your feedback. we will address these issues you raised. please stop by soon to see our improvements. Thank you,40,August 2020,4.0
Lawal44,Meal Varieties,"I have to say as a foodie myself after discovering La Veranda it is pretty impressive. We sat outside overlooking their crystal clear pool and Experienced The food, atmosphere and service with utmost pleasure. I like to play with my food so I ordered fresh...tortellini pink sauce then added their homemade chili oil to it. Wine by the glass is a nice crisp South African Sauvignon Blanc. What I appreciated most is the distance between every table and that each table has its own sanitizer spray on it. Will make this my regular dinner appointment!More",10,September 2020,4.0
JPVirdi,Authentic Italian Food,thank you for an awesome review . we cannot wait to host you again,50,August 2019,4.0
