author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
SaintDalton,Splendiferous,"I'm actually impressed with this restaurant. 
Everything's just great or perfect or ok.
Highly recommended",40,Aug-19,4,L'Afric
omohunola,Great food! Unimpressive service,"Food was reallyyyyy good but service was not that great. Went for lunch with a couple of friends. 3 people ordered for drinks and the waitress brought only one. 30mins later I called her to ask about our drink orders and she said she only...took one order and was coming back for the rest. She was really trying to be on top of her game but kept falling short. I believe they didn't have enough staff to cater because it was difficult to get a hold of our waitress at every point.
The food took forever to come! Thankfully she was courteous enough to update us when we asked. 5 people's food came and she went to attend to another table while the 6th plate was pending without any explanation. Let's just say the service was poor but the food made up for it. 
We ordered the l'afric special rice & fried rice, platter, kebab and rice+obe dindin. We all loved our food.
Oh and the portions are massive for a really good price. 
Would definitely go back, hopefully service is better!More",45,Dec-18,4,L'Afric
Chinchin09,Real Pounded Yam,Great menu! I love the fact that this restaurant serves real pounded yam and not flour. My favorite meal is the Seafood Okro. I also love the white soup. Great lunch place! I also love this place for a budget weekend meal with my family....There’s something for the entire family including the little ones.More,35,Oct-18,4,L'Afric
nubian1800,Lunch Time,"The food is good as I have tried various meals. However, service is poor and could get worse when the restaurant is full or very busy. Wait time for food can be 45mins or more. You have to struggle to get a waiters attention and...the waiters are generally not friendlyMore",40,Nov-18,4,L'Afric
yogunrinola,"Seafood Okra, or Plain Okra?","Business meeting over lunch poses the dilemma of which to choose. Both are exceptionally good. Being that lunch time is ranked, plain okra it had to be. Which was just as well - it took an effort and a half to get off the chair...afterwards. When I grow up, I'm gonna poach this cook and keep him for myself!More",50,Aug-18,4,L'Afric
Omelebele N,value for money,"nice place good service , affordable food with lots of verities especially home like taste cooking and good selctions of drinks",40,Apr-18,4,L'Afric
evelyn e,African Food,"I like the jollof rice. Good chicken too. you can eat in and take out.
the food is always served hot.",50,Aug-18,4,L'Afric
Willy O,Great restaurant at Sanusi Fafunwa street,"My colleagues who had fed at L’Afric and were full of praise for the place invited me there for lunch. Being a skeptic, I grudgingly agreed. It meant driving from our office at Lekki Phase 1 to Victoria Island. 
As I stepped in I noticed...their very impressive layout of tables. As we struggled to pick a table one very polite waiter walked to us and asked if we wanted privacy or would rather enjoy enjoy a little noise. We chose to stay at the middle and enjoy a little noise as we equally wanted to banter with ourselves. 
I asked for fried rice and plantain as I wasn’t quite sure if their Nigerian dishes would be well made. My colleagues ordered Nigerian dishes. All the meals came out great and I quickly regretted not going local. But then, my rice was exceptionally tasty. It was truly adult dose in portion. As hard as I tried, I could not finish the meal. 
The waiters were generally polite, neat, and readily volunteered information and fresh ideas on what to combine with our main meal or drink.More",40,Jul-18,4,L'Afric
485cheryla,Pretty good,The service was really fast. The seafood anything is the best. The seafood okra and seafood stew were delicious. I did not enjoy their egussi as much. The servers should learn how to smile. Their fresh juice is fantastic!! Music in the background was also...good. Wonderful place to take people to experience the best in Victoria Island for Nigerian food.More,40,Jun-18,4,L'Afric
missdeola,"Good food, poor service.","L'Afric is a great place to get Nigerian meals. You'll like both the quantity and quality of your meals. Just don't hold your breath for good service. If you call to order, your food may be ready when you get there in 30 minutes or...you may have to wait another 30 minutes - nothing is guaranteed. They have a private members club, so those ones get good service. Members of the public are just there for good food if you don't know anyone.More",40,Feb-18,4,L'Afric
melvin d a,"Everything tastes good, my all time favorite","This place is a referral. it has not disappointed yet.  i have dined here, breakfast, lunch and dinner.  is it possible for all items to be tasty? this might be as good as that claim gets.  the ambiance is great, the price is reasonable given...comparative menu prices for 
 other food establishments with non-matching tastes.  it is not just a go-to place. It is the Go-To place in Lagos. if you find a better diner, i'd like to go compare. the waiters are super-fast.More",40,Mar-18,4,L'Afric
KBS39,"Food is SPECTACULAR, Service is POOR for large groups (6+)","Attended the 1st time with 2 brothers and the food came in a reasonable time frame and was absolutely delicious. The best I've had anywhere in Lagos.

So good that I went back with half my family (8/9 or us). This time around the food...took 1hr 20 mins to arrive and 6 out of 8 orders were wrong. The food was still amazing and they gave us a 10% discount as a goodwill gesture.More",40,Jan-18,4,L'Afric
Dati3514,Great food and good value for money,"L'afric serves delicious local african delicacies. Great for lunch. I love their fried yam, peppered snail and sauce.",40,Jan-18,4,L'Afric
Emmanuel E,Good local food,"I had dinner with my friends. Hmm! once in, the whole place was busy. Orders did not take long to arrive; and they arrived delicately presented. I enjoyed my meal, so did others at the table. Did I forget to add that the food was...tasty? Yeah! really tasty food. I would recommend this place to anyone desiring to have a good taste of Nigerian dishes. Keep it up!More",30,Nov-17,4,L'Afric
tempest872,"Good Food, Iffy Service","It was lunch time out of the office for a change. Called ahead to book the food. When I got there 40 mins after, had to wait another 20 minutes for the food - ordered pounded yam and seafood okro

Ambiance was good - silent...from the hustle and bustle outside. Fairly priced though why my bill contained alcoholic beverage when I ordered water is beyond me!More",50,Aug-17,4,L'Afric
AdioB,Good Local food,"Really nice restaurant for having a variety of local dishes, delicately presented, with a bar to quench your thirst. Good ambiance, waiters. I loved the meal presentation. Nice.",40,Sep-17,4,L'Afric
TimmoW16,Good local food at good prices,This place is very busy at lunch time and you will see why. If you want to try Nigerian food this is a good place. It has a good selection and the prices are reasonable.,45,Sep-16,4,L'Afric
B4sure,Not a bad first impression,"Some peanuts was served while we waited for our meals. Portions were large. Quite tasty. Price was very reasonable, considering the location. Ambience not bad. Service was professional, straight to the point kind of. Parking can be a challenge if you don't have a driver...More",35,Apr-17,4,L'Afric
AbimbolaNN,One visit is never enough,L'Afric is a unique restaurant for African inspired dishes prepared with fresh ingredients. Food portions are generous and the staff won't hesitate to pack unfinished meals as takeaway. Good prices and relaxing atmosphere too,40,Apr-17,4,L'Afric
FolaO,Really good food,"This was a really nice experience.  The food was very tasty, the service was fair (only because the food takes a while), portions were on the larger side and the ambiance was pleasant. I would definitely visit this restaurant again.",40,Feb-17,4,L'Afric
ChrisA90B92,Fine Nigerian food,"Nigerian colleagues took me for lunch to L'Afric. It was very busy but we could get a table immediately. The restaurant is small, has not a fancy look but it's clean, cozy and we had a large choice of local food. We were quickly served...More",40,Apr-16,4,L'Afric
Layiwola A,With Visiting 'expat' friends,Dinner out with visiting Polish friends wanting a taste of African big snail. The restaurant rates on average for me; the room was too dark and the snails were weak and small (Snails are best enjoyed crunchy). Drinks -Guinness extra smooth -sought were not in...More,40,Jan-17,4,L'Afric
Lola S,All in one,"I went with hubby and his friends,  ordered all sort,  I asked for the pot of isi-ewu,  and was a bit impressed it came in the traditional pot (though sincerely I was expecting 2pots,  where the parts are separated) I was looking forward to the...More",50,Feb-17,4,L'Afric
