author_name,review_title,review_text,author_rating,visit_date,overall_rating
lebariu,Poor hygiene and sanitary conditions,Food was okay but the restrooms were a total mess. I understand it's used by staff and guests but the whole experience was marred by the unsightful experience and compounded by management response that the cleaners had not yet started work. Leaves me wondering about...the conditions under which food is prepared.More,35,September 2022,3.5
gabriellepP7662NJ,management is terrible,"Well what can I say. Nothing really except thank you for informing me indirectly. Because staff are not supposed to use the customers toilets. But according to you they are. And the manager was not doing his job, because it the toilet were not cleaned...More",40,April 2022,3.5
Ayfay,"HORRIBLE LIARS, THIEVES and CHEATERS",this place has a problem with international payments and cards and if their machine doesn't work they blame you the customer as if it doesn't work.  don't support this place. they told me today that they know they have this problem but do not have...to tell customers in advance.More,35,December 2021,3.5
Kelly M,"Yes, again.","Well sorry for your experience with international cards. You see we do not provide that service it is the banks and if they have a problem, we as an institution get blamed. Well we are so sorry. It was never in our hand.",35,August 2021,3.5
Amma N,Dinner,They will add a lot of things you never ordered to your bill if you are not careful and watchful… it’s important to take tab of the bill as everything comes… these people are thieves! I will never ever go there again. They would have...gotten zero star from me if that was an option.. they deserve NOTHINGMore,40,July 2021,3.5
foodie786123,Nice evening,"I was craving Indian food and when my colleague/friend invited me to go with a small group, I said yes. The restaurant is on the water, and is quite lively with many families and groups of friends. There are many wait staff ready to help...you with anything you need.  There is draft beer. The food was perfectly spiced and we all had a different type of bryani. Delicious.  Thank you.More",10,March 2021,3.5
TheLuckyTraveller14,"So many personel that they add 27,5% to your bill",One of the Best Churrasco  with amazing garlic bread and hot pineapple/cinnamon dessert ...it is a most 😃 every time am in lagos,10,January 2020,3.5
Bunnykaldeve,Grilled Prawns and Seafood,"Nice open place good food a bit over priced but was a nice evening nice water front feel .
The Indian cuisine is not authentic but was ok we liked the arabic and the jumbo chapman",10,January 2020,3.5
Freja A,Go for the fresh seafood on Thursdays,"There is so many personnel walking & watching TV in this place that someone needs to pay them, that’s the costumer. 
Not that you get a better service, when you need a drink, you need to wait, because most of them are watching TV.
The...food was average, nothing special, but the bill is a big steal, you pay on top of the already expensive prices additionally the 10% vat (ok that acceptable) but the add 7,5% service tax? And a additional 5% Lagos tax, and than they round the bill to 500 up because they have no change.
So you get rip-off after-all. Stay away, they are many more and much better places in town!More",50,January 2020,3.5
RabihJ,A Culinary “Experience” in Lagos,"Thank for the note concerning the staff, and the change matter. It will be taken care of, ASAP. Concerning the Taxes you have your numbers wrong. Nigerian Tax Law are the following. 5% VAT that was increased the beginning of February to 7.5% then another...More",40,December 2019,3.5
utahgoldsunset,Wonderful restaurant,"This is my favourite spot for grilled prawns and other seafood and the view is quite nice ..on some days it can be quiet away from
All the noise in lagos",40,December 2019,3.5
chinenyeu2019,Relaxation,Thank you for your review,10,November 2019,3.5
