author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
762shefip,Good experience and thry have coke zero,"Service is good, except for the WiFi which wasn't available. Worth another visit. Spicy chicken and fried rice were good m lemon chicken not so good but overall good experience",40,Jun-21,4,New China Restaurant
Paul B,Good Chinese food,"Very good western/Chinese food with an extensive menu.
 Food very good, nicely cooked and plenty of choice for all.
Comfortable environment and good, friendly service",40,Sep-19,4,New China Restaurant
AndrewAONG,Great Food,Courteous service with lot of options to pick from. Our party of three was happy with the service. Will definitely visit again.,40,Nov-18,4,New China Restaurant
David A,International Chinese cuisine even cheaper than local Nigeria restaurant,Each time I visit this restaurant with our clients I always admire the effort of these hard working Nigerians and their Chinese employer and chef i guess serving mouth watering foreign dishes that is even cheaper than the top Nigerian restaurants. The only restaurant so...far with food menu that is very creative with pictures so that if you don't even remember the name you will have no issue.More,50,Aug-18,4,New China Restaurant
Khaled_Enein,Very good restaurant,"I usually don’t go to Chinese restaurants, I tried this one, it’s really nice.
The prawns are the best, fish is so fresh and tasty and the service is perfect",40,Jul-18,4,New China Restaurant
Wema34,So- So,Went here when the hotel was supposedly closed by authorities and got some take away...not to impressed and the process of payment by card was too cumbersome,50,Nov-17,4,New China Restaurant
alpera886,Quick an lovely service for the delicious food,"This food for this price is very good. 
Thanks for the nice service.  This one is local Chinese restaurant. They are also serving at the beginning hot wet towel!",30,Mar-18,4,New China Restaurant
sagmekzie,"Excellent meals, tired premises",Meals were well made and tasty. Services was also good and prompt. The restaurant itself can do with a face-lift though.,40,Nov-17,4,New China Restaurant
Sumitngp278,Superb chinese,"Probably the best Chinese food I’ve eaten in Nigeria and for the quantity they serve it’s rightly priced.
The prawn cutlet was fresh and crispy. We also ordered some spicy dry chicken which was amazing and so was the mixed fried rice. Will recommend to...people who are looking for a nice authentic Chinese food experienceMore",40,Jan-18,4,New China Restaurant
scratchbrovaman,Very Expensive though,"Maybe im just being ridiculous but in comparison to all the chinese restaurants in Abuja, this was WAAAAY too expensive. I think it might just be a lagos thing. Food seems to be generally expensive in Lagos. I almost decided to starve after seeing the...prices of food.More",50,Sep-17,4,New China Restaurant
treva123,"Good value, tasty authentic Chinese cuisine.","We had a small meal whilst we stayed at the Sheraton, Lagos.
Good portion sizes, well priced and a good range on the menu.
Staff are friendly and despite the exterior of the building, the interior looked clean and well furnished.",30,Apr-17,4,New China Restaurant
renaypan,Overpriced but tasty,"This restaurant is practically next door to the Sheraton, so definitely one of the few places within walking distance to eat.  Locals seem to like the place, as it was very crowded when we were there.  Reminded our group of overpriced ""Panda Express"" food.",40,Feb-17,4,New China Restaurant
Ian L,Arguably the best Chinese food in town,"My family has been frequenting New China Restaurant consisting for the past decade and a half. Having tried most of the Chinese restaurants in Lagos, New China stands out for its food quality. Consistently awesome, the chefs rarely disappoint. May not have the views or...ambience of some of the more ""fancier"" places, but the décor is tasteful and the atmosphere is classy in a subtle and subdued way. Service is great too.More",30,Feb-17,4,New China Restaurant
Chizoba O,Quite pricey but good enough.,"My second time of going to New China restaurant after so many years. I had the steamed prawns Dumpling (N2800 for 4 pieces), Seafood soup with bean curd (N1700), Steamed rice (N1600 for a bowl) and Fish with broccoli on hot plate (N6700) and chapman...(N1200). Their prices are quite steep I must say. Their food was good though their dumpling wrap was a bit doughy. Not the clear white and thin texture you get from Chopsticks Chinese Restaurant (Ikeja) or Jade's Palace (V/I). I was surprised to see how busy it was that Sunday afternoon considering that the restaurant is located at the basement and the sign outside the building is almost invincible. Service was courteous too. A big minus for me: I was served the ordinary rice instead of the basmati variety Chinese restaurants use and it wasn't even salted. I expected to get more salted flavoring from the fish sauce but it seems the restaurant is afraid of salting their food. For such a steep price I expected better. The only meal I enjoyed was the seafood soup. A good enough place to take your family or friends to if you've got the money to burn.More",50,Feb-17,4,New China Restaurant
giteshyagnik,Excellent place for Chinese food.,Excellent place for Chinese food with good service and ambiance. Staff is very courtious and serve well. Food is very satisfying.,30,Jan-17,4,New China Restaurant
