author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
JusticeJoyce,Ambience & Vibe = Adult but some Entrees are Lacking,"Great service. 
Food just average. 
I'd recommend Fresh Cut fries anytime. 
Beef Bourguignon - beef wasn't sliced as thick as I anticipated but not suya street meat thin. It's served separate from the mashed potatoes. Included zucchini, carrot and just a touch of onions. The...sauce could have been more robust with flavor. Even the French cook with my more spices/seasoning/flavor. 

Lobster Thermidor - forever grateful they do not use egg. The rice pilaf that's served alongside is as bland and flavorless as possible. You'll do best rolling the thermidor amongst the rice so the cream rolls into the rice. A half portion was sufficient, but I'd totally recommend the full serving should you have time/money/room. 

Chicken Sandwich (Burger) - this was chosen as grilled over battered. We had a lot of carbs so there's that. The fries were crisp and seasoned as they should be but you rarely find in these parts. Topped with lettuce. Mayo spread. Tomato slices. Fried onions that were cold against everything else. Recommend with a notice to watch for the toppings condiments if you have allergens.

Truffle Pasta with homemade fettuccine - I was asked and opted for the homemade pasta. I probably should have went with the store bought. The Parmesan cheese topping is authentic but the truffles were hard to find and Taste yet the butter was prominently evident. Given all the dishes and the lack of flavor begging for immediate consumption - I had it packed to go home via takeaway. 

By the way they charge for ToGo containers. Take away. At these prices it should be included. 

Service was attentive. 
Saturday night had 4 tables total and the service didn't fail. 
The welcoming bread basket was served via a paper napkin in the bowl. Given these prices and location - I'd expect a cloth napkin at best. They have monogrammed cloth napkins at different seats in the restaurant. 
Vibe - good for a date night or group or family. Took the window view and sat in the booth. Lighting was apropos for the mood.  

I shall return for salads, soup and fried shrimp. Plus, I know I'd like to try 1 dessert eventually but no rush to drop 40-60k. 
See the pictures for the dishes.More",40,Feb-22,4,Noir
Ayo O,Fine Dinning in Fine Portions,"Noir boasts of fair parking space- that is important when you choose to dine out on a weekend evening in Lagos.

 Climb up to the restaurant on the first floor and the interior welcomes you with brilliant Nigerian paintings that adorn its walls and a...full length window that gives a view of the street outside. House Music remixes of popular contemporary songs played in the background . Each table has a hand sanitizer for guests and the restroom is neat.

The waiters are attentive and their adaptability quite commendable.
However, the food..., yes, the food. 
For a glass of tropical cocktail juice at Noir, I expect hand-squeezed fresh fruits and not the obvious mix of supermarket packed juices.

The seafood salad arrives and looks colourful but the chef is miserly with the shrimps. I can make out the three pieces tucked beneath the lush greenery.
I compare this same meal I had ordered at another restaurant within the neighbourhood and certainly the chef here is quite restrained in his/her portions.

A good experience but I drive away wondering if I was billed, more for the ambience, than the meal.More",30,Sep-21,4,Noir
ChayanneBorgi,Best dinner in lagos,"Had a very good night, service was amazing, food was on point as always, It’s a MUST GO TO restaurant in lagos!",40,Apr-21,4,Noir
999kingsleya,The price quoted is in Naira not £ or €,The price quoted in the details is in naira not Euro or Pounds. Spent about 15k per person on basic 3course meal. That's roughly £30 maybe?,50,Nov-19,4,Noir
gaziedecker,Very good customer service,"Nice, relaxed ambience and very attentive customer service. I had grilled salmon with sauteed potatoes which tasted very good. Don't expect big portion sizes here though.",40,Nov-19,4,Noir
JoanO539,Expensive Business Outing,"Many thanks for your review, we look forward serving you again!",40,Jun-19,4,Noir
BOSSLADY205,Doesn't get any better than NOIR!,"We went out in a party of 20 for a business dinner, and sent in our orders the prior evening in order to speed up things we thought.
The starters were delicious and the ambience outside was great, even if there was some mix-up with...some of the drinks( Virgin Colada not being so virgin!)
The meal in itself was average and nothing  fantastic compared to the cost, and the waiters  could do with a bit of training as fare as fine dinning goes. Altogether a decent evening, but not value for money in my view.More",40,Apr-19,4,Noir
_abisheart,great food and attentive staff,By far the overall experience at this restaurant was amazing. The waiters were spectacular. The owner was awesome. The food and drinks were AMAZING! Thank God for this gem we found in Lagos!,50,Mar-19,4,Noir
Dupri00,Expensive,"went as a group of friends. The food was really good and the steak was excellent. The staff were also friendly and attentive .
very good coffee as well 👍🏽",40,Sep-18,4,Noir
oyinlolao2018,Lovely dinner,"Nice ambience but very expensive.

Waiters are well versed in the meals served and are quite competent for what you will get for a similar restaurant in Lagos.

Food is average in my view. Typically, contemporary food is served and great wines are available as...well.

Nice place to go for fine dining but watch your pocket.More",40,Jan-19,4,Noir
lizzielicious,Attentive manager,"Had dinner with a friend. The waiter was exceptional. The food was tasty, we had fried calamari as a starter then ordered different meals.  

My friend had jumbo prawns and pasta. I has Seafood Gratin, it was cheesy and tasty. I also had vegetables as...a side. It’s pricier than other places but worth a try if you want to experiment with French food. 

For drinks we did smoothies which were really good. We were too stuffed to have desert. 

I love the ambience and service.More",50,Nov-18,4,Noir
