author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
Christopher S,"Good food still, but where's the band?","Pat's seems to have gone a bit downhill recently - the Sunday evening band and BBQ used to be excellent but aren't happening any more. I hope they start that up again.

It's not a place you'd take the family. But that applies to most...bars I've been to in West Africa. The service is good, the food has never made me or any of my colleagues ill and the pizzas are really not bad at all. The outside area is pleasant enough, but inside can be a bit noisy. Crucially, the drinks are cold, although you tend to have to emphasise the point if you want a really cold beer.

The friendly female clientele aren't too annoying. If you want a quiet evening on your own to have a drink and something to eat, the best strategy is to buy whoever sits next to you a drink, make it clear that you're not interested and then let her sit there and keep the others away. 

When leaving it's best to make sure your Uber or driver are waiting right outside before you walk out. That way you can avoid the hawkers and the attentions of the ladies who haven't been allowed in or have been chucked out.More",35,Jan-20,3.5,Pats Bar
Scenic464574,Vile,"Full of old white expats and very young Nigerian girls wearing nothing.  This is not a place to ‘catch up with friends’, it is a brothel.   Vile place.",35,Jul-19,3.5,Pats Bar
champion300,"Ok, the purpose of being at this place is obvious....","Funny how the picture on this site shows all men at the bar while it is quite the opposite when you go....  Let's face it, tons of girls go at this bar to round up the month meeting foreigners and they are not looking for...love ;) Very average place depending on what you are looking for.....More",30,May-19,3.5,Pats Bar
treaze,Night Out,"It's one of the oldest bar in Victoria Island where expatriates hang out.
There food is great, I still love the mashed potato.
The music on Fridays is on point, keeps you in a dance mode all night. Though the inside gets so full, the...outside is spacious and airy.
EnjoyMore",35,May-19,3.5,Pats Bar
Andrej P,Great place to have beer,Lovely place offers nice atmosphere for evening drinks or food. Prices are very reasonable considered the location of the bar. From time to time there is live band playing.,30,Sep-18,3.5,Pats Bar
vasaainei,Worth the visit,"Located at the prime areas of VI, most of the time crowded with party gals Drinks aren;t too expensive and music played are good too. Good for latenight party",30,Mar-19,3.5,Pats Bar
95dimm,Great,"The place is absolutely great .amazing staff...great music ..quick smart service...
JUST FIX THE A/C...we couldn’t stand coz of the heat...",10,Dec-18,3.5,Pats Bar
KITTAPPA,Bar come Pickup joint,"It is mid ranch bar, heavily crowded in week end, ambient is not so, so 
It is very old and required uplift, Bar is filled with reasonably good looking Girls
If you really want to be entertained you can visit, drinks are Cheap and best,...I like their PizzasMore",20,Nov-18,3.5,Pats Bar
CSRam,Night out at Pats,"Wanted to show some new places to 'new to Lagos' clubbers, it did not disappoint at all, it was filled to the brim , Good music, Bar was packed and the bar-women still managed it well by serving drinks at a good pace for the...crowd. We had actually gone pub hopping before ending up here, there was not many people in any of the pub and seemed all the crowd had gathered at Pats that day. It was an ok experience.More",40,Oct-18,3.5,Pats Bar
Omelebele N,nice place for hang out after a long day at work but not a good place for business meeting,nice place to hang out after a long day at work but not ideal for business meeting because of the loud music and distractions . it has one of the most frendly price for drinks on the island .,50,Aug-18,3.5,Pats Bar
