author_name,review_title,review_text,author_rating,visit_date,overall_rating
ludgerhorn,Good quality but price range is to high.,"Together with friends, quality of the food is good but price are much to high, 2 soups and 2 beer was about 33.000ngn. I do not recommend it for more than 3 people.",40,May 2021,4.0
NaijaBabe2016,Authentic Chinese Cuisine @ its finest!!! 🥟 🍛 🍲,"This was either my third of fourth visit to Pearl Garden Restaurant. And even though I can't quite seem to remember how many times I dined at this fabulous restaurant, I do however recall how incredible their food was! Pearl Garden touts itself as one...of the best Chinese restaurants in Lagos, specializing in authentic oriental cuisine. It's a local favorite; extremely popular with Lagosians and expatriates as well, plus one of the number one go-to places for corporate events, wedding parties and numerous large gatherings/functions. This is unsurprising, being that Pearl Garden has a humungous 'surface area'. The restaurant is vast and expansive, with plenty of space, seating, not to mention the fact that it's a two story building. The decor is 100% oriental; with golden, ornate and intricate designs, fittings, trimmings and accoutrements. There's a big focus on the colour red, which gives it a warm and rich vibe. It's like you've been transported to Asia when you step into this magnificent restaurant! And then there's the food! 😋 Pearl Garden serves up some of the best Chinese food I have ever had the pleasure of eating in Nigeria; so authentic and sinfully delicious. It also has a very convenient location; on a quiet street in the heart of Victoria Island. Service is also top notch at Pearl Garden. From the moment you walk in, to the time you leave, everyone- from the staff to the Chefs to the waiters is friendly, respectful, professional and diligent. 

We ordered DEEP FRIED PRAWN CUTLET, PRAWN SPRING ROLLS WITH MAYONNAISE as our starters. For the mains, we got SHREDDED BEEF WITH GREEN PEPPER, PRAWNS IN SWEET & SOUR SAUCE and FRIED RICE WITH SEAFOOD. For my drink, I got the PUNCH D'SPECIAL. This is a mocktail made with a mix of orange juice, red grape juice, lemon squash and grenadine. As was to be expected, everything tasted absolutely delicious, especially the Prawn Sweet & Sour, which is an all-time favourite of mine. The sauce was sweet, tangy, sticky and velvety- just how I like my S'n'S sauces! 😋 The Fried Rice was cooked to perfection, with generous amounts of various seafood chunks. The Shredded Beef was packed with so much 'soy-saucy' flavour, and the crunch of the green peppers and onions added to the dish's goodness. The Prawn Spring Rolls were fried to a golden brown, lovely colour and were so sumptuous, as were the enormous Prawn Cutlets. I also enjoyed the Punch D'Special mocktail. It was a tad bit sweet, a tad bit bitter, and a tad bit tart, yet very refreshing. 

Pearl Garden Restaurant is definitely a place worth visiting if ever your in the mood for an eatery that specializes in authentic Chinese cuisine. There isn't a single thing I would change about this restaurant, however, I would like to see a complimentary treat provided to customers, either before or after your meal, which is commonly customary in many Chinese restaurants. It just seems appropriate for a restaurant of this class and calibre. For example, a bowl of Prawn Crackers as you wait for your order, or some Fortune Cookies or freshly cut oranges with cherries after you finish eating would be nice. Hope this isn't a stereotype and won't be open to a negative interpretation! 😯 But I would also expect complimentary Nachos at a Mexican Restaurant or complimentary Bread Rolls at an Italian or French Restaurant or Raita/Chutneys/Dips at an Indian Restaurant. Didn't catch the name of the waiter who served us, but I'd like to say thank you to him for advising us not to order an additional dish because he said it would be too much food for us. He was right! 😁We could barely finish the dishes we ordered. Their portions are quite big here. Pearl Garden Restaurant stands as a testament to truly authentic Chinese fare that is one of the best places you will have the pleasure of dining at in Lagos. This place exudes finesse, class, grace, professionalism and of course, phenomenally great Chinese food. I will continue to return to Pearl Garden Restaurant because it is a paragon of excellence and the 'gold standard' for original, truly authentic Chinese Cuisine. Nobody does Chinese food better than these guys! Keep up the great job Pearl Garden! 👏🏽 Highly, highly, highly recommended!!! 👍🏽👍🏽👍🏽More",40,April 2021,4.0
mohamad_m_adel,One of the top restaurants in Lagos,"Very good service, delicious food with high variety and options, very good for the prestigious and business dinners.",35,November 2019,4.0
TingSiong,Great chinese meals,Enjoyed massive chinese cuisine with 5 other people. Great selection of foods. I would say this is considered fine dining (due to the price). Great place to eat and discuss business.,30,September 2019,4.0
vasug35,Good but expensive,Portions are quite big and food options are great especially if you are a seafood lover(Jumbo prawns and spicy fish curry). It’s quite expensive though,40,October 2018,4.0
ooobabatunde,Family welcome,"I've been coming here for over ten years, haven't been in a while and so I was pleased to see they have tried to maintain standards. 

Food is still great and it's a great place to bring kids! 

Management might want to consider having low...sodium option meals though! :-)More",30,November 2018,4.0
johne999a,Not impressed,"Used to eat here a lot, when it was smaller and across the road. Now they seem to have totally lost the plot about what is good food and good service. Get past the stupendous price (even for Lagos) for example $20 for a small...bowl of rice, the food was very average. We order pork ribs for our 8 yo, the menu stated with spicy sauce, so we asked the sauce to be on the side... they charged extra for this. The ribs we ordered (salt and pepper, used to be delicious), came as virtually inedible rubbery lumps of meat. Only the dumplings were of a reasonable standard. 

The wine options are limited with cheap to average wine sold for expensive to insane prices (20k Naira for a wine I pay elsewhere 6k), then they added 20% service charge. The real kicker was when we come to pay, swiped the card, said approved and the POS died. The manager insisted it did not go through so tried again, same thing different POS! Finally paid in cash and found been charged twice on my card. Went back, to challenge and they just told us to talk to the bank.

Absolutely will never go again. Side note this used to be a very busy place, I tried to call before for a reservation, but the number listed was not correct. When we arrived at 830pm on a Friday it was nearly empty, this should have been a red flag.More",50,August 2018,4.0
lizzielicious,Typical Lagos Experience,"I've been here several times over the years and I've had varying experiences but will just comment on my last two visits. First visit was for a quiet Saturday lunch which went well and the waiters were very attentive; had nothing to complain about. Food...came out quickly, was very tasty and ambiance was very nice. Portions were more than adequate and we even had take away packed for us. Second visit however was on a busy Sunday night. We had reserved a particular table for 5 people but when we arrived, our table had been given out to another family. One of the people in my group was not at all happy and had to tell them off very harshly because we had gone out of our way to reserve that particular table but it seemed as though when they saw that a white family wanted our table, they gave it out. Their excuse for giving out our table was also quite lame. Anyway, so as not to spoil our evening, we had to make do with another table. Our dinner went well and they tried to make up for their earlier mistake by being extra attentive. The food came our piping hot and was delicious as usual. Big portions and we enjoyed it all. It's one of the good fine dining Chinese restaurants in Lagos that usually delivers. The service just needs to improve.More",50,August 2018,4.0
Mexgir,Sweet & sour pork,"I tried Pearl Garden because it was recommended by a friend so I had high expectations. Unfortunately, the sweet and sour pork I ordered was very simple but I have to say that service is very good and it was nice to see that every...table is properly cleaned after clients leave.More",50,July 2018,4.0
Bola957,Fantasic Family Lunch Experience,"It was my first visit on a Sunday for a family lunch to celebrate my mom's birthday. When my sister suggested this place, I was a bit apprehensive because we were going with all the grandchildren ages between 2-17 years old and only few adults....But to my surprise, it is family and child friendly. Though the children were well behaved, they didn't feel stifled into acting like puppets or robots. Then the meal was worth every bite.More",40,April 2018,4.0
Awesome2210,Review,I have been there a lot of times and the food is always nice no matter what you order. I will always go back,40,March 2018,4.0
grubwaz,Excellent Chinese in Lagos,"From the DIY sauce to the crisp mayo prawns, the food was spectacular. The sesame pockets were my personal favourite.",20,January 2018,4.0
ReviewsByNS,Still poor!!,"Entered this place after avoiding it for like 4years at the insistence of a friend!!!! Unfortunately nothing has changed...
Waiters attitude is v poor. Service needs to be called for time and again.
At the time Lagos had literally 3 restaurants , one went out...of compulsion.
You now have a much better and nicer places to eat out .
Only the food is OK. 
OK but Overpriced! Certainly not for the ambience and service you get.
There are many better options....

Oriental hotel chinese has improved over time with nice decor...

Jade Palace is also a better option...

Wanna have street food type pan Asian grub? Try Chinatown at Mega Plaza!! Also affordable!More",30,November 2017,4.0
Lutzie,Excellent food,"After our booked and paid for dinner cruise failed to depart, we were stranded as to where we could eat dinner. One of the guests suggested Pearl Garden and they were spot on. What a fantastic meal. Very pricey but the portions are excellent and...I have never seen such huge battered prawns in my life!
The service was also excellent.
Just make sure you have a driver to take you back to the hotel otherwise you will need nerves of steel to stand around on the street waiting for your pick up as there was a chap in a wheelchair attempting to beg for money.More",30,April 2017,4.0
Mafolayomi,Business Dinner,"I have been to this restaurant several times & always enjoy their meals. It's now quite pricey though but ambience is good with a group of waiters that are always on standby to respond to you. It has a large sitting area with private rooms...upstairs for closed group dinners or functions. 
It continues to rank amongst the best Chinese restaurants in Lagos. Watch out for the mayonnaise spring rolls which is one of my favourites. They also serve very good vegetarian food. Usually does not require a booking except if the party is a large number.More",50,August 2017,4.0
LancasterTee,Consistently Decent Chinese Food,I've been coming to Pearl Garden for years. The food has remained consistently good (not fantastic) and the waiters are always attentive. I will keep coming.,40,July 2017,4.0
276irenea,Great eat out,"I enjoyed the food. the environment was great. Restaurant was clean, staff were polite, however, I feel I was profiled as not been able to pay for the meal by one staff in particular as he was pushing me towards the cheap meals.",40,June 2017,4.0
Amreeta B,Overpriced food and terrible service,"Four of us went for dinner on a Sunday evening at around 9.30pm. We ordered soup, one portion of dim sum and a vegetable hot pot, thinking we'd order a bit more later on. When we wanted to order more food (a little after 10pm),...More",35,May 2017,4.0
Kingsley Ugo. M,Yum Yum,I love my food so discovering this place was like heavens to me.. I love the environment & the waiting staffs here are lovely.. Food is top notch,30,December 2016,4.0
Ramy B,Speechless,Number 1 chinese restaurant i have ever visited .. This luxurious and classy restaurant offers a great cuisine of chinese traditional food. I heard two japanese guys giving their feedback by telling the waiter that it's tastier than any restaurant in China! I guess it's...More,40,September 2016,4.0
kvm_kvm_kvm,ridiculous place,"food not so good, prices too high for not great food, bad service and no atmosphere. 
we asked the waiter - what is the best dumpling, chicken or pork? answer - chicken. Do you eat pork? No! How are we supposed to trust his opinion...More",40,February 2017,4.0
Phearphire,Great food but..,"I used to say this was the best Chinese in Lagos, unfortunately over time while the food had maintained its quality the service has not. I'm usually a large tipper sometimes leaving a tip as large as the bill itself, at my last visit I...More",40,October 2016,4.0
gcxotf,Chinese so so,Been twice in Dec service below average food nothing to cry but also nothing to laugh venue too big and intimidating,20,December 2016,4.0
ReviewsByNS,Past it's prime,"Used to v good... even now the food is good , but the setting and decor leaves a lot to be desired.. it's more like a canteen with a staff attitude of fine dinning.....!.. stopped going there since ages...",40,January 2016,4.0
