author_name,review_title,review_text,author_rating,visit_date,overall_rating
Fadi G,Staff are robbing the place !!!,The staff are rude and robbing the place. Not recommended at all especially if you are expecting a good service.,40,May 2023,4.0
Bukkyglow,Disappointing,"I visited this pizzariah today with my family to just order a takeaway pizza since they don't do delivery but the service was so poor, we ordered a bottle of water while we wait for our pizza which never came and the pizza  we got...was definitely not worth waiting for. This place was highly recommended by a friend but I guess they are basking in old glory.More",45,January 2022,4.0
gcxotf,The Pizza of Lagos,"Probably the best pizzas in Lagos.
Well run and managed.
Great variety of pizzas as well as suyas, cold beer and to round it up, excelent tiramisu or chesecake",35,October 2021,4.0
Kelly M,"Yes, yummy.","We were a group of about 12 people and I always wonder how the wait staff handles large groups. This restaurant's wait staff seemed to know what to do, and although some individuals got their pizza a bit after others, it was all ok.  The...pizzas are very good, with plenty of toppings spread all over the pizza.  Cooked in a wood stove is extra special too. Thank you also for Heineken draft. I'll definitely visit again. p.s. the only 'negative' thing was the children beggars when we left. I ended up giving a child my leftovers/1/2 pizza, and the uber driver said the children won't eat it, but they will sell it and/or giving it to the 'beggar owner'.......I didn't feel about that. Now I know for next time.More",40,September 2021,4.0
joerge234,Real Italian Pizza,"They serve authentic Italian Pizza. They have a real pizza oven outside, where you can enjoy easily. The inner area is beautiful designed. Always very good visited, even during the week. Prices are very much ok for the delicious pizza.",45,April 2021,4.0
nickamour,Beggars can't be choosers.,"The place is more than decent. Pizzas cooked in real firewood ovens.
Place has a nice patio to chill out. 
Can't complain neither quality wise nor price wise. 
So If service is crappy and it matters to you, do take out.
For Lagos, a very...good pick all things compared.More",10,April 2021,4.0
lukassinkevicius,"best pizza in Lagos , worst service in Lagos","Pizza is the best pizza hands down in Lagos, would even be considered great in Europe.  Service on the other hand is terrible, one of the most dirty places i have seen, sometimes u come lets say by launch time there is 4 people dining,...yet most of the tables has still has food contents from previous people, the ground is always covered in used tissues, not to mention rude staff bad attitudes and unprofesionalism, i had my starters coming after my main course is like normal thing there, still will come back for great pizza though, just the place is FilthyMore",20,December 2020,4.0
JPinLagos234,Customer service is poor and their Jean Paul is a rude person!,"I called to make an order, their Jean Paul guy picked and took my order. The guy is super rude and very unprofessional, he hangs up on you as he wants. He’s done it more than once. Also, if you don’t specify your order, he’ll...just charge you for the most expensive items. He has a horrible sense of attitude and honestly needs to be flogged. What rubbish!More",40,November 2020,4.0
brownstone21,Bed bugs on the sofas!!!,"My husband and I eat here often and the pizzas are always nice. Unfortunately we were scarred this evening and will not be returning. Before we finished our meal, my husband had several insect bites on his hand. A friend of ours who we had...dinner with, also  complained of the same bites. We complained to the waiter and he ignorantly responded saying it didn't happen at the restaurant. We left and our friend saw a bed bug on her dress. The chairs need to be discarded and the place should be fumigated immediately!More",50,October 2019,4.0
Osman T,Fantastic Pizza,"Best Pizza in lagos, hands down. They use an outdoor wood fired oven. There is both an Indoor and outdoor space. The outdoor space has a small playground for kids. The menu is simple but on point. Aside from awesome pizza they also serve excellent...suya. If you want good pizza don’t go anywhere else.More",40,May 2019,4.0
