author_name,review_title,review_text,author_rating,visit_date,overall_rating
Ade703,Not bad but I expected more,"Red restaurant is one of several restaurants within the Eko hotel complex, it's a Chinese restaurant located above the car park building. The ambience is nice, decor is modern and fits the Chinese theme, the staff are very friendly, helpful and knowledgeable when it comes...to the menu items; I have to give them high points for a bit disappointing as I expected it to taste much better than it did (it was pretty basic). The cocktails were good but not great. 

Overall it's a nice place but a bit of a let down.More",40,November 2020,4.0
Maputo2016,Good food,"Must try chinese restaurant. Really liked it. Will mot disappoint. Neat place, good ambience, comfortable",45,January 2020,4.0
sunilt1960,Good Chinese restaurant,"Red Chinese restaurant is one of the best restaurants in the the Eko hotel, It has nice Chinese decor and cosy setting with good view of the Atlantic ocean. It has also a well stocked bar. I have been to this restaurant twice, but always...was not busy and that is what I liked of the restaurant. The sea food which I ordered was served in authentic Chinese plates with cutlery as well as the sauces and candle light to match. The waiters were very friendly and willing to meet the requests.More",45,February 2019,4.0
Chris H,Tasty Chinese,"This is a well furnished and attractive restaurant and its beeeg. It has a separate bar area which is reasonably well stocked. Unfortunately due to its size the place appeared very empty and underwhelming as we visited on what I hope was a quiet night....The menu is comprehensive and all meals are well prepared. We all had the Chicken and corn soup as starters and it was an excellent beginning. Chicken with Cashew nuts, Spicy Duck and Beef all supported by a bowl of vegetable rice followed as main courses and we shared tastes from all. The portions are huge and we could have cut one of the main courses. Service was prompt and friendly. Not a cheap meal but great for a special nightMore",40,May 2019,4.0
susanne o,Birthday Dinner was fantastic,"Ok so I had my birthday dinner at RED , first of all the ambiance is everything 😍❤️❤️❤️ Red is officially one of my favorite restaurants to be honest!! It was alsooooo very affordable for a Chinese restaurant in VI!! I loved it!!",30,April 2019,4.0
ayodejiogunnusi,Red is not what it used to be,"Decided to visit Red Chinese for my cheat meal & i must say I was not all too pleased. The restaurant itself is actually quite pretty and clean but the food & cocktail was a bit bleh. There was quite a range of food options...of which we tried quite a few. What tasted good - chicken & sweet corn soup, salt & pepper ribs & fried wonton. Aside from that, we tried spicy fish, beef in black bean, seafood fried rice, Singapore noodles, crab cakes; the food was all a bit too oily and quite bland. I'd have to say Red needs a new chef. The wait staff were quite nice and were willing to help when we complained about the food being cold, our prawn mayonnaise roll having no mayonnaise, my amareto sour tasting like medicine etc. Don't think I'd be going back anytime soon to be honestMore",40,February 2019,4.0
Renua,New Year Flop,"Red was doing a buffet on news years day. Having been a few years ago for my birthday. I decided it was a great idea to take my husband and 3 children. 

We sat and ordered drinks. Then I got up to sort out food...for the family.  Rice had only 2 options. Steamed white rice and seafood rice. But the seafood rice was finished! Wow! The Singapore noodles was only enough for one child ...I complained at this point and they promised to make more just for us....

The sauses were either none existent, dried out, finished or cold!! I considered walking out but my children were starving, plain white was better than no food. 

I was hoping desert was better but goodness me what a flop

My last thought was....You can’t possibly go wrong with the drinks at least right? I ordered a Singapore sling which tasted like colored Cough syrup. Disgusting. 

This is NOT Eko Hotel Standard and I will not be returning. 

There are so many options in Lagos....there was a reason this restaurant was empty...!More",50,January 2019,4.0
AnotherBizTraveler,One of the best!,"It's not easy to find a good restaurant in Lagos, strange especially if you think of the size of the city.  Well, RED is one of the best.  A great long bar counter, great drinks, a really good food and a very professional service make...us a great dinner experience.  Definitely a safe choice when in Lagos...More",40,November 2018,4.0
OmanRob,VG all round,"We ate here a couple of times as a large group so ordered a 'spinny table' - have to say its a little slow but when it arrives its all fantastic. Really great food, all dishes were tasty and fresh - highly recommend

Rob",50,May 2018,4.0
Madgie M,"Dear Red,sort out a few things and you'll be 5*.","I booked a table for 9 for my evening birthday dinner.Upon arrival,I apologised for being an hour late and they were very understanding.I soon realised why...at 8:30 pm on a Saturday night the place was practically empty! A family were leaving as we were arriving.I...didn't take this as a poor reflection on them, we are all feeling the economic pinch right now. So,we placed our orders with a VERY attentive and pleasant waiter, he really excelled himself. However,he had no choice but to inform us that prawns (unless premade like in a dumpling etc) and duck were unavailable.
Que??? In a Chinese restaurant?? So that was a downer because I had been craving prawns and broccoli!
The next disappointment was my non-alcoholic cocktail.
I can't recall the name ( smooth lady?? something smooth, I dunno). It looked and tasted like Pepto Bismol!! 
I ""parked"" the vile pink concoction and ordered a Chapman. It was good. you really can't go wrong with Naija's signature tipple!
When the food came, it was verrrrry good. The calamari with salt and pepper was heavenly, as were the chicken wings. The fried rice was amazing, light and non-greasy.The dim sum ( prawn dumplings and wonton) were tasty but miniscule in size. I tried a few mains but I got fed up of spinning that table rotation thingy, it squeaked so loudly, needed some lubricant or something.We were too stuffed for dessert, but we looked at the menu hoping to be tempted. We were informed only fruit salad and ice cream were available. Ugh!
In summary, if they sort out their lack of popular items like prawn and duck,get rid of the squeaky table,make better non-alcoholic cocktails,have dessert readily available,then this restaurant will be perfect! The decor is nice, staff are wonderful, and we actually,all in all had a good time.I would definitely go again, despite the 3* rating which I had to give because the flaws were too significant.More",30,April 2018,4.0
Viveeee,ALWAYS A NICE EXPERIENCE,"This restaurant is a nice place for family and friends for lunch or dinner, it's also a good place for business meeting/visits. its cozy and if you love Chinese food then you are likely to love Red.
The ambience really nice and the view is...one of the best in Eko hotel. Great service and very courteous staff. 
The only but is I think it a bit pricey as the quality of food is same as any other Chinese restaurant.More",10,February 2018,4.0
Ade2566,Can't Go Wrong Here for Asian Cuisine,"Simple evening out with friends following a meeting in the Eko Hotel that hosts the Red Restaurant.  I had basic fried rice with tofu and vegetables which came out better than expected. Rice was fried but you could'nt tell as it was not oily. Tofu...and vegetables in sauce was well prepared with a good balance of spices that did not overpower the tofu nor vegetables...simply allowing my taste buds to experience the different spices and accompanying flavors.  Wines are moderate to expensive in price and with good range and vintage. Staff are friendly and knowledegable about the food.
Ambiance is really nice and comforting. They have a bar that looks well stocked as well.  Overall good value for money.More",50,December 2017,4.0
ZeeGoes,Needs a new chef,The entire menu needs work. The food tastes nothing like Chinese food or the modernixed version of chinese food. Visited a few times with family and friends and the food simply does not add up in its flavor profile.,50,November 2017,4.0
tbs4real,Excellent Bar and dining place,"Red restaurant offers a excellent bar service and good food for all types of audience. couples, group and family are welcome with good security.",30,November 2017,4.0
TaofickO,"Not ""Red"" with envy","I was at the launch of Red restaurant and lounge a last year. It was attended by high quality people from different backgrounds and nationalities. 
The finger food served was very good, cocktails was good and I was quite impressed. 
I was there of recent...for lunch with a group of 8, food was served promptly but was not that great. It was regular Chinese that could have been from a less prestigious restaurant without the price tag. It could be due to the fact that it was early afternoon and possibly the main chef not around, which really is no concern of mine as this didn't reflect on our bill. Whatever the time or situation the standard should be upheld. 
I will try it again, possibly in the evening when it's in its full element and observe if the meals are better.
Service was good, great view, and appeared well maintained.More",40,July 2017,4.0
RSH611,Great Restaurant!,"This restaurant is very nice for family and group of friends for dinner, sure it's good for business visit also. Very cozy and if you love Chinese food it's one the lovely restaurants.
The ambiance and view is amazing! Great service and very courteous staff....More",40,May 2017,4.0
terrymlon,Delicious,"Very good food, great view from the restaurant and OK service (we were the only table and it wasn't great but cannot judge).",45,April 2017,4.0
africaguy,A good Chinese restaurant with attentive service,"I came here as a party of seven and it's set up to accommodate large groups - there are set menus with a choice of dishes so you can share. We had a selection that included vegetable, chicken, lamb and prawn dishes as well as...More",45,March 2017,4.0
Joseph M,Very good food and service,"The food is excellent and the service is responsive. It has large round tables that can seat a big party. The place itself is new and very nice. It's pricy, but no more than any upscale restaurant in Lagos.",40,November 2016,4.0
Onlyoneodini,Great for lunch and dinner,The view of the lagoon is not bad. You can see a few fishermen catching little fish. The food is delicious too and the service too.,50,December 2016,4.0
DarkOsh,Great Food. Nice Setting,"The food as Red was really very good and tasty. Ranks amongst the top Chinese restaurants in Lagos. The setting and the ambience is top quality. The staff are very courteous and ready to make sure that you have a good eating experience. 
The corn...More",50,December 2016,4.0
ReviewsByNS,"Excellently location, average food","Has one of the best locations in Lagos overlooking the Lagoon and situated in the expanse of the Eko Hotel property.
Fine dine interiors , but have had better chinese elsewhere in Lagos.
But then , it's not only the food that u go out...More",40,September 2016,4.0
Mark R,"Great Chinese, and large portions !!!!!!","This is a must try if you are staying at the Eko hotel or not. Best Chinese that I have had in Lagos thus far. I have had the Sweet and sour chicken, the Sweet and spicy wok fried chicken, and I have heard the...More",40,September 2016,4.0
Fojusi,"Food and Customer Service great, but...","So I came to Red with my siblings in the first week of July 2016. First impressions as we got in was good - we had a view of the new Eko Atlantic site. The ambience was good, and so was the service. It was...More",40,July 2016,4.0
234chikea,View and Food,Great view of the beach and nice food. The atmosphere and decor was nice. Service and presentation was good.,50,February 2016,4.0
Mohammedacyclo,"Great ambiance, good food","A friend suggested we meet here to catch up after a while. I have to admit she picked a really good place for meeting up. 

Ambiance was nice, comfortable and had us chatting and yapping for a while as we soaked up the view of...More",30,August 2016,4.0
T562CMmarkd,Food and service were excellent,"As per the title, I have been to RED and the food and service were excellent.  It is clearly the best Chinese in Lagos.",40,April 2016,4.0
Asharan,nice restaurant,very nice restaurant. good food. Great ambiance and service. Very good view. Should visit for lunch to soak in the view,30,April 2016,4.0
DarkOsh,Very Nice Restaurant,"be sure to eat here if you are in victoria island area, the food is fantastic, the service is exactly what you want, and the menu is exquisite. 
ambience is also very good with mood lighting.",40,December 2015,4.0
GracefullyG,"Superb food, excellent service and wonderful ambience","Beautiful restaurant, excellent service and wonderful food. The menu was extensive and resonably priced for a top tier restaurant in VI. We had the wonton and dumplings for starters & although they were tasty, the portions were too tiny for the price. However the Lamb...More",50,February 2016,4.0
fiazu2018,Elegant ambience,"Within the Eko hotel premise, elegant seating and quick service. The food was ok, disappointed that for a restaurant of this kind they didn't have sparkling water.",40,February 2016,4.0
SamKing M,"Fun, Fab & Fantastic","What a nice place. Service was fantastic, food was much better than other Chinese restaurants in Lagos, Ambiance was fab & prices were in line with others. A must visit.
Was served by a senior waiter called Good Luck. Excellent knowledge of the menu.",45,November 2015,4.0
Dudulicious,Expected more.....,"The ambience here is nice, the decor also. Service was okay. However, the food (we had soup and a number of hot appetizers) was a disappointment. My seafood soup was bland and the chicken wings were fried in a batter that was too doughy -...More",45,November 2015,4.0
Kunalchopra27,Fantastic Chinese Cuisine,This restaurant is inside the Eko Hotel & Suites and i tried there food once during dinner.They offers great chinese food and this restaurant is always full i believe everyone should must reserve table for them.The name RED i believe is completely acceptable as the...More,40,October 2015,4.0
Sakiwi04,"Visit restaurant when hungry, you will be satisfied.","Food and service excellent. Food very tasty and fresh, value for money. Staff very friendly and helpful, they go the extra mile when required.",30,July 2015,4.0
ADimitris,Unbelievable for Chinese restaurant,This is the newest addition of restaurant options at Eko Hotels. I assume it replaces the old Ocean View.  The food is the best Chinese food in Lagos by far and the view of the ocean is magnificent.  Good service and good lounge atmosphere.  Highly...More,50,July 2015,4.0
Mooncake1969,best Chinese cuisine in Lagos,Red restaurant is the recent addition to Eko hotels restaurant collection. Brilliant bar and restaurant over looking the lagoon. Red has two Chinese chefs on board who are cooking traditional and modern Chinese cuisine and also a Chinese restaurant manager who is taking care of...More,30,April 2015,4.0
