author_name,review_title,review_text,author_rating,visit_date,overall_rating
ELENA M,Perfect for a Ladies Night,"This place is perfect for cocktails and also the food is amazing. We really enjoyed having a ladies night with live music. After some drinks we thought it was also perfect for private parties, so we will have it in mind for next birthday. Nice...decoration and very good service.More",50,December 2016,5.0
TimmoW16,Perfect birthday or function party venue,"If you are looking for a great, trendy venue to host a birthday, party or gathering then look no further. Great food as well.",50,October 2016,5.0
marc30783,An escape from the busy week...,"Here's a place that I enjoy to escape a busy week... Then again.. Granted I don't go every week... But I wish I could..
This place offers some of signature cocktails found no where else.. A must try is their Hennessy Shanghai.
A touch of...class with a feel at home scene.
Their events are what I look forward to the most....
Love the creativity of the place..More",50,October 2016,5.0
Ibadanboy,Lovely!,"Rooftop is a great bar & restaurant on Karimu Kotun street in Lagos. Lovely ambiance, great food, excellent service and a really nice decor make this one of my favorite places to hang out when in Lagos",45,September 2015,5.0
elp4567,Delicious coctails and food,"Great fancy place for a meeting with friends or an intimate date. Food is amazing, fell in love with suya prawns, croaker and blackened chicken, starters were very tasty. Coctails are sooooooo good....",50,April 2015,5.0
Yves N,Best Restaurent Ever ( Heaven on earth),"Rooftop is the best restaurant in Nigeria amazing ambience, miraculous drinks, fantastic food, guys hurry up and visit 
don't miss it out 

its heaven on earth",50,July 2015,5.0
JacksonLagos,Great transformation!,"I hadn't been here for a couple of years when it was pretty much a grilled meat joint open to the elements! What a metamorphosis into a sophisticated and stylish venue (all enclosed!) - and the food lived up to the surroundings. Before the table...used to be strewn with bottles of insect repellent but this time it was bottles of Grey Goose and carafes of cranberry juice, cocktails and glasses of wine while we enjoyed into the early hours! Would recommend to anyone as a genuine destination venue - at last! - for Lagos!More",50,June 2015,5.0
DeleBamiBamidele,Rooftop Rooftop Rooftop,"Rooftop is  contemplating different sort of visits, great place for any occasion; excellent for hanging around with friends, cozy to bring your sweetheart for a romantic dinner, great and discreet to invite a skeptical business client. At Rooftop they know how to make me feel...comfortable, delicious food, contemporary setting, a massive load of fresh style in Lagos.More",40,June 2015,5.0
Aziza A,A Home Away From Home,"Rooftop is one of my best restaurants if not my best restaurant in Lagos. With a good location, perfect ambiance, great service, mouth watering food and awesome cocktails what more can you ask for!",50,May 2015,5.0
Iamdasiko,A place to be!,"Rooftop is one of the few places you would find in lagos that has a perfect combination of ambience with good food and excellent service and it is  well located in one of the highbrow areas of the city.
I love the steak and cocktails...and would recommend it anyday! Amazing!More",50,February 2015,5.0
richtank,Best steaks in Lagos,"Have been to this hidden gem on several occasions. Not only is the food amazing, but the owners really get it. They understand that if you have a high-end restaurant and don't advertise then you have to depend on amazing service and incredible food in...order to build and maintain your business. This is what they have been doing for some time now. The space is ultra modern and clean feeling with a cool hidden stair that takes you up to the dining room. It's a great place for rounding up a group of friends and having a meal because they have some long tables that they can put together. They also have intimate booths which are good for couples or smaller groups. The steaks are really amazing. The first place in Lagos where I have ordered a steak medium rare and it actually came out medium rare instead of medium. Great sauces and sides round out the meal.More",50,February 2015,5.0
massimiliano s,Great food and ambience,"Great ambience, very good cocktail and quiet location. Best place for a get together with friends in Lagos, unusual for Lagos.",50,June 2015,5.0
308selmat,Good service + amazing food,"Been here twice and must say it is the best restaurant in Lagos. The atmosphere is nice, good crowd, great food, attentive service. A bit pricey but most places in Lagos are. Fantastic place for a business dinner or a special occasion. I will be...back..More",50,November 2014,5.0
Krzysztof S,angry-hungry-oyibo,"It is not easy to find the place which is not noisy and orders are coming on time - and exactly the one we ask for ;-). Having this kind of setup, looking like brand new is still much above the standards in that Land...of Excellence..More",40,May 2015,5.0
Michał K,Best date ever,Rooftop is amazing when it comes to the romantic dates with a perfect mix of class and modern furniture/interior.,50,June 2015,5.0
Kushaldtt,Positively Surprised ;),"When my colleague invited me for drink @ Rooftop I wasn't so sure. Not even when I was standing in front of the building. But the moment I entered, I was like wow it's nice. The interior, staff, quality of food, ambiance were more than...More",50,May 2015,5.0
Bruce P,"Hip, Young and Refreshing","The staff are friendly and the managers/owners are even more so. The food is simply to die for! I have been at the Rooftop twice and I simply cannot get enough of their meat dishes. Their interpretation of my favourite condiment, Humus, is simply superb....More",50,June 2015,5.0
