author_name,review_title,review_text,author_rating,visit_date,overall_rating
GH777,Great place and lovely seating,"A renovated place with a great seating inside and outside next to the pool , very diversified menu with a great taste. Recommended",45,August 2023,4.5
faridaha246,Dinner,"The food was excellent, and the service even more so. My server, Sunday was very patient,polite and friendly. He explained the menu through and through and also suggested some great options. The ambience was great and welcoming. It was a beautiful experience.",45,January 2023,4.5
aisanm2018,lunch at Salma,"Very good Lebanon restaurant, with tasty food, great location and good atmosphere. The meals are offering a great choice and variety.",45,May 2022,4.5
984jasonc,Favorite restaurant in Lagos,"This is my favorite restaurant in Lagos. Food is great, service is good, and the setting is nice. If you like Lebanese food, check it out!",45,September 2022,4.5
khaledE607,Good Lebanese food and good shisha,"Very good Lebanon restaurant,  amazing location in victoria island,  tasty Lebanon food , good shisha and good atmosphere",50,November 2021,4.5
khaledE607,Good shisha and Lebanon cuisine,"Very good Lebanon restaurant with tasty food and shisha in lagos Victoria island 
Good atmosphere with good music and dj",50,November 2021,4.5
Pierreech,Hidden Gem,"Got introduced to Salma's by a colleague and haven't stopped visiting since then. It's my go to place for middle eastern cuisine and the standard never drops. They also have quite an amazing array of desserts, worthy of mention is their ""Fried Ice-cream''. Really worth...every calorie! For traditional Lebanese meals, i'd recommened the Fattouch which i'm yet to find any better than theirs, Kafta, Tabbouleh and Taouk!

Staff were also very helpful and professional. The pool and outdoor areas also make good areas for lunchMore",50,July 2021,4.5
Aina328,New Year lunch,Salmas  meals are delicious and you'd always want to come back for more . Price is good too and nicely worth the value you get. Service is great and the team deliberately seeks out to make you comfortable.,50,January 2021,4.5
Guus D,Well Organized Dinner party,"On 10/10 we invited friends to our dinner party. By contacting the Manager of Salma we did make sure everything was well organized. We where surprised, as all was very organized and the services was great. The meals are offering a great choice and variety.",50,October 2020,4.5
Travelers_Paradise1,Nice Restaurant,"This Restaurant is close to Cactus and offers a large choice range. You can order lots and cool off at their amazing pool. You have a nice view of a large river, (really the ocean flowing through Lagos). I would recommend this. (but not as...much as Cactus) a restaurant 30 second away.More",50,July 2019,4.5
bunmiOdez,"Great service,lovely food!","The service was exceptional. The food fresh!
The salads, finger foods were all great.
I had white fish which was well marinated. The atmosphere is also great!
The portions were also generous. Really worth it.",40,December 2019,4.5
673karan,Great Service/Food,"A more recent favourite to our list of restaurants to visit whilst in Lagos. Great Lebanese cuisine, excellent service and wonderful ambience within a boutique hotel by the lagoon. We prefer to sit within the air-conditioned conservatory or main restaurant. They have an outdoor poolside...service, overlooking the lagoon, but it could be humid and not much to see in the dark. The Senior Manager, Bernard, ensures his guests are well looked after.More",40,January 2020,4.5
948kait,This place is soooo outstanding,"This place is soooo outstanding ... was there with the family! The service is out-of-the-world-great. The cold and hot starters are fantastic (shrimps grilled - phenomenal). Grilled main courses also really perfect! All in all, one of the best places to be in Lagos! -...Thanks to the hosts for a lovely Lebanese dinner experience! 👌More",50,December 2019,4.5
oluwademiladea2018,Husband's Birthday dinner,"First class amazing dining at Salmas. We were residents of Maroko for the weekend and i treated my husband to dinner at Salmas. Service was flawless, great and tasty food portions and all round excellence. They even sang Happy Birthday to him!

Thank you for...being such great hosts. We will definitely return for a business dinner soon!More",40,December 2019,4.5
PitiI,Excellent food and decor,"Salma's is probably the nicest looking restaurant I've been to in Lagos so far.  It has a modern interior, and their place settings are beautiful.  The food is amazing.  I think it could be the best middle eastern food I've eaten anywhere.  The hummus and...baba ghanoush were excellent. The house made bread is amazing.  We asked for seconds of the bread.  We had a number of other small plates to start as well, all were pretty good.  We split a shish taouk which I have to say was the best chicken I've eaten in Lagos.  The service was excellent depending on the staff I think.  We had a couple of servers and there was obviously one server who was much more experienced than the other.   Service in Lagos can be a little awkward in general but that was not the case at Salma's.  I would highly recommend coming here.More",50,November 2019,4.5
bleu_et_gris,Finally a good Lebanese restaurant in Lagos!,With so many Lebanese restaurateurs in Lagos you would think there would be a good Lebanese restaurant in town! Sadly it hasn't been the case since Al-Basha shut down many many years ago. That has finally changed and Salma's which has been around for nearly...More,45,September 2019,4.5
Paul B,Beautiful  place,"We had dinner here on the recommendation of a customer.
What a beautiful place it is situated on the waterfront.
Splendidly furnished which oozed elegance.
Lebanese food and service excellent. Would love to eat here again",45,September 2019,4.5
TravellingFamily049,"Excellent, Fresh,  Professional","One walks through an unassuming, lovely but not intimidating lobby on the short walk into Salmas which cleverly opens up a tastefully, well decorated space. 

Immediately welcomed, both with or without prior booking and space is magically created for your party. 

The food is incredibly...More",45,July 2019,4.5
Osman T,Best Lebanese in Lagos,"Best Lebanese restaurant in Lagos. The restaurant is inside a compound on the ground floor of a hotel, so getting there is a little complicated. However, it’s well worth it. Both the hot and cold meze are excellent as are the grilled meat dishes. Great...More",45,May 2019,4.5
christiec157,Mouth watering,"Absolutely exquisite food, everything was delicious,  fresh and well presented.  Waiters were very friendly although management weren't too happy to assist.",50,April 2019,4.5
Sandynoni,"Lagos, Nigeria","First time eating Lebanese dish and it was so delicious. I highly recommend,great ambience. Wonderful",50,September 2018,4.5
Global_Citizen_YK,Excellent dinner,"Although the entrance from the main road is not glorified the place makes up as soon as you enter in. Spacious dining area, nice ambience, tables covered in white tablecloth, finished off with full set of plates and cutlery. The service was attentive and meticulous....More",50,April 2019,4.5
SamAnis2002,Fantastic,"The food , restaurant atmosphere , the prices ,and the service, all was just perfect. the food was really fresh and delicious.",50,March 2019,4.5
Chris H,Good quality Tasty Food,"Not the easiest place to find but located next to Cactus looking out over the water, this restaurant impresses. the menu is extensive, the service attentive but not in your face and the décor is well thought out and relaxing. The mixed grill was amazing...More",50,March 2019,4.5
gcxotf,Still the best Mediterranean in Lagos,"Always try and visit this place as feel quality ambience and service among the best. 
Quality of food I would say among the best in Nigeria. 
Trying to find a negative point but can't.",50,January 2019,4.5
Brad A,Exceptional Quality,"The food, service and decor were all top notch. Every item we had was excellent!  Salad, turnovers, grill. Beautiful white and blue space looking at pool. A must try in completely secure compound.",50,February 2019,4.5
ooobabatunde,Wow!,"Hidden inside the Cactus compound is this wonderful Lebanese restaurant.  The food was absolutely FANTASTIC!  overlooking the Lagos Lagoon. Hats off to the management,  friendly & courteous staff, nice ambience and good for family too. 

I am definitely coming back!!!",40,January 2019,4.5
AdioB,Lovely Lebanese Restaurant,"Located on the ground floor of the Maroko Bayshore Hotel, this restaurant serves a lovely meal, great view, quick service. nice decor, exquisite cutlery and well dressed waiters. The menu was well assisted with pictures, and the complimentary fruit was delightful.You also get to enjoy...More",40,December 2018,4.5
anniemC2911QJ,Best hummus I ever had!,I got taken out for lunch here today and I was very impressed. It's a very beautiful setting and the food and drink was top notch. I had goat ribs for the first time ever in my life and I loved it. I definitely recommend...More,50,December 2018,4.5
KITTAPPA,Best Mediterranean Restaurant in VI –Lagos,"One of the very neat and clean Restaurant, the ambient is so cool for the family and parties 
We had office outing for Lunch, our table arranged close to pool side, we had wonderful time
All their dishes are very tasty ,No one made any...More",50,December 2018,4.5
546guyl,Nice food and view,"Great view, perfect location, sea view and cool pool outside.
Great Lebanese food, great meat and fresh humus.
Good for business meetings and for family dining.",45,November 2018,4.5
robg417,I just love Salmas,The food at Salma’s does not disappoint. In enjoy visiting with family or for business and have become so addicted that I have even taken to having deliveries to the office. Grills are superb and the Tabouleh and Hummus is some of the freshest I’ve...More,45,November 2018,4.5
irouk,Nice lebanese restaurant,"Lots of choice of mezze
Quality is there
wine list need to be improved a lot, any origin of wine. Ksara from Lebanon is definitely not a good reference.
Desserts very nice
Anticipate 3 days of diet after a dinner in this restaurant :-)",45,November 2018,4.5
Nomad53740301451,Lovely Salma's,"Loved every bit of my experience, the deco was superb, the service was great (the manager kept coming to check up and have little conversations with us) the food was good and served on wonderful crockery but I am not a big fan of Lebanese...More",45,September 2018,4.5
Ade2566,"Authentic Lebanese, Quality Dining, Good Food","Salma's restaurant is situated in the ground floor of the Maroko Bayshore Suites Hotel which itself is in the same complex as ""Proflex Gym"" and Cactus restaurant. These are Victoria Island ""known"" places. It was no surprise to me that the good would be good...More",40,October 2018,4.5
Gustavo H,Delicious food,We have ordered several dishes and everything was good. Hummus are delicious. Book before you go as it can get full quickly.,50,May 2018,4.5
