author_name,review_title,review_text,author_rating,visit_date,overall_rating
329bhaveshm,Excellent food and atmosphere,Very nice restaurant with excellent food options and very friendly and quick service. The bar makes good drinks and the food options are varied enough for most tastes. The music and atmosphere is great also,40,October 2023,4.0
mrs_un0,Amazing dinner and drinks with family at Slow!,"Amazing time at Slow with my family. Went for post shopping drinks and then returned for dinner. They were so accommodating of my son's unique dietary needs and went above and beyond to ensure he had a great meal. 

The bar offers lovely handcrafted cocktails...with the freshest ingredients and they are happy to go off the menu when asked (hint - ask for a Porn Star Martini and you won't be disappointed)More",50,June 2023,4.0
Y592XOabigailg,Seafood Frito misto and fries taste bad and Burnt,"The seafood Frito misto Tasted bad and Burnt look black..I didn't enjoy it.
Same with the fries...I will give 2star",45,March 2023,4.0
FolaOnTheGo,A Night to Remember and a Place to Return,"My first visit was for a birthday celebration, the atmosphere was great and the vibe very good. 2 sets of dining areas - one normal seating and the other high tops. The food was very good - the tacos are the beessstt !!! Wonderful evening...and the food and the vibe brought it all together .I wondered why i had not been there before.

Wanted to spoil an older good friend on her birthday and  wondered where i would take her that she had not been and would be impressed. Kept on crossing a number of places off in my head. Then i asked myself, where have you been recently that the food was very good and the vibe  w as lit? the answer was SLOW and it did not disappoint - food still very good - assortment of cocktails not the common type - tacos still delicious, kale salad amazing ! It made the right mark with my Egbon. The service was attentive and the waiter knew his onions, the ambience works - would be returningMore",45,February 2023,4.0
MochaJean,Lovely dinner experience,"The atmosphere at Slow is unmatched. The foliage and decor provide an upscale tropical ambiance. The live jazz band played a few songs, which added to the specialness. 

All the food was delicious, starting with the octopus and house salad. For the main dishes, we...got the short ribs and the lamb shanks, which were also fabulous. If you want the bread pudding for dessert be aware that that takes an extra 25 minutes, so put the order in early. We opted for the cheesecake instead, which we did not regret. It was so smooth and creamy. 

I would highly recommend Slow for a romantic dinner or special occasion!More",40,November 2022,4.0
aisanm2018,dinner at Slow,Extremely professional service and the food was amazing. The food is excellent and the staffs are warm and friendly.,50,May 2022,4.0
SamKing M,An experience you will remember for a lifetime,"SLOW - This restaurant gives you a great feeling before you even walk in. The walkway to the front door makes one feel like we’re in a natural environment with plants and trees. 

Were met by highly competent and forthcoming personnel when we entered who...seated us at our table. Inside beautiful interior décor with a great rustic feel to the place. The place is separated into sections with plants which gives a great feeling of privacy as well as keeping to a natural beauty effect. The tables have small arrangements and comfortable dining chairs and there is even a window looking into the kitchen. If you’re not keeping up to perfection on hygiene levels, you would not advertise your kitchen. A fresh atmosphere with many interesting design sidekicks gives one a feeling of laid back and comfortable.

The waiter was extremely knowledgeable about the different courses on the menu, and the drinks. 
The waiter was always right on time pouring either water or wine when needed a refill.

The food was really nothing short of gourmet, and portions size, whilst they looked small at first, they had the perfect size to make us feel well fed. The plates were arranged beautifully, and the vibrant colours of the different dishes that were served looked almost like art.

We ordered Scallops, Eggs Benedict, seafood tacos, lamb chops, Oysters, and a few more.

You cant leave without trying the fresh bloody mary. it is to die for. 

This is a restaurant where you will have a perfect lunch/dinner for every special occasion.

The quality of the ingredients combined fully with impressive creativity from the chef’s team resulted in a series of positive surprises for us all. Many restaurants have menus that have over 100 dishes on them, but I prefer a more limited, clean-to-the-point menu that allows the chef to focus on making the limited dishes the best. 

SLOW rates very high on my restaurant lists in Lagos. My friends & I have eaten there many times and I have always been so pleased with the food, service, and ambiance. The food is exquisite, the service is great and timely and consequently, the pricing is on the high side, but it is well worth it. 

TIP – Sunday brunch is perfect as they have a live band.
Tip – Try the Oysters, it’s amazing but always reserve it in advanceMore",20,June 2022,4.0
onoriodelucya,Take-out error,My first experience was disappointing as there was an omission in my order. The corn salad I ordered was supposed to have avocado in it but it came without avocado and it was rather pricey.,40,September 2022,4.0
imsam,SLoW cooked to prefection,"This was our second visit to SLoW. The afternoon went very slow as we were enjoying every bit of the time spent there. The staff were courteous, well groomed and well trained.
The food is excellant and the chef takes extra time preparing it. The...tastes are unique. Even though the menu is not elaborate the spread is very good and makes you feel order all on the list.More",50,July 2022,4.0
imsam,Quaint little place in heart of Lagos.,"Really a good place to eat lunch or Dinner.
Good place to take your business associates or customers for a formal lunch.
The service is really good and all the staff is attentive.
Food is ""SLOW"" cooked to perfection and taste is also good. Most...of the cuisine is south American. They can add more slow cooked food around the world to take a notch higher.
Ambience is good a a open plan sitting.More",50,February 2022,4.0
uloveadaobi,"Good ambience , horrible food , horrible cocktail. The food was really really bland and small , greatly overpriced too !","The food was really really small , so was the cocktail , and both were very tasteless for such an over priced menu . Good ambience tho",50,December 2021,4.0
ooobabatunde,Lagos Surprise,"Excellence from the starter to dessert. Very warm and friendly staff. Great ambience, live band playing in the background was a nice twist. Very Interesting place and I will definitely be back.",20,December 2021,4.0
Green S,never disappoints!,"Just wanted to thank you for the amazing experience every time we visit SLoW!  It is the one restaurant in Lagos that I can always depend on to deliver consistent, top quality food and service.  I know, without a doubt, that when we want to...impress, or treat someone, SLoW will always perform! Particularly like the charred pepper starters and flat bread. The kale-quinoa salad is outstanding!  My husband loves the steak and your  mash potatoes.More",50,October 2021,4.0
gcxotf,Happening,"At the moment it's the place to be , see & being seen. ambience is top, staff professional, run by the same owners of RSVP.
But food presentation/quality not upto the mark. Price is very high. But worth at least once. Outside terrace is pleasant.",50,July 2021,4.0
407joano,SLOW but Terriffic Food,"Nice Banter, lovely atmosphere, some live music  all made it amazing.  Would have been great if the menu was contactless. in 2021, this is a must. We had to ask for 
 initial bread, and we got some amazing pizza bread. Drinks took a while to...come, Food took even longer, so true to their name of SLOW, and the restaurant wasn't even full for a Sunday early evening.  However, the food was heavenly once it did arrive. Pricey if you ask me, but i will return for sureMore",20,August 2021,4.0
