author_name,review_title,review_text,author_rating,visit_date,overall_rating
Kanak B,Wonderful,"It is a great place to hangout at night 
With friends , families I had so fun. Wonderful experience",40,October 2023,4.0
Salvador P,Best Indian food in Lagos!,"Best Indian food in Lagos!
Week-end buffet is the best Indian meal we can have in Lagos restaurants.",45,May 2023,4.0
umeobip,Review,The management of this restaurant maltreats their Nigerian staff. They dehumanises them like  common slaves.,40,November 2022,4.0
Culture656020,From the time i came to lagos its my all time favorite place to have Indian food .Tried many items over here.,"Amazing Food ,Lovely place with great ambience and food .They serve a wide variety of Indian and Chinese food .Must visit place if you are a Indian food lover .
Must try dishes :
Papadi chat 
Crispy corn
Mutton seekh 
Mutton biryani 
Samosa 
Tandoori prawn",40,December 2021,4.0
3malinik,Outstanding food and Service,"I have been ordering and also visiting Spice route for the last couple of years. The food and the service is always excellent.  

Chef Himmat and his team always go the extra mile to customize the menu to delight us.",50,December 2021,4.0
JusticeJoyce,Masks are not compulsory/ENFORCED,"Sunday Brunch Buffet Review:
Everyone is nice enough from answering the phone taking a reservation to welcoming us upon entry although the reserved table wasn't marked for our name. Maybe the accent wasn't understood... No idea. 

But the buffet @ N8,000 with only 1 drink...and no refills. Be warned. They have Pepsi products and their Chapman isn't overly sweet. 

Their dumplings are steamed and served at a separate station which is nice. The accouterments were 5 star great. While the mutton was cooked down like crock pot stew meat which I tried and felt was tasty for my sample. 

Shocked more Naan (bread) options were not available or at least a garlic naan but there's plenty of fish, chicken, veggie options for all palates and dietary restrictions. I dined on a day there was no butter chicken offered. But they provide a rice and a noodle choice. Salad options. 2 desserts. One was cocktail fruit In a warm custard and the other was fried bread in a liquid sugar sauce. 

Aesthetically the place is cute. 
Above a pizza and burger joint. 
Two levels. 
Tvs playing soccer matches were going upstairs.More",40,November 2021,4.0
Vishaal_ps,Office party,The service was very warm and courteous. The food was  very delicious. The indian food variety is umpteen!,10,November 2021,4.0
swamynathana2021,Quality Indian & Chinese Foods,"Best Indian restaurant in Nigeria, Both in terms taste,quality & ambience. 

Worth for money.

Only restaurant in whole Nigeria who listen to customers feedback & respond to customers.

Special mention about Chef *HIMMAT* Do meet this gentleman, who will make u r visit or experience...specialMore",50,September 2021,4.0
gcxotf,Pleasant,Had a business lunch and dinner recently. Staff and decor top but ambience a bit down. Food was tasty and we'll presented. Prices high but cheaper than the competition.,50,August 2021,4.0
Explorer789648,Spice Route Restaurant Lagos,"Went there with a few friends, must say all the dishes we ordered were delicious. Special mention to Chef Himmat Singh, he personally gives his special touch to all the dishes from presentation to the taste. Was a wonderful experience….Spice Route Indian Restaurant is a...must try for all nationalities ( as dishes are prepared as per requirement from mild to spicy).  Highly recommended.More",30,August 2021,4.0
Maps61703578040,Best Reastuarant,"5 , excellent food , good service , nice staff , nice location , nice environment, nice hospitality , good for parties , good space , nice Brewerages",40,June 2021,4.0
ajaymit,Tandoori Dumplings - Amazing,"Good Resturant for me means fabulous ambiance, superb service and great food. It’s not easy to find all this together, however last Saturday when we went to Spice Route we did experience all this together.
We also had the pleasure of speaking to the Executive...Chef Mr. Himmat . We could clearly see the influence of his experience on the dishes that he had made for us on request. The tandoori dumpling or momo deserves an extra mention.
His humble nature , service orientation and understanding of food and flavours due to his travel was amazing.
We had an excellent experience thanks to Himmat.More",50,May 2021,4.0
OorjaK1,Delicious authentic Indian food and excellent service.,"Excellent food by chef Himmat Singh, tried chicken angar ke sholay today.. Just amazing.. List is endless.",30,April 2021,4.0
880shwetaa,Great food,The food was really great and unique. Chef mr. Himmat is very welcoming and just ask him for any cuisine .,50,March 2021,4.0
lalitahir,Best Place for Indian food,Best Place for Authentic Indian food. Just ask for chef for best cuisine and you will get fresh chicken and lamb.,50,February 2021,4.0
GeraNel123,"Absolutely Amazing Experience - Rich, Exotic ... A definite must go to!!","An instant transition from Lagos to India, China and the Himalayas as you enter the door. Beautiful décor, music to match and staff that comments to this amazing ""Spice Route"" that takes you thousands of miles ...

The  chef ensures flavors and tastes that compliments...More",40,February 2021,4.0
sauravp670,"Good Ambience, delicious food, excellent service","I have been a regular guest at Spice Route since last 5-6 years. Their food has always been delicious with excellent service. The managers & support staffs have always been very warm and caring. Now days I enjoy the food even more, that is because...More",45,January 2021,4.0
sanjoysamanta,Regulars,"If you want best and authentic Indian food, this is place in VI, Lagos. You can even speak to the executive chef here and get them make the food as per your taste and choice, amazing ambience too. Not to be missed",40,February 2021,4.0
MoreSunil111,Home Away from Home,"I have been frequenting with my family  this place for long time.  Much before the when the earlier name of Spice Bar (not it is Spice Route) We are there almost once in every month.  Sadly, we cud not visit during the pandemic, but started...More",40,February 2021,4.0
89ravig,"Nice ambience, Amazing service and delicious food","The restaurant has everything one expects from a nice Indian restaurant - beautiful ambience, detailed Indian menu, prompt service and the most important- delicious food which is served and presented very beautifully. 
Special thanks to Head Chef Himmat who doesn’t fail to surprise us on...More",50,November 2020,4.0
828nayanr,High quality Food.,"Very Good fresh food , Properly prepared and a great value for the price , Menu is perfect, Something for everyone, Service is awesome. 
We highly recommend it.",50,January 2021,4.0
kunlea2013,Very very poor. Useless,The only good thing about this restaurant were the staffs. The food was so poor I would have to rate it as the worst I have had in years. The lamb chops was poor and not fresh. The prawns were not fresh and the lamb...More,50,November 2020,4.0
BackPacker356595,Rude and Impatient Staff,"Very rude and unprofessional staff. Not willing and ready to assist. Started from reservations and staff keep talking on the phone with another colleague while on the phone with me, also kept hanging up on me while still making my booking. No proper training on...More",50,September 2020,4.0
naijagoodlife,RUDE and AGGRESSIVE staff,"Started with a good dinner, afterwards everything went downhill. Rude and unprofessional behaviour displayed towards us. Extremely disappointed!",50,November 2019,4.0
Zhaier F,Halal don't waste your time!,"We called to ask if the food was halal, the person who confirmed that he was the manager could answer the simple question and just hung up, I called back to ask the question and asked if I could speak with the chef, he just...More",50,November 2019,4.0
Beth604,Manager hung up on me multiple times,I called this restaurant to ask if their meat was halal before ordering from them. The person didn’t understand and hung up. I called back to speak to the manager and it was the same person who hung up again. This happened multiple times as...More,10,November 2019,4.0
