author_name,review_title,review_text,author_rating,visit_date,overall_rating
walkinlight,Great place for family with kids,"Their pizza is average but kebab is mostly good. The place is a relaxed one and super good for family., you can not find a better place for kids and family here",45,September 2022,4.5
jaybxl1,Absolutely fine,"The food is fine but if you have eaten Levantine food anywhere else in the world you won’t be blown away. However, the food is fresh, the service is fine and it has a nice playground area for children, plus lots of parking.",50,September 2018,4.5
CSRam,Grilled fish and tabbuleh,"The best fish I have had in Lagos is from this place, on the menu it's called Barbeque fish, it comes with an option of being spicy or normal spiced, with chops or salad. The fish is just outstanding, it is not by fluke ,...I have had it more than 2 times and it tastes the same and also the portion is good size. Just enjoy this.
Another item out of this world here is the tabulleh the fresh crunchy parsley Mediterranean salad . You will not know it tastes so good till you taste it  hats off to this restaurant.More",30,April 2018,4.5
SlavkoZivkovic,Best food in Lagos,"This is my favorite spot in Lagos. Excellent food, the staff is really friendly, the shish tawook and the falafel is brilliant. Would also recommend a fresh pineapple juice for refreshing during the normal high heat in Nigeria.There are playgrounds for kids, a football court,...plus you can watch football if there is a match on, ask from the Staff if they can put the channel on for you. If you have dinner there, have Shisha afterwards and just relax.More",50,June 2017,4.5
Bart_Boy_ID,Great place for chit chat..,Yes!! This is the place you can hangout and look around the good environment. With footsal playground and child playground makes this resto best!!,50,October 2017,4.5
Lez M,Very tasty and cheap food,"We have visited this restaurant on several previous occasions. When we have been there for lunch it has not be busy, but we tend to eat earlier than the regular cliental I guess.  The food is very tasty, the waiters are friendly and the price...is cheap. Great play ground if you have children.More",40,May 2017,4.5
624adityat,"Shisha , Arabic snacks and a lot of talk","A decent place to enjoy the view of kids playing around and a small ground. For a five a side football pitch. 
A pretty much canteen style run restaurant which serves shisha, khuss khuss sawarma , Arabic tea. A must visit for Arabians in lagos...to interact and socialize in lagos nigeria. 

A perfect place for kids to watch kids play around with the adult folks enjoy a shisha and play cards talk and enjoy a laid back evening in the vicinity of a mosque.More",40,May 2017,4.5
mstphy,Right Beside the Mosque,"This is one of my favorite places to eat.  Great food, great prices.  Popular with those looking for tasty Syrian/Lebanese/Middle Eastern food.  Outdoor seating.  Child friendly.",40,February 2017,4.5
Lez M,Good food and good prices,"We went here for lunch on Saturday.  The food was excellent and the price was the lowest we have paid for lunch in a while.  However, the quality was excellent.  We were the only patrons there, so people, you need to find this place and...get there!  There is a great kids area too.More",50,March 2017,4.5
Srikanta P,Eat and Play,"Good place to enjoy weekend evenings. has a ground available on rent to play Basket Ball, Crickets, etc. Pizza and Falafal here are very good.",50,December 2015,4.5
Roobel,Kababs perfectly spiced,My 3rd visit to this place. The kababs remain consistently juicy and spicy. This place never lets you down. Fast service and no frills.,40,May 2016,4.5
Roobel,Very satisfying experience,"Amazing place just beside the Syrian Mosque, Ribadu Road, Lagos. Excellent for family. The place is replete with an outdoor sitting, a play pen for kids, a Football ground and a few rides for little kids. You even has shisha. We tried the sheesh Taouk...and kafka, Special Humus and the taboulleh salad. Each of them were perfect. Meet was juicy and done to perfection. The veg Pizza was good and the kids loved it. The service by the staff could have been a little better as they seemed to be confused all the time. The accompaniment garlic sauce was freshly prepared unlike the ready made mayo most restaurants serve. The ambience was very warm and comfortable. Crowd was good. The juices were fresh. 
Highly recommended. And those who are 
I went there twice. On my first visit they didn't charge for a second helping of the accompaniment of garlic sauce. But on my second visit, they said it chargeable. Found this very inconsistent. 
worried about food being halal , it's 100% halal. The place is also known as Sultans Pizza and fast food.More",50,March 2016,4.5
