author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
AHZambia,Spicy food!,We went here for a business lunch.  Food menu was a bit difficult to comprehend without the help of our local hosts; food very tasty (and VERY spicy!).  Great little shop upstairs.  Would love to return when it is buzzing in an evening.,40,Oct-22,4,Terra Kulture
610dirisuj,Great arts poor food,"I found the tastes of the meal I had below expectations, in addition the portion was really small and overpriced.",40,Nov-22,4,Terra Kulture
ifymyboy,A fantastic restaurant,My family and I had a great time at Tera while visiting from Sweden. Fantastic nigerian dishes. You can feast your eyes on great paintings while waiting for your meal. We had nothing to complain about. Highly recommended.,35,Mar-21,4,Terra Kulture
antaresa2021,NOT SO GREAT,Alright so i follow a guy on youtube called wode maya and he went to this place and so   i decided if its good enough for the great wode maya it should be good enough for me. first of all let me say the ambience...of the place is excellent. love the bookshop. anyway so i ordered the ofada rice and sauce.the sauce didnt taste that great and there was hardly any meat in it so basically you are paying 3000 naira for just the rice. but i overlooked that and because of the ambience of the place iwent the next day and ordered the club sandwich and like a shandy drink on the menu. the whole thing came to 5000 naira .first of all the shandy was sour. not an ounce of sweetness in it but the real bummer was the club sandwich. as soon as i took a bite i nearly puked. its like they put stale tuna straight from the can into it. it just tasted nasty. after taking that one bite i just ignored the rest of it and just ate the fries. however i wasnt going to waste what i just paid 5000 naira for so i told the guy to bring me an aluminium foil so i could wrap up the sandwich and take it home with me so i can eat it at night when i am fully drunk and dont care about what the food taste like. and thats what i did. got drunk at home because it was a weekend and when i was craving for food during my tipsy state i just ate the rest of the club sandwich.  so all in all i wouldnt be going to this place for food again because i tried it twice and it was rubbish. however this is a great place to bring your friends and sit down and drink coctails. so i wouldnt write it off because the ambience is good and you can just hang out and drink cocktails here. however the food is a miss for me.More,35,Feb-21,4,Terra Kulture
Ade703,Good relaxation spot,"Terra Kulture is best known for hosting plays and other artsy events. Located in a central part of Victoria Island, it has played host (and continues to do so) to a range of different stage performances over the years. The second half of the building...also contains a restaurant and book/souvenir store on the ground floor and mini-museum on the upper floor; there you can find on display a wide range of traditional attire from different Nigerian ethnic groups of Nigeria. The food is quite good and with a fair price point, the wait time (~ 45 minutes) however needs to be improved on. 

Overall its a nice place to have a quite lunch or dinner and basically relax.More",40,Dec-20,4,Terra Kulture
mhveo,Had an excellent time.,"It was an amazing place to be. I was there for 'Nigeria's journey, cycle of fashion exhibition. Cultural attire of Nigerian monarchs spanning over 400 years were on display. Yahaya who curated them guided me through the history of a couple of them, and it...was fascinating. 

The restaurant was super dope. Lunch was awesome. They also promised to be in touch when the have concerts and other large scale events. Looking forward to the next time already.More",40,Oct-20,4,Terra Kulture
fitzmigman,Exquisite,"The scenery, settings and food is awesome, food get done with very nice capable chef and in time love it",30,Sep-20,4,Terra Kulture
Phareedah1,Terrible,I was on a date with my boyfriend and after about 40 mins we had finished our food and were having drinks and talking and we were asked to leave because they needed the table. We were told that to stay for longer we would...have to order something else. It was terribly embarrassingMore,50,Nov-19,4,Terra Kulture
Tia011,"The food here is very good, but ...","The food here is very good. The dishes are well thought out and well prepared. If marking just on the food the score would be 4.5. There are some inconsistencies and irritations which let the place down. With some tweaks the place would be exceptional...and easily one of the best in Lagos.

The presentation is lovely. The food is tasty and authentic and unlike many establishments, they have resisted the temptation to add incompatible dishes to their menu. This is good quality, local Nigerian food. We are fussy eaters but this place impressed us and we became repeat customers.

The complimentary chin chin and nuts is delicious. It wasn’t always served with drinks which when you have to wait a long tome for your food is an amateur mistake. 

Areas for improvement:

The delays getting the food on the table can be bad if you’re in a hurry or if you’re hungry.

The mixed meats soup on 2  days was delicious and generous, on another day there were about 2 tiny pieces of meat. We complained and left most of it but we  were still charged.
The ofado sauce lacked variety and wasn’t completely warm. Lack of consistency irritates me profoundly. 

The menu and the pictures on the website suggest they serve moin moin. When you order it, they tell you they do not.  It remains on the menu and in the online images! 

The closing time on this website says 12am. We went for a late meal, it turns out, they close at 10am even at the weekend. 

The servers are helpful, pleasant and warm but seem a little bit inexperienced. I think there needs to be more staff and more training. 

The new Manager is warm and pleasant. Her priority needs to be to get items not sold off the menu, train staff and review the consistency of food leaving the kitchen. I think it would be worth employing more staff and open later at the weekend. The staff seem shattered towards the end of the day. 

They also need to review their marketing on and offline. If information online is inaccurate - change it! 

All in all, a nice place to eat. The irritations are not off putting because the staff are generally pleasant and eager to please. 

We’ll probably explore other eateries but I hope this place attends to the areas for development. It would easily get 5 stars from us if the issues were addressed!More",20,Mar-20,4,Terra Kulture
Jerone_Vessels,Our intro to palm wine!! Great!!,"Our tour guide Janine took us to this restaurant and it was terrific. The food was so so good and plentiful. She wanted to introduce us to palm wine, and we tried it willingly. It tastes so smooth and refreshing, you forget it’s alcoholic. Very...enjoyable and highly recommended.More",40,Feb-20,4,Terra Kulture
_abisheart,Nice ambience but a bit of a wait for food,Nice ambience but a bit of a wait for the food. They give you peanuts and savory chin -chin with your drinks which is a nice touch. I had the ofada rice with sauce. Had additional plantain on the side and it was amazing. It...had a bit of a garlic taste and was totally tasty. Large portion and good value. All in all was quite good .More,50,Feb-20,4,Terra Kulture
Olamidé O,Fela republic,"Lovely venue. Staff were professional. 

Parking is rather limited so get there early if attending for a show.",50,Dec-19,4,Terra Kulture
niiamahd,A must visit when on the island when in Lagos,We attended a movie premier and the service was great. The movie theater was clean and fresh the sound was great and the catering was sumptuous. Tasty crunchy popcorn and easy to locate.,10,Sep-19,4,Terra Kulture
omamuzoe,Nice Place,"I visited about closing time. The restaurant is set against the background of art works and sculptures. The sitting arrangement has the feel of a native setting. 

There was a delay in delivering our order which made me a little impatient. The food was good...but not over the top. Generally a nice place. Will visit again.More",40,Aug-19,4,Terra Kulture
laurel_s1717,Highly Recommended,"I came here with a group of friends for lunch. The space itself is unique, with a theatre, bookshop, art gallery, and restaurant all in one. The food was amazing - we got to sample many different delicacies. I had pounded yam and egusi with...croaker fish, and the flavours were incredible. The palm wine was delicious as well (it taste like fermented coconut water). I also tried the pepper soup, and while it was too spicy for me to have a lot of, the flavour was delicious. We also greatly enjoyed the selection of books in the bookstore - so many great titles.More",50,Aug-19,4,Terra Kulture
Wabe1816,"Great bookstore, Meh Art Gallery","The bookstore contains many variations of books for people of all reading levels and interests, as well as cards, dolls, puzzles, bags and other accessories and health and beauty aids. You will find many great novels by Nigerian authors, as well as magazines. I highly...More",40,Nov-18,4,Terra Kulture
Vinod K,Good Place to eat & relax,I had fish pepper soup and it was delicious. My favorite was the palm wine served in calabash. Highly recommended. You can also try watching their live shows.,40,May-19,4,Terra Kulture
oseni_debola,Basic Nigerian food. Great presentation,Picked this restaurant for my colleagues sendforth dinner. The opportunity of a private conversation (if not full) is a big plus as the layout has some corners and secluded areas. Waiters are great and happy people. Parking is a little tight was was lucky to...More,35,Apr-19,4,Terra Kulture
chineduu2016,A Nice Visit,"So I was here for lunch and also enjoyed a show (Moremi).

The food was okay. We had beef and chicken skewers with peanut sauce and fried rice, plantain, and pepper soup. Overall it was ok. The rice and skewers were not hot; a bit...More",35,Apr-19,4,Terra Kulture
240oliviao,Great combo,"Between the food court, art gallery and beautifully staged dramas.....you can be sure to have a well spent day at this venue.",40,Nov-18,4,Terra Kulture
yogunrinola,Curator's Curiosity Converge,"Having served as a curator at a number of Cultural Centers and Galleries in San Francisco, Terra Kulture evokes memorable moments in a foreign land. The beauty of this place is the triple effect - the convergence of sights and sounds and smells. The art...More",40,Feb-18,4,Terra Kulture
247Alexana,Correct Jollof rice,"I'm always skeptical about having Jollof rice that I didn't make myself...on the recommendation of my host, I tried the Jollof rice at this location(came with accompaniments-goat meat and fried plantain) and surprisingly, I thoroughly enjoyed it!",40,Apr-18,4,Terra Kulture
Nathan R,Lunch,"Went with my wife and two little ones. Our server was very courteous, but a bit slow at times. The food was quite good, and the a/c kept the place nice and cool. The art gallery upstairs was also nice to visit.",40,Jul-18,4,Terra Kulture
sagmekzie,Cozy environment! Good food!,"Food was great; I had the white rice and stew with plantain while my colleague settled for the jollof rice and plantain. Meal was fresh,took about 15 minutes to arrive, chapman was chilled and tasted great, service was alright and the price was fair.

Cozy...More",40,May-17,4,Terra Kulture
473maryamj,Rich nigerian experience...,Terra kulture is an all round experience from traditional foods to Fela shows.. souvenir gift shop etc. Food is reasonably priced. I especially loved the chin-chin and groundnuts served as free appetizers in mini calabash before the order rolls in. A friend recommended their Efo...More,50,Apr-18,4,Terra Kulture
melvin d a,Nice Ambiance,"First, i hand it to whoever designed the interior layout; she or he is spot on.  second, the food came super-fast, tastes ok, was moderately priced and served by enthusiastic waiters.  the only draw back is that the place closes rather early; you can get...More",40,Mar-18,4,Terra Kulture
adakujennifero,My favorite place in lagos!,"I had the okro soup and it was rich and so tasty. The ofada rice was really good and very spicy, the cocktails were nice and finally the chocolate cake i had was lovely. 

For the stage plays i try never to miss any of...More",40,Dec-17,4,Terra Kulture
zonalagos,"Feb 25,2018.service standard has dropped 😱","The plan was to have an amazing surprise send forth for a friend. 

We arrived here after having downloaded the menu online to find a rather ridiculous menu substitute with as minor details as possible .

We already knew what we wanted to order but...More",40,Feb-18,4,Terra Kulture
Justice D,Don Jay,"Terra Kulture is in a league of its own even though they have issues with parking space ...

Not a bad place to go eat and feel the African scenery",40,Jan-18,4,Terra Kulture
