author_name,review_title,review_text,author_rating,visit_date,overall_rating
V812LBdanielg,"Good food, good service","We ordered steak and cooked fish (Morocco style) with some drinks, the service was good and the food really good..... nice place for business meeting",40,July 2022,4.0
SEABimbo,Customer Care,Is there a customer care line for reservation? i have tried the lines i had previously but all are switched off. how can one make a reservation if there is no functional line to assist,40,September 2021,4.0
timetraveller64,Nice ambiance and great steaks,"I had dinner with an old colleague here at this nice restaurant in Victoria. I arrived early (unusual for Lagos) so had a drink in the bar first, very competent bartender. 
 
We both had steak with nice sides including mushroom and spinach and shared a...good bottle of red wine.
 
Service was good, food was good and ambiance excellent.More",35,May 2019,4.0
Marta K,nice place to chill in the evening,"I was here in the evening, very nice place to chill with friends, and also to organize a business meeting.
Very good food, nice service, quite fast. 
you can seat outside or inside, both is recommended. they also have small area next to the pool...to just chill having a drink.More",35,May 2019,4.0
foodieforevermore,Falling Standards,"The standards at The Grill by Delis continue to slip. 

What opened up as a chic addition to the fast-growing Island restaurant scene, with a guarantee of a fine dining experience,  has over the last 7 months, declined into an intelligence-deficient establishment  where diffident waiters...make respectful (if curious) enquiries on whether guests  ‘would like some groundnut’, as they endure the long wait-times for your meal. Groundnut?. Oh dear. 

For the lucky few who have established ‘friendships’ with some waiting staff, one singular roll of bread (often very lonely in the fetching silver bread basket) may be offered to you. Should you dare ask for another roll, you may notice your waiter physically stiffen at your audaciousness. The poor man is probably thinking about how to justify such a request to the kitchen staff. 

Getting proper butter for the lonely bread roll, has also become something of a lottery too; some days you may get a cut out from a giant slab that sits in the kitchen, and on other days you’ll be treated to fine little individual pots straight from France. 

Although prices have remained the same since the Restaurant opened about 18 months ago, portion sizes have generally dwindled in direct partition to the establishments glory. 

Permit me to share a case-study on the  aubergine and mozzarella bake. 

This indulgent starter started off being served as 9 slices of an average-sized aubergine, beautifully plated in 3 stately towers and generously drizzled with pungent pesto. 

Over time, the average-sized aubergine got replaced with its dwarf-sized relation, looking very scant indeed when presented as 3 coin sized piles, in the middle of a suddenly oversized plate. 

And then somewhere along the line it happened.... the 3 dwarf piles were reduced to two. Shots fired. 

But we managed. Because we are in Nigeria and managing is what we do. 

Long-suffering and endurance are traits that our colonial masters programmed us for, and our ‘managing’ culture has been ingrained and reinforced by generations of self-serving leaders. 

But our pop-culture hero’s of the day have been pushing us in a different direction. These role models to a youth population long forgotten by the government, have been preaching that we must ‘shine our eye’. So I got out my polish as I returned to The Grill yesterday for my favourite, if grossly over-priced,  aubergine bake. 

With my freshly polished contact-lenses in place, as the pristine white serving plate found its place onto the centre of my table, it became immediately obvious to me that tomatoes, cheese, and pesto had been included on the kitchens fast-increasing list of rationed items. And in that moment the obstinate camels back was broken. 

What had in its glory days been a magnificent gooey plate of cheesy aubergine deliciousness lay before me as an unapologetically dry starter, evoking nothing from my senses but pity. As we say in local parlance; ‘shame left the kitchen, and caught me’.

Our waiter encouraged my sister and I to articulate our concerns to enable the kitchen ‘fix things’. Where to begin? Eventually he went off with a long list of remedial notes, and returned the plate to his kitchen colleagues for an ‘uplift’. 

Within 2 minutes the very same plate returned covered in a mountain of grated parmesan cheese, thickly layered for our troubles.

Unbelievable. 

After an additional ten minutes of detailed complaint and furious note taking by the waiter, we wondered why he was so reluctant to have that chef come forward to ‘defend’ his meal. As it turned out, there was no chef in the kitchen 🤷‍♀️

An extra five minutes passed, and we wondered why the manager hadn’t thought it fit to approach us and address our concerns. As it turned out, the manager too wasn’t due to arrive for another 45mins 🤷‍♀️

The waiters valiantly fought to explain away the multiple failings of the kitchen and management, but at this point the shine in my eyes had given me super vision. 

At some point, a call was placed to one of the ‘masters’ and our overworked waiters happily advised us that our un-eaten mess of a meal would not be not included on our bill. We marvelled at the benevolence of the management, and left the waiters a substantial service tip for their efforts. 

As we left to one of the several restaurants in the neighbour, my sister and I took a last look at an establishment that had hosted our weekly catch-up lunches, and family dinners for the past fourteen months. 

At at the end of the day our repeated custom had translated into nothing. It hadn’t even been enough to buy us an apology (or extra bread rolls) from the management team. 

Shame left them and caught us. It was a long overdue departure.More",50,May 2019,4.0
inayellowsari,"Excellent food and service, great for couples and friends","Dear Foodieforevermore,

Thank you for your honest review. 

We are sorry to read about your not so pleasant dining experience with us.

Your feedback is critical to the success of our operation and as we digest your review concerning certain issues, rest assured this will...More",20,May 2019,4.0
Sacha P,One of the Best Restaurants in Lagos,"I was only on Lagos for a few days on business and was taken here by two locals. The place did not disappoint.
Inside is cool and sophisticated with linen tables and very attentive staff, outside has got a bar, a pool and a more...upbeat vibe with great cocktails and nice tunes. Seating is well spaced so you can relax and not feel crowded out.
It is a great place to be seen but come here for the food.
It is primarily meat, excellent, and fish, super fresh, but being a veggie I was well accommodated too and they are happy to adapt dishes to ensure you are well looked after. Portion sizes are just right and staff attentive and professional.
It is mid range price wise but well worth the money. If/when I am back in Lagos I will certainly go back and I heartily recommend it to others.More",40,December 2018,4.0
tochisbox,One of the top 5 restaurants to visit in Lagos,"Thank you for the kind review and feedback following your last visit to the restaurant.

We look forward to welcoming you back to dine with us.

Warm regards,

The Management Team",40,January 2019,4.0
Ricalea,One of the good place in Lagos,"Beautiful setting with a lovely alfresco bar area outside and white linen dinning inside.  Ambiance is perfect - some live music (piano / jazz) would just go that extra mile :0).  Staff are extremely professional and fully understand the menu and guests requirements.  Steaks -...cooked to perfection be it Blue, Rare, Medium or Well Done.  Wine list is not to extensive but they have all palates covered.  Highly recommend this restaurant to anyone visiting Lagos.More",20,October 2018,4.0
olajideo2013,Great Food & fantastic ambience,"Beautiful tastefully furnished restaurant. White walls. Lovely glass wine cellar. Lovely ambience. Clean glasses, cutlery. Clean environment. 
Professional and courteous staff. We had their salmon with vegetables, lamb chops and steak. Salmon was well grilled. Steak and lamb chops well done. I enjoyed their cheeky...cocktail 🍸
Grills by Deli is definitely one of the top 5 restaurants you should visit when in Lagos.More",50,February 2019,4.0
