author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
MosMuffins,Birthday lunch,"Ate lunch here for my birthday.
A lot of items on the menu were not available (I was really looking forward to the soft shell crabs and lobster). But the salmon was lovely. They also made a little brownie cake for my birthday and sang...as well.
The staff were very accommodating, allowing my parents to use some space to pray.More",40,Apr-21,4,The Sky Restaurant
popeourfriend,A lovely treat,"One thing that makes this resturant a place to be is the sky view when having cocktails. Had a buffet dinner which included big prawns & crawfish, chinese and nigerian dishes.",40,Nov-19,4,The Sky Restaurant
Kumaran C,Is it really Indonesian / Malaysian food?,"When I searched for Malaysian food it flagged The Sky Restaurant. Excellent ambient and service but the asian food was below average especially the nasi goreng...
Would definitely go back but this is not the place for Malaysian/Indonesian food...",40,Oct-19,4,The Sky Restaurant
Arzum E,Nice view- A bit pricey,Good option for getting together both for leisure and business dinners. Very nice view yet no hotel’s wifi signal. Employees are nice and neat. Prices are a bit expensive,35,Oct-19,4,The Sky Restaurant
Nikki A,Superb views,"Fine dining high above the city, with superb panoramic views. The quality of food and service both excellent. Great value for money.",45,Oct-19,4,The Sky Restaurant
Chris H,A Great Meal with a View,"The views from the restaurant are awesome with the skyline of Lagos as well as views across the sea. There is a warm feeling about the place which is backed up by impeccable service. The restaurant has a separate bar and small lounge area where...you can have a drink prior to dinner. Dinner was perfect. Crispy chicken spring rolls with really good fresh chilli mix followed by a Nasi Garang. This is fried rice toped with a fried egg with skewers of beef, some crispy chicken, prawns, fish and veg and pickles. It was absolutely magnificent. The evening was accompanied by a piano player stroking the keys in the background.More",40,May-19,4,The Sky Restaurant
Fatima U,WORTH IT,"Every time i have had the pleasure of dinning at sky lounge its worth it. Its upscale and not cheap but the food meets standards service is always great, and if you seat by the window at night the view is worth the money.",40,Nov-18,4,The Sky Restaurant
KaiUWulff,Perfect spot to eat and wind down,"Upscale, not cheap but very much worth it. They organize as well outrageous parties. Sit on the rooftop, see busy Lagos and enjoy the breeze with a great meal and an endless drinks selection.",30,Jan-19,4,The Sky Restaurant
546guyl,Fancy restaurant with great view,"Fancy restaurant with great view, located at the rooftop of hotel. Great food, not that cheep a bit expensive for what you receive. But still recommended for the tast test and the view. 
Great drinks huge bar.",40,Nov-18,4,The Sky Restaurant
JanA3002,"food is not bad, but to expensive for what you get","inexperienced waiters, it takes a lot of time to make take your order.

Food is not bad (african norms), but it cost to much for the plate you get.",50,Nov-18,4,The Sky Restaurant
GrandTour592220,very refreshing menu and very high end service,this restaurant can clearly compare itself to nice restaurants in Europe. the service is extremely professional the wine list is extremely rich. the manager a french guy. he really knows how to deal with clients. and the food is really upscale. the view and the...terrasse are breathtaking. would definitely recommend itMore,40,Apr-18,4,The Sky Restaurant
tzar762000,WHAT A VIEW!!!,"The view was magnificent. Calm, serene, relaxing and the ambiance was so comforting. My wife did enjoy the outing. I will be there again.",40,Sep-18,4,The Sky Restaurant
Omelebele N,wonderful experience everytime i go there,"one of the best location to host a VIP for good meal , fine dinning and the very best of selected wine . good service ,good food and classy price .",50,Apr-18,4,The Sky Restaurant
Reshu M,Amazing View with great Food,Nice food choices; Great View specially in evening you can see the sea. Lots of vegetarian option - food is really great .,50,Aug-18,4,The Sky Restaurant
Axel P,Dine with a great view,Great view offered to Lagos in the Sky restaurant. Food is however nothing special but also not bad.,20,Mar-18,4,The Sky Restaurant
Chris H,A meal with Stunning Views,A great venue for a really good meal. at the top of the Eko the view across VI and the by area are amazing. Really attentive staff with a bar serving a wide array of drinks and cocktails. The meals were great and the lamb...More,40,Mar-18,4,The Sky Restaurant
ooobabatunde,Average,"So, we thought we'd have a nice quiet dinner. Just as we were about to sit down,  I was immediately welcomed by the noise from a group of guests celebrating a birthday -first turn off! We ordered starters and that took forever to come, when...More",40,Feb-18,4,The Sky Restaurant
princeiseoluwa,Delicious meal,Lovely place to have a delicious meal in the city of Lagos on a budget. Customer service is good and the place is clean and tidy,40,Feb-18,4,The Sky Restaurant
MohamadJr,Not impressed,"The food was not fresh, i didnt enjoy it at all. The view is very nice from up above. Service was fast and good. But again i didnt enjoy the food at all",35,Nov-17,4,The Sky Restaurant
tbs4real,Eat the view of Lagos,"Great food, great view. You see Lagos at a glance.  Perfect for large corporate dining and cosy functions.",45,Nov-17,4,The Sky Restaurant
robg417,Spectacular outdoor views,"With one of the best international wine menus this is a place for special occasions. Sitting outside her the service is exceptional, the wine is very good and well stored and the food is perfect. With the outdoor rooftop the Sky has got even better...More",40,Sep-17,4,The Sky Restaurant
robg417,"Quality dining with a view - a high end ""safe bet""",Had a lunch with a friend a few weeks ago. Lobster salad was fantastic and the rest of the menu equally as enticing. While it can seem a bit pricey (it is lagos!) it is always consistent and and I haven't been let down yet...More,30,Jun-17,4,The Sky Restaurant
FolaO,Amazing view and ambiance,"This is a really nice upmarket roof bar at Eko Hotel.  Really plush.  I would love to visit again, but I nearly had a heart attack when the bill arrived. We had 4 cocktails in total.  The bill was a mini mortgage.",40,Feb-17,4,The Sky Restaurant
mjacob007,GReat view good food,We had a group of colleagues at The Sky Restaurant for an official dinner. The setting was great with an bar outside on the terrace of 12+story eko hotel in Lagos. Food was nice too and well organized. pretty expensive even by lagos standards. the...More,30,Dec-16,4,The Sky Restaurant
Phearphire,Nice setting,"Very nice setting for a romantic dinner, a nice little bit of escapism from the rigours of Lagos life. The live piano player is a nice touch.",40,Sep-16,4,The Sky Restaurant
Ayo O,For Food and View,"This restaurant grows on you; my first experience of the open air lounge was a sunset overlooking the new Eko Atlantic City. It was beautiful. After a light meal and drinks here, we proceeded to the restaurant for some fine dinning. 

The ambience is set...More",50,Nov-16,4,The Sky Restaurant
ZeeGoes,Good food,"The first time my family ate here, the food was lackluster. I asked for a medium rare steak and received a well done, teeth hurting meat. No buenos.
We had an 8 course meal and nothing stood out to me, so whenever someone mention going...More",50,Sep-16,4,The Sky Restaurant
ian a,didnt eat but enjoyed the open air bar overlooking city,"it was so good my wife and i went 3 times in a week, nothing better than sitting watching the sun set with great views, cold beer and nice nibbles, and even though not a resident treated like kings. Great venue, dont be put off...More",40,Oct-16,4,The Sky Restaurant
beachbummer75,"Great views, perfect for sunset drinks","Nice place for sunset drinks - excellent views of Lagos skyline, beach. Was breezy and spacious. 

Just slight challenge getting waiter attention as they were always indoors",40,Sep-16,4,The Sky Restaurant
dedoy2000,Lovely,I dont think there's a more romantic place for fine dining in Lagos....stunning city view esp. at nite & warm staff too. The price is definitely worth it,40,Sep-16,4,The Sky Restaurant
KLLeach,Probably the best food in restaurant and definitely the best view!,If you want to do pre-dinner drinks on a roof terrace with a view then this is your place. The atmosphere in the restaurant is not as cool or hip but I don't think that is what they are aiming at. The service in the...More,40,Apr-16,4,The Sky Restaurant
