author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
Tamdd G,Lovely,Lovely food and very cosy atmosphere helps to make an outing to Umutu worth the effort and every penny spent. The staff are pretty courteous and have an understanding of the menu.,45,Feb-19,4.5,Umutu Restaurant
396pankajb,Dinner @ Umutu,"One of the good restaurants in Lagos. Earlier owned by European family and now managed by native Its fantastic example of continuity.
Food is perfect be it any recipe they cook. Same goes to friendly staff.",40,Jul-19,4.5,Umutu Restaurant
619hakanu,Very good Service,This is a good Italian restaurant. Food is delicious but plates can be bigger. Service is very good and fast. Also international credit cards are working here.,40,May-19,4.5,Umutu Restaurant
Olumide K,Great Italian Restaurant,Umutu is a great Italian Restaurant in the Heart of Victoria Island. The food is well prepared and reasonably priced. The only challenge is parking which is a common occurrence with Restaurants in Victoria Island. Asides that the Restaurant is a good hang out spot.,35,Apr-19,4.5,Umutu Restaurant
Mzungu4Life,Unprofessional Takeaway Preparation & Packing,"While the restaurant's dine in service is generally good, their takeaway services are extremely poor.

I've dined previously at the locale and the service and quality were good, especially by Lagos standards.

However, when ordering a meal for takeaway the staff made careless and lazy...mistakes.   For some reason they poured soup inside a foil pack, intended for solid food and then covered it with a paper lid.   Obviously when it arrived it had fallen apart.   When I called the restaurant about the issue their only explanation was ""this is the one had.""  

This is a premium dining facility.  They should know to put soup in a container made for liquids.More",40,Jan-19,4.5,Umutu Restaurant
Johnny-be-Good17,Italian Food made out of low quality ingredients,"We thank you for your very sincere review.

We are committed to serve you better and like to assure you, we are crafting an appropriate environmentally friendly take-away pack which will be ready in the next few weeks.

Please let us have your contact details...More",50,Sep-18,4.5,Umutu Restaurant
Mexgir,Seafood pasta,"The staff was very friendly and the place was nice but I had my problems with the food. We ordered a plate with ham and salami to start and then pizzas. The pizza was okay for Nigerian standards but the plate was not good at...all. The salami was old and far away from a handmade Italian salami, the bread was like the ones they will serve you in Subways.More",40,Sep-18,4.5,Umutu Restaurant
honeyc561,Awesome service tasty food.,"I think they have the best pasta in Lagos. I tried the seafood spaghetti with olive oil and it was very good, my husband tried the one with calamari sauce and it was even better. For dessert, the tiramisu is a must. The only observation...is that we wanted to try pizza and apparently, the oven wasn't working on that time. The service is good. Definitely, I do recommend Umutu.More",40,Sep-18,4.5,Umutu Restaurant
fidavi,An Excellent night out with friends,"The Restaurant is really cossy and cool. They play nice songs on there LG boombox.

The best part I liked about the most is there awesome service specially crew member ABIB and the manager MARIA. They are always available to make that the guest always...gets the best of there service.More",10,May-18,4.5,Umutu Restaurant
Nana A,What a spectacular experience! We went back for more the next day.,"we chanced upon Umutu on a night out with friends. First night in lagos with no particular expectation of the place. we were WOW'd! the food was authentic, delicious, and well priced. We still can't believe we managed to find such a gem in lagos....tucked away in a serene environment it was like eating round a table in a small 5 star restaurant in the heart of rome. the staff were so welcoming and our glasses were never empty. Their gelato was SUPERB and I will personally recommend
the risotto! YUM!!! we can't thank Maria, Sunday and the team enough!! definitely worth a trip or FOUR!More",30,May-18,4.5,Umutu Restaurant
