author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
hopej702,Amazing Restaurant (Must Go Here Every Time On Any Occasion),"This food is amazing. It reminds me of what I was eating when I was little. I love the rice and shrimp and the soup and beef, etc. It was delicious.  1000/10. More people should come and visit this place.",40,Dec-22,4,Yellow Chilli Restaurant
Amah88,Terrible,The girl at the counter literally chucked the paid cash to her under the counter table then came back to say the funds were not complete. So she literally stole some right in front of us and I counted this cash before handing it over.,45,Nov-22,4,Yellow Chilli Restaurant
chiomai593,Review on Yellow Chilli Restaurant,Yellow Chilli Restaurant is situated on the Island in Lagos. They boast of the finest cuisines in seafood and pepper soups. Their oxtail pepper soup was so savoury and nicely prepared with pepper to taste. What I enjoyed most about the oxtail is the softness...and tenderness. I really enjoyed each bite with the well blended spices that made my day worthwhile. It is a place to be and one of the best places to spend your money as far you are looking for well prepared dishes that are not the regulars.More,35,Mar-23,4,Yellow Chilli Restaurant
yemio976,Great African food at decent prices,A party of 6 went there for dinner - we had a French visitor who wanted to try African food. My efo-riro was simply delicious. Our french visitor had the seafood okra and snail. The snail was tasty (and spicy!). My colleague had Afang soup...and he was also raving about his. The service was great - the waiter made one error and promptly corrected it. I will go back this week for the afang soup to see what the fuss was about.More,40,Feb-23,4,Yellow Chilli Restaurant
Sam G,Can do better,Great food. Service slower than before and portions have gotten much smaller. Food is still great; one of the best in Lagos.,40,Nov-22,4,Yellow Chilli Restaurant
Amah88,"The girl at the counter is a thief, mannerless and hateful, and her manager does not mind the behaviour","So I went in with my family as we just came in from the UK, first it was the hostile welcome, then the thieving, I gave her cash for my food and she slipped the cash right under the counter while at the same time...acting like she was talking to a colleague, all to come back up and say the money was short a good deal amount, which is impossible for me to miss out on my end, I didn’t argue I just topped up the money but my husband saw her move the money and her manager was right there!,More",50,May-22,4,Yellow Chilli Restaurant
TemiOA,Yellow Chilli Ikeja branch - Good food and staff,"Good afternoon,

Please accept our sincere apologies for the negative experience you had with us. We set a high standard for customer service delivery and we are sorry this was not met in your interaction with our business. 

We appreciate you taking the time to...More",10,Feb-22,4,Yellow Chilli Restaurant
SAN-ENTINES,GENERALLY  EXCELLENT SERVICE & FOOD,"I was in Ikeja for about two and a half weeks and went to this restaurant 7 times for dinner. It is within walking distance from Ikeja Marriot hotel where we were staying so we went back many times because we enjoyed the food and...the staff were very professional.
It took many minutes (45 minutes to 1 hour) between ordering the food and when it is served, but I think this might be because of preparing the food fresh for each order.More",40,Jan-22,4,Yellow Chilli Restaurant
Lovejenxx,Waited almost 3 hours for my food,"I have visited several times,  alone and with company. The meals [for a fussy eater like me], has always been top notch. The 1 or 2 occasions I had a complaint [one on an order made by my daughter whilst I was out of the...country] to the supervisor, was dealt with professionally and a replacement given. Albeit this is for Ikeja. Atimes I order over the phone or send a text message and collection is.seamless.More",50,Jan-22,4,Yellow Chilli Restaurant
adamso2019,Awesomeness,"The worst service I have ever received in Lagos! It took three hours for us to all get our food on a Sunday, plus they served us warm Chapman because they had no ice. Honestly it was actually the worst experience the food was okay...but not worth a three hour wait. 

Would definitely not be going back there againMore",40,Feb-22,4,Yellow Chilli Restaurant
paulpQ4592WT,TERRIBLE,I had a fantastic time wining and dining with my co-volunteers. The experience was awesome. A serene environment and the food service was top-notch.,10,Jan-22,4,Yellow Chilli Restaurant
_abisheart,Standards have fallen .. disappointing,"I was not attended to by the staff for close to an hour of sitting with my foreign partner. I called the attention of a senior staff and i was not attended to still.

These guys don't just care .",50,Dec-21,4,Yellow Chilli Restaurant
Ayotola J,Total Customer Service Disaster!,"Ordered the seafood okro which is normally really good. The big prawns were not fresh and one of them actually smelled as if it had gone off. I couldn’t eat it . 
Brought it to their notice and they simply apologized but didn’t offer to...replace or even give a discount. 
Soup itself has fallen in qualify. Totally disappointing and won’t be going there againMore",40,Oct-21,4,Yellow Chilli Restaurant
George K,Dated Menu. Past Glory,Lousy lousy service!!!! What a disappointment!  Called the VI restaurant to place an order and then called back a minute later to confirm order and pick up for VI only to get to the restaurant 30 minutes later and the order had not been put...through the system.  This will be the last time I will be ordering anything from Yellow Chilli.More,10,Mar-21,4,Yellow Chilli Restaurant
olanikek2021,Food!,The Menu is dated. I’ve been coming here for years and at this point I’ll stop as they haven’t really seen the need to upgrade and are surviving on a strong brand and loyal client. They are taking those two factors for granted.,50,Jul-21,4,Yellow Chilli Restaurant
DamYoung,Freshly made and healthy food,"The food was so good I went multiple times during my visit to Lagos . They make the food freshly after being ordered and it didn’t take too much time. The edikainko was so fresh, I could taste all the flavours without it being soaked...More",40,Jun-21,4,Yellow Chilli Restaurant
coffff,My favorite,"They are 2 yellow chilli restaurants and both are nice with good food and reasonable prices compared to others.
Very good staff, cook, and location.",45,Nov-20,4,Yellow Chilli Restaurant
