author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
Srikanta P,Good,A sports bar. Good for partys and musics. Food is good. Located in a good place.Enjoyable during sports events.,40,Nov-15,4,Bar Campione
Ravi D,Bar Campione,"This place started quite well and the food is quite good.
In the recent past, its concentration has been on being a watering hole.
Food quality has dropped and service too.",45,Jul-14,4,Bar Campione
Biscuits180,not bad,"good value for money
lively

good value for money
lively
good value for money
lively

good value for money
lively",40,Oct-14,4,Bar Campione
840victor,best sports bar and restaurant,good food  and excellent seating we visited on final day of champions league place was crowded but still the service and quality was excellent .i went along with my friends.quality and the variety exceeds the expectations i would suggest bar campione serves the excellent pizza...i prefer bar campione to every one .More,45,May-14,4,Bar Campione
Elizabeth O,Food sucks!,"Nasty food! I didn't like this place at all, bad food and unreasonably priced! Parking is also terrible.",45,Dec-13,4,Bar Campione
n1spm,Very good,"We enjoyed a very good dinner with the family at Bar Campione. For a sports bar, the quality and variety of food will exceed most peoples expectations. Good value too.",40,,4,Bar Campione
AbhijeetNayak,Nice Place to hangout at night,"A bar cum lounge with bar seating. Originally a sports bar, it also plays party music on some nights. Have been here twice, once the crowd was decent, another time the place was empty. The chef is Indian & offers few Indian dishes.",30,Dec-13,4,Bar Campione
M R,"Good value sports bar, clean and friendly","Reasonable prices and a nice ambience - although I would imagine it gets a little hectic / noisy during big matches.  I only sampled the Garlic Bread with a couple of Heinekens but it was fine and not too expensive.  The menu looked decent so...will be trying something more substantial next time. Worth a visit, especially if you are a sports fan.More",30,Mar-14,4,Bar Campione
ZeeGoes,Good food + snail paced service,"My friends and I enjoy trying out new restaurants, and when Bar Campione opened, we went for it. Good prices, tasty pasta dishes, customer service needs work and the food came out over1hr after we ordered...i've been to italian restaurants where the pasta was hand...made right before firing up each dish, even those did not take 1hr to arrive. We were the only ones here, just 3 gals and about 5 waiters that kept disappearing. I think there was a game on that day...nevertheless, that was bad on their end. We also ordered some starters that arrived an hour later with our main course. 

Also went there for a friend's birthday, good finger food also.More",50,Nov-13,4,Bar Campione
Bharathi-Wong,No.2 is too high appraisal for it,"we went there one month ago. It was a few people there during lunch time. The service was not very caring and the food was so so, but the price was not so so, high. the atmosphere is still ok. Probably the evening service will...be better. Anyway I do not want to try it during lunch time.More",20,Nov-13,4,Bar Campione
CSRam,Bar Campione,I was invited by a friend and I did not know such a place existed even though I lived close by. I liked its food and the ambience.Not very expensive too.,40,Oct-13,4,Bar Campione
