author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
babswillz,Coffee and Sandwiches,"Fantastic cappuccinos. Great sandwiches - ham, mortadella all fresh. The pasta isn't okay as well. All very affordable.",35,Feb-22,3.5,Basilico Italian Restaurant
irishboy4,Weird I mean strange weird!,"8.45 Saturday 27th October 2018. I visited for breakfast. A helpful guy directed me to parking. Walked into restaurant and it was deserted, absolutely empty, no customers and no staff. The tv was blaring out music to make your ears bleed. I seated myself and...waited and waited. I shouted but could not compete with the tv volume. I walked around and found the menus and sat down again and waited. I checked my phone to make sure that no nuclear clearance warning had been given to evacuate the area, however the world seemed normal. The menu for my first meal of the day looked good and I had eaten here in the past for a business dinner but unless I cooked the food myself Basilico was not going to provide my sustenance this morn. I reluctantly stood up and left.More",45,Oct-18,3.5,Basilico Italian Restaurant
KITTAPPA,Good Italian,"Basilico is one of the Italian restaurant I visit with my family ,  I like only Penny pasta in pesto ,you don't get  Pizza Here , ambiance is not so so ,",40,Jun-18,3.5,Basilico Italian Restaurant
222pierm,Dont come here on monday ooo,"Basilico is one of my favorite place in Lagos But!
Dont make my mistake to come here on monday! I come with my girlfriend and i was asking ice wine in basket no ice, i come here for prowns no prowns, i asked my baguette...to pity me no baguette, so its better madame you keep close on monday oooMore",40,Feb-18,3.5,Basilico Italian Restaurant
654gabrielt,Buona pasta !al dente!,"Good friendly service / Pasta al Pesto / very good, delicious - drinks are served fresh and there is a follow up on the service. I'll return again with friends.",50,Dec-17,3.5,Basilico Italian Restaurant
gianpaolod327,Relax and tasty,Basilico is a nice restaurant where you can   have relaxant moments with friends or family. The menu is complete of tasty dishes.,20,May-17,3.5,Basilico Italian Restaurant
Ejay_N,Chicken Soup served warm,"The Basilico Italian restaurant is quiet and situated right next to 'Le pizzeria"" In my opinion this restaurant is underappreciated. 

I had dinner here, once with my sister. We both loved the experience.",30,Jan-16,3.5,Basilico Italian Restaurant
222pierm,Good place,"I used to go for lunch to eat my lovely ham baguette with ham and salad, with a cold Gulder. But even for dinner is lovely prowns in tomato souce .",30,Nov-16,3.5,Basilico Italian Restaurant
gbemolala,Gbemi,"Great pasta dish and salad.....and if ever you wanted a gourmet sandwich, there's no better place in Lagos.",40,Nov-16,3.5,Basilico Italian Restaurant
Liglossmaffia,Amazing raviolli,I love love basillico. I came for my birthday and the service was just amazing! My raviolli was off the charts. It was so good. And the prices are not to bad. The ambiance is lovely too.,40,Oct-16,3.5,Basilico Italian Restaurant
Katrien M,Nice place,"Italian food. Nice tables. Went for lunch, we were the only table. Also good wine and starters. I can recommend",50,May-15,3.5,Basilico Italian Restaurant
TukeMorgan,"Nice Poolside, Interesting Decor","I went there to play the Sax at a dinner and loved the outdoor seating and the poolside too. I love how colourful the compound is. The dish I had wasn't impressive, it was just pasta and bacon but it was a Set Menu so...maybe I need to go there and order from the menu myself. You can check out the pictures I took in the features section of my blog (
Tuke's Quest). I am a food photographer so can't grant Trip Advisor the rights to my pictures.More",40,Jul-15,3.5,Basilico Italian Restaurant
KapilV611,"Good food, average interiors, average speed of service, above average price","For some visitors....The overall interiors and decor may not be really not so impressive .. furniture & decor is average.. given the fact that place is a fine dining italian restaurant next to a excellent pizza place.....

Our food was served after more than 30...minutes... surprisingly there were not more than 5 guests in the restaurant including two of us...... not a massive one but good collection of wines....More",40,Jun-15,3.5,Basilico Italian Restaurant
Chykeoh,Private Dinner,"Urgh.......and this does not even start to explain my revulsion at the lump of cow in front of me that was served as a poor excuse for a T-bone steak.

Starters came an hour after we ordered and then the disappointment of the main courses....One of the worst places I have had dinner at, and I am usually very forgiving.More",50,Jul-15,3.5,Basilico Italian Restaurant
nattyk2015,Delicious Italian in a dreamy courtyard,"Favorite place in Lagos! Authentic food, great wine (if limited selection), super friendly service and an overall cozy atmosphere. Was there twice just this week and looking forward to going back! So far everything we tried wad absolutely delicious -- eggplant parm, spicy prawns and...lobster raviolli are outstanding. Super value for money by Lagos standards. Lavender limoncello is a super nice touch.More",40,,3.5,Basilico Italian Restaurant
Mademoiselle_Sanne,"Beautiful garden, great homemade pasta, good wine","Beautiful garden (very spacious), great homemade pasta (loved the ravioli with shrimp), good wine (dolcetto d'alba). Very attentive service and good value. It was a bit empty when we were there, let's promote, it deserves more guests.",35,,3.5,Basilico Italian Restaurant
Alferon,"""Bella Italia""",Spent an enjoyable evening at Basilico with friends and business associates during a business trip to Lagos.  The food was excellent and very well presented and the ambience perfect for comfortable dining with indoor and outdoor seating. The Italian food and wine was reasonably priced...More,45,Feb-15,3.5,Basilico Italian Restaurant
Rahulshinde,On menu but started serving!,"A friend of mine was here and he informed me,they serve Lasagna (he never ordered, but saw it on the menu card). imagine, we went in here only for Lasagna and it was their on their menu card too. But on ordering were told, not...More",40,Dec-14,3.5,Basilico Italian Restaurant
RSH611,Lovely cozy place,"Nice restaurant, nice poolside seating and great starters and nice Italian dishes! Must visit with family or friends...",40,,3.5,Basilico Italian Restaurant
Hnymnr68,Nice Italian Food in Lagos,"Went to Basilico last night for hubby's birthday at the recommendation of a friend. We were looking for something new. They have several tables outside, which was nice because the temp outside was comfortable. Had a bottle of Chianti, their rustic bread with spicy olive...More",40,Jan-15,3.5,Basilico Italian Restaurant
asianink,Best Italian Restaurant in Victoria Island,"A friend and I went to Basilico for lunch today. It's been open for 3 months, so didn't have a lot of expectations (but was hopeful). The restaurant itself, is neat and clean. Simple décor, green walls to present the idea of the name Basilico....More",40,Oct-14,3.5,Basilico Italian Restaurant
