author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
LancasterTee,Okay - but definitely not great,"We ordered hummus with mince as our appetizer then quinoa salad and seafood pizza for our mains.
The service was good, waitresses very attentive etc👏🏾👏🏾👏🏾 but the food wasn’t nice. The pizza was almost tasteless and the quinoa salad lacked stated ingredients (e.g. sweetcorn). Not...sure I’ll be back here by choice.More",45,Nov-22,4.5,B.L. Restaurant
Kelly M,Order Lebanese Food here!,"I almost ordered the mixed grill but at the last moment changed my mind and ordered a pasta dish.  I also ordered the tabouleh which was very delicious!  When the pasta arrived I was looking at my friend's mixed grill and was disappointed I ordered...the pasta.  The mixed grill was definitely a better choice, but next time I will know.  The servers were attentive and helpful.  Overall a good experience, especially because we had a big group.More",45,Oct-21,4.5,B.L. Restaurant
V812LBdanielg,Terrible Experience..... just across the road there is a fantastic Thai decent restaurant,We placed the orders but only one of us got the meal...... isn't it sufficient?  the waitress was untrained and rude and try to blame us for their fiasco.,40,Apr-21,4.5,B.L. Restaurant
SophiaMike,Unique Food,"Delicious meals and great cocktails. Been here weekly since opened.  Good value, perfect service and cool ambience",40,Dec-20,4.5,B.L. Restaurant
Chris H,One of the better reataurants in Lagos,"I last visited this restaurant about 4 years ago and enjoyed it then, Since that visit they have added an outside terrace and bar as well as the 'Heineken Bar' complete with hookahs. the menu is largely driven around Bulgarian and Lebanese food, but a...number of International dishes are added based on the clientele mix. The latest additions include a number of South African dishes including boerewors and game steak which are flown in from RSA.
For our meal we stayed traditional and ordered a number of dishes to share as tapas. We enjoyed falafel, cheese rolls, calamari, hummus with flat bread and chicken wrapped in bacon. All really good. Service was friendly and efficient although a little slow. RecommendedMore",30,Feb-20,4.5,B.L. Restaurant
olaniyan2020,Good,"For a taste of Bulgarian and Lebanese fares, B.L. Restaurant in Lagos is the ideal place to visit. Not only are they vegetarian-friendly, they also have a wide range of barbecues, hummus, and sweet",40,Dec-19,4.5,B.L. Restaurant
879ummil,Horrible customer service,"I went in late evening, sat for almost 30mins with waiters attending to experts around me but 0 attention was paid to me. I had to check to make sure I was not a ghost.",10,Nov-19,4.5,B.L. Restaurant
SophiaMike,Try the best restaurant in VI,"Where do I start? Variety, consistency, clean, good service, value, never disappointing. Been over 100 times with wife, friends, by myself. Cannot find fault. Always way way above anything else in town. And both owners are always around to listen and gist. Food for every...palate. See you when I pass through again and thanks for feeding me!More",50,Oct-19,4.5,B.L. Restaurant
Damidj,Great Bulgarian Lebanese dining experience in Lagos,"Bulgarian and Lebanese cuisine under one roof might seem like an unlikely combination, but not to worry, it's not actually a fusion of the two cuisines. The menu just has both listed separately. So you can order a delicious Chicken Sofia or you can order...a classic Lamb Kofta - you decide. I thought that was pretty unique, and don't know that I have ever been to a Bulgarian restaurant, so this was a nice introduction. 

The restaurant itself, is well located off Ajose Adeogun in VI, and very easy to find. It sits on the corner of Younis Bashorun and Tiamiyu Savage. It has a really spacious interior and some outside seating as well. There are huge TV screens and some beer brand (Heineken, Gulder) sponsorships, which make me think it works well as a sports bar also. The wait staff are plentiful and very attentive, seriously I have been there twice and it always seems they are very overstaffed for the shift. So the ladies just seem to stand there and stare, with not much to do. They are friendly though, and are knowledgeable about the menu, which is a big plus. 

Now to the food, no complaints whatsoever. You have to try to hummus with meat, it is delicious and the meat is a nice addition. In the two times I've visited, my party and I have ordered the lamb kofta, seafood platter, chicken Sofia, and a sampling of some of the appetizers. And everything has been well made. I'm starting to think this might be one of the few Lagos restaurants that have a process down pat and can deliver on consistency.More",40,Jul-19,4.5,B.L. Restaurant
KaiUWulff,Outstanding food and great service,"The owner is always around and makes sure the quality standards are kept on the highest level. Food is fresh and tasty and is served with a smile and any alteration you are asking for. For sure a place I would recommend. On your way...out, spoil yourself with something from the bakery!More",50,Jun-19,4.5,B.L. Restaurant
Sreeresh P,Good restaurant- Tasty but pricey!,The food was excellent and the ambience is good. Bit pricey but compensated by the food quality! The service was fine but slow,10,Feb-19,4.5,B.L. Restaurant
Yap661,Great Pizza's,"If you are looking for a quiet from Lagos hustle, this is the place.
Excellent Pizza's, great service and very nice atmosphere.",50,Apr-19,4.5,B.L. Restaurant
yassarh2016,Tasty food,"This restaurant is located in VI, they have an indoor and outdoor area.
Their food is so tasty and the variety in their menu is really wide.
Their specialty plates are remarkable and their portions are more than enough.
The service is so good and...the place is so clean as well...
They have excellent deserts from their own bakery next doorMore",40,Mar-19,4.5,B.L. Restaurant
AdioB,Lovely Lebanese Restaurant,"Lovely restaurant, nice decor and ambiance, the food was great and the portions were adequate.The host was most welcoming and the waiters did a good job.",50,Jan-19,4.5,B.L. Restaurant
Jide O,Poor Service and Delayed Order.,"Went to dinner with my friend and my main dish order did not arrive AT ALL! we waited 1hr 30mins after placing the order. Starter had already been finished wayyyy before. To make matters worse, the waiter did not have a reasonable or suitable reason...or explanation for the delay and poor service. Had to leave hungry. I wouldnt recommend if you require quick and efficient service.More",40,Dec-18,4.5,B.L. Restaurant
JanA3002,"great restaurant, nice food and atmosphere","I enjoyed the whole evening.... nice setting, clean restaurant, nice servants. 
Perfect food (lebanese style), great wines 

I really like this restaurant and I think it's the perfect place to invite your business partners or friends for a great evening !",45,Nov-18,4.5,B.L. Restaurant
GrandTour592220,best Lebanese restaurant in Lagos,i would recommend this place more for lunch than for diner. the service is good but the food is great. a lot of flavors . we really enjoyed this lunch. the owner was very welcoming.,45,Apr-18,4.5,B.L. Restaurant
dewittb2017,Good food and nice decor,"The place is well maintained and seems new. Nice outside seating area, should the weather allows. Quite an extensive menu which is well prepared.
The only frustration is very slow service (pretty standard in Nigeria).",40,Oct-18,4.5,B.L. Restaurant
liverpool1023,Great option,"I enjoyed our evening meal with some colleagues at B&L.  This bright, clean, modern restaurant offers an extensive menu with plenty of Lebanese style mezzo options, pizza and some very reasonable mains. The service is friendly and professional. My barracuda fish main course was excellent....More",40,Sep-18,4.5,B.L. Restaurant
gcxotf,Wheres the taste?,"Had dinner with some friends on a Saturday night, food blend though the pizza looked ok
But the menu food was a totally disappointment. Since when does a Risotto tastes btn a mix of jollof rice and paella? The chicken in skewers looked very attractive...More",50,Sep-18,4.5,B.L. Restaurant
ManRash2,"Great Food, Nice environment",It was light lunch for 14 persons and we opted for the Lebanese appetizers. It was a good choice. The Chef made sure we had the food on time and in perfect taste. Everyone was delighted. I will surely visit again with family.,50,Jul-18,4.5,B.L. Restaurant
bruceg819,Really good authentic Lebanese food,"Good Evening & Thank you for taking your precious time to review 
B.L. Restaurant.
We appreciate,
Looking forward to serve you better with your family.",40,Jul-18,4.5,B.L. Restaurant
