author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
ktD1636HV,Avoid,Terrible delivery service. Ordered food just after 7pm for a birthday celebration. Nearly 10pm they still didn’t deliver. And this is just VI to Lekki. Complete embarrassment. Zero customer service and care,30,Oct-22,3,Chinaville Chinese Restaurant
panafricany,Slow delivery,"Always slow or will forget some items. Maybe they should stop delivery services altogether and I've been calling them since for update, they are not picking.",10,Jun-21,3,Chinaville Chinese Restaurant
Omoba88,Loved the prawns,"The restaurant was empty when I wen on a Saturday afternoon, that's strange. I ordered the prawns 🍤 on the hot plate and special fried rice and I must say it was delicious.",10,Sep-17,3,Chinaville Chinese Restaurant
gcxotf,Depressed,"Empty restaurant. Decor decadent. Staff just standing inspite of this, order takes long. Food quality poor prices high. There are much better alternatives for a Chinese meal in Victoria island. Never again",40,Feb-17,3,Chinaville Chinese Restaurant
Bart_Boy_ID,Chinese Resto,"Nice view for this resto, its chinese resto with good environment. 
Good food and must try the pork. And chicken with lemon souce.",20,Jul-16,3,Chinaville Chinese Restaurant
serenaa,Lovely ambience and attentive staff...the food is just ok,"I went as a treat for lunch on a weekend day with my sister who had raved about this being the best Chinese restaurant on the Island. We ordered spring rolls which was really nice and chicken wings in garlic and ginger which was a...bit to gingery and spicy for starters. For the main we ordered a rice dish with seafood which I found just so so. I had a cocktail called Chapman to drink which tasted not quite right...the staff were very attentive and knowledgeable about the menu and gave us some tasters to help us make up our minds. In all, I was just a bit underawed. I won't go back in a hurry.More",30,Jul-14,3,Chinaville Chinese Restaurant
Blossom569,Delicious food fantastic place,"The food was delicious, best chinese food ever, service was superb, fantastic environment. Top choice for me and my family, my daugther swears by this Chinese restaurant. Not to be missed when you are in lagos.",30,Jul-14,3,Chinaville Chinese Restaurant
Amarachi N,Lovely Restaurant,We as a family always eat there yearly because of the delicious meal and private atmostphere. if you are considering a private hidden restaurant this is a place to be :),50,Dec-12,3,Chinaville Chinese Restaurant
didi091,not special,"the food was ok, but way to overpriced. The resto was almost empty when we where there but still it took a very long time to get served",40,Nov-12,3,Chinaville Chinese Restaurant
titojim,not to be missed,"fantastyic little restaurant serving authentic chinese and european foods, great friendle fast service",30,Jan-12,3,Chinaville Chinese Restaurant
