author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
toyin j,I ordered 2 large pizzas ( one was spicy chicken and one was barbecue bacon ) at debonairs surulere and it took  1  hour,I ordered 2 large pizzas ( one was spicy chicken and one was barbecue bacon ) at debonairs surulere and it took  1  hour and 30 minutes to get it and it was extremely cold and the barbecue bacon was off ; when I called...the manager; he was just quiet on the other end.More,35,Apr-23,3.5,Debonairs Pizza VI
2852christie,The best in Lagos,"First of all I would say debonair's pizza is different from  other pizza vendors that are just HARD BREAD AND KETCHUP in the name of pizza(Domino's Pizza).

Unfortunately, DEBONAIR'S pizza are not doing a good job in promoting their products but I must confess that...they are the best. Thumbs up in quality, taste, varieties and customer service. SincerelyMore",40,Dec-20,3.5,Debonairs Pizza VI
vivir826,SCAM. Dont patronize!!!,"Poor customer service,I ordered online and transferred via USSD. I called about 30minutes for status and they kept saying their account has not yet reflected.I cancelled after about an hour of waiting but have not been refunded.",40,Oct-20,3.5,Debonairs Pizza VI
590onyinyee,WORST SERVICE!!!! TERRIBLE CUSTOMER AGENTS!!!!!!,"This is the worst service that I have received from any vendor. What a horrible and terrible experience. 
placed an order at 5:40pm and called customer care lines (Toll Free) SEVERALLY!!!!!!! And there was no response. Infact one of my calls met the toll free...line on another call but there was no call back after
I eventually got a call at 7:30pm from a lady who claimed she was just seeing my order and would process it. This is after 2HOURS!!!!!!!!! Of placing the order!

8:30pm and was called to say that my location cannot be delivered to at less than 12,000naira!! My order was 5,600naira
Meaning I had wasted more than 3HOURSSSSSS waiting.

Worst service ever!!!!!! Delay and no sense of time or care for customer!!
I will never purchase from here again or let anyone I know purchase from here

This is not the first time I am experiencing delay in delivery but this tops it all!!!!!!!!!!!!
Bad businessMore",40,Feb-20,3.5,Debonairs Pizza VI
sss_mach7,Test for taste buds,"Their pizzas don't really taste like pizzas, service is ok though, location is perfect....right on Adeola Odeku!",10,Feb-19,3.5,Debonairs Pizza VI
amarachukwuo,Voala,"A pizza🍕 to remember and reorder everyday i dream about that 3deck pizza beef, with chicken pepperoni yummy",50,Dec-19,3.5,Debonairs Pizza VI
Dealoceans,AWESOME,"Now I have to be very candid and blunt. First of all I wouldnt want to mention names of other pizza vendors but they are just BREAD AND KETCHUP in the name of pizza.

Sadly debonairs pizza are not doing a good job in promoting...their products but I must confess that they are SUPERB LA LA. Thumbs up in quality, taste, varieties and customer service. Trust me.More",10,Jun-19,3.5,Debonairs Pizza VI
Timitaste,Scam site!!!,This  page is a scam site used by one ekhare godstain and favour. Kindly desist from making orders or doing business with them. Until you refund my money. You won't rest.,10,Aug-19,3.5,Debonairs Pizza VI
MOI2015304,Fast food,Debonairs Pizza has become a household name in Lagos for families and individuals alike.It has a few branches one on Adeola Odeku Victoria Island and Lekki Admiralty Road,30,Oct-18,3.5,Debonairs Pizza VI
ceotiffygroup,"Talk of Good Pizza,call Debonair",Debonair pizza are one of the best around the world.I wasn’t disappointed with the Nigeria outlets as well.,50,Oct-18,3.5,Debonairs Pizza VI
