author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
Kehinde O,Picking up snacks,"Usually go to Eric Kayser for their desserts. The Croissants are a bit too oily for me (I like them dry and crispy) and the girls need to brighten up. l always feel like they are forced to do their jobs. My best dessert is...the Opera.
Everything else is pretty average.More",40,Sep-23,4,Eric Kayser
GH777,Top coffee shop,I had breakfast with a friend and it was amazing. The food is tasty the coffee is delicious and the seating is very calm and attractive,40,Aug-23,4,Eric Kayser
Merlin1920,What a happy discovery.. a touch of Europe in the heart of Lagos,On a business trip to Lagos we were told to meet at Eric Kayser.. no idea that it was a café/restaurant so when we turned up it was a pleasant surprise to find a a very upmarket meeting place. Coffee great as are the bakeries...and very friendly and efficient service. So in the end we spent most of two days in either the VI or Ikoyi locations meeting people who were all happy to meet there..  Personally I prefer Ikoyi as its more like a club setting.. I'll be back..More,40,Jan-23,4,Eric Kayser
A A,"Mediocre food, low value for money","The place is well located, simple but yet effective design.
The food was mediocre, steak over cooked, greens with almost no taste and a gratin ridiculously fat.
We thought that the desserts will save the situation however the brownie was just a huge pile of...ice cream with tiny bits of a very toffee like brownie, very far from what a brownie should look and taste like.
Prices, expensive as usual at this place, value for money, not much.More",35,Aug-22,4,Eric Kayser
jujustinang,"Poor quality, not fresh and Teeth marks on the served vegetables !!","We ordered from the restaurant via OyaNow. English Breakfast and halloumi breakfast.
The English breakfast was ok but the halloumi breakfast was way below expectations. The bread was unevenly cut: one slice was completely dry on one side, another slice was so thin it couldn’t...hold anything put on it but that’s not the reason for my review.
What I was completely appalled by was the quality of vegetables added to the dish. If you decide to accompany bread and cheese with 3 slices of tomato or cucumber maybe some damn effort about what you are serving. Half of tomato served was tomato but and the most disgusting thing was cucumber apart from the fact that it was dry and definitely not freshly cut - it ALSO HAD SOMEONE’S TEETH MARKS on it! I obviously threw it away and lost my appetite. Pictures attached. Needless to say - I will never order from them again.More",30,Jul-22,4,Eric Kayser
HRM_Winnie,ICE CREAM RATING,"Nice customer service, beautiful environment.. Ice cream was so on point. Situated in a very good environment",50,Jun-22,4,Eric Kayser
Ikechukwu O,''...Paris in Lagos....'',You wanna have some great tasting pastries in a great atmosphere. If you want to have spaghetti and pizza Italian style? This is the place to be!,50,May-22,4,Eric Kayser
irishboy4,The good and bad of breakfast #1stworldproblems,"First the positives. The scrambled egg with salmon looked good, the salmon was salty however. The coffee was very strong, which is also good. The waitress called Patience was delightful and despite being very busy she was as attentive as she could be. Negatives we...were seated by the kitchen hatch and it was noisy, one of the managers was very close to us and did not greet or say hello during the duration of our visit. Lastly a #1stworld comment or description of my Croissant, which was tiny in size and tasted like white bread with a rubber band in the middle, it fell off my plate and bounced back up to the table, that was a joke but it was an insult to French cuisine to label it a croissant. I recall eating them for breakfast in Paris, dipping the fluffy pastry in my coffee and when your teeth bit through the crackly outside to the fluttery, tissue-thin layers beneath, you tasted butter with that hint of creamy sweetness that really good butter brings. The Eric Kaiser version was an example that bore no comparison and should have been left in the kitchen waste with off cuts of food and egg shells.More",30,Jan-22,4,Eric Kayser
Desiree P,Excellent venue and coffees,"Really beautiful set up where one can unwind with good coffees!
Service was also great with minimum waiting time.",20,Oct-21,4,Eric Kayser
bosedeo2017,A Sweet experience,"Went for a celebratory lunch with my family. Right from the free valet parking to the pleasant hostess that led us to our table to the waitress who waited on us to the food….amazing! You are treated as if you are the only one they...are waiting for…., even though the place was packed!! My family just found our new favorite place in Lagos ❤️More",50,Jul-21,4,Eric Kayser
Trav26097919,Pre boiled pasta —- over priced and under delivers,Ikoyi branch- I have held off on this review a few times. As this place is local to me. But on each occasion they deliver very very sub par food. Just received a Bolognese and the pasta was disgraceful. They pre boil the pasta …....Set it aside and reheat… really. It’s terrible and very very poor for the price and the market they claim to serve. There is little to be impressed with here. Many of the items are prepped at another branch with no cold chain controls. So beware. You’ll be charged a lot for very low quality execution. Management are consistently sitting at the table nearest the door. And don’t like feedback.More,40,Jul-21,4,Eric Kayser
Ade703,"Nice place, good food, great ambience","Eric Kayser is a great place particularly to get pastries/pastry-based food, not that they don't have other food options available though. Lovely ambience, central location, modern decor and good quality food. It's a good spot for both intimate dining or group hangouts. The price point...is as expected - neither cheap nor overly expensive. The waiters are attentive and food preparation time wasn't bad at all. 

Avoid going too close to their current closing time of 10pm though as the pressure for them to close becomes tangible and you get the sense of being rushed.More",30,May-21,4,Eric Kayser
