author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
nneejima,Great variety,I simply love their finger licking delicious pizza. The ambiance of the sit out restaurant is awesome.,30,Aug-15,3,Frenchies Foods Limited
olammide,Cream Doughnut 'The best',"Frenchies has the best cream doughnuts in Lagos. Their pastries are still very good, their cream and Jam doughnuts are the best. 

I have been having them since forever and still not tired of them.",40,Nov-15,3,Frenchies Foods Limited
262Blondy,No more a place to go,"I used to go there for their bakery only, but not anymore.  Is located on a central street,but always is floated with water in front . Often without light working, very dark and unpleasant place. I can't even imagine to sit there and have their...food. Their  hygiene is under big question. Many things changed in Lagos,but this place seems like frozen from the last century. I can't recommended it to nobody.More",40,Dec-14,3,Frenchies Foods Limited
Gaye L,One of many places to eat in Lagos,"This is one of many Ok places to eat in Lagos.  Not the best, but certainly not the worst.  Best known for their bakery items.",10,Apr-13,3,Frenchies Foods Limited
TinaWales_7,Don't be in a hurry for food,"Recommended but we seem to have caught them on a bad day! Difficulty in getting served, although only two tables occupied. Long wait for simple basic food of average quality. Then we had to hunt down staff to pay the bill.",30,May-13,3,Frenchies Foods Limited
CSRam,No more a restaurant,"We used to get good grilled chicken salad, thursday lunch buffet and variety of french food, seems like the french handed it over to someone who could not understand why people came to the restaurant, if you go now most of the items in the...menu are not available as I think they do not have anyone to cook them.A place to be avoided as of now.More",20,Feb-13,3,Frenchies Foods Limited
robertpN1206EF,Simple and very nice,"Been here a few times and have enjoyed it every time.
Simple food, simply served at a reasonable price.",20,Mar-13,3,Frenchies Foods Limited
MsMot,Best bakery in Lagos,I've tried to review this bakery before in the past but it was not yet listed on Tripadvisor. Frenchies is my 1st choice for various types of bread because of the consistent quality and a wide variety. I also love the chicken baguette. It’s always...freshly made. They also have a variety of pastries. I strongly recommend this bakeryMore,40,Dec-12,3,Frenchies Foods Limited
razziegyp,Jaded,"Used to be good when they made and served yoghurt and ice cream but not now. Lovely bread bakery behind however, which is also good value for money.",50,Nov-12,3,Frenchies Foods Limited
princesasOfiaG,Once was the place to go..,"With all the changes in Lagos going on and the new restaurants and bakeries opening, it really had hurt the reputation of this place. Frenchies is a has been place.. I only recommend them for their breads and even then they are being beat out...by the raising competition.More",30,Feb-12,3,Frenchies Foods Limited
