author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
Biscuits180,Super,"Great lively yet calm environment
Super hygiène
Good service 
Super nice Indian food obviously fresh and quality ingredients 
Internet works well
Safe place to park the car 
Not far from airport 

Will make it my last stop whenever i have time before leaving Lagos by...air.

It's part of a nice small hotel

Definitely will come againMore",45,Sep-22,4.5,Harzoyka Indian Restaurant
ImadH6,TOP PLACE,"Been there many times and especially on Sunday's. Atmosphere is great, nice looking bar outside with Cold Beer and most importantly the food is delicious and not over priced. Highly recommend.",45,May-22,4.5,Harzoyka Indian Restaurant
Journey780074,Bad!,"if misogyny was a restaurant, it’d be this. they refuse service to women unless they have male company, which SUCKS. do better!",45,Nov-20,4.5,Harzoyka Indian Restaurant
JunaidM50,Excellent Food with one of the best outdoor sittings,"This is clearly the spot for Indian food. The Chef never disappoint with his skills. On top of the great food this place offers; it also has great outdoor sitting area with a bar. The service is also good, but the overall vibe is fantastic...in the evenings at the outdoor seating. I have been to this place several times over the last year and I must add that I was always impressed.More",45,Nov-19,4.5,Harzoyka Indian Restaurant
Sreeresh P,Good restaurant,This place is good for a casual dining or if you want to chill out with friends on a weekend evening. The food is tasty and the ambience is good.,50,Mar-19,4.5,Harzoyka Indian Restaurant
assham,Nice decor,Nice lunch we had with the friends. It has a nice decor and good food as well. But not as good as original Indian stuff but in Nigeria should be okay. Visit the place.,40,Mar-19,4.5,Harzoyka Indian Restaurant
Dolan B,Good casual place in Lagos for quality Indian food,"We went as a group of friend very close to where we are staying to Harzoyka Indian Restaurant and were very pleasantly surprised to be served authentic Indian food. Owner/maitre’d was there to make sure everything ran smoothly. 

Would recommend going there as a reasonably...priced, meal, which is highly unusual in Lagos!More",10,Mar-19,4.5,Harzoyka Indian Restaurant
Rajesh M,Lovely Place,I had a wonderful staying experience in Harzoyka. Atmosphere is calm no outside noise. Rooms are neat and clean. Rooms are cleaned and dressed every day with new sheets and towels. People are very friendly and courteous. Indian restaurant is awesome with lovely Indian dishes....Taste of the food is good. Bar is wonderful with good selection of drinks.More,50,Nov-18,4.5,Harzoyka Indian Restaurant
Sonia S,Love the place,good ambiance and food. Their menu is elaborate and satisfying. Great selection of drinks too. Friendly staff,40,Apr-18,4.5,Harzoyka Indian Restaurant
ashes360,An absolute gem,"A friendly service team lead by a welcoming owner. A place to connect with other expats, great vibes over the weekends. Indian cuisine and hospitality done great!",40,Dec-17,4.5,Harzoyka Indian Restaurant
