author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
Catalin B,The best hotel in Lagos.,"I will start by saying WOW. By far the best hotel in the area. Everything was brand new, polished to perfection, including the staff. Very professional, very polite, well dressed, amazing. The food was great, couple of selected restaurants and some bars. Amazing swimming pool,...great view and good shisha. A great place to stay. Highly recommended.More",35,Apr-23,3.5,Intercontinental
onoriodelucya,Great 5-star hotel,Spent a weekend with family. It was my first time staying there as a guest and I was wowed by the ambience. Stayed in a deluxe suite which was impeccably clean and smelt very nice. Was very impressed that they were thoughtful to put a...nice Millefiori diffuser that smelled heavenly in the suite.More,30,Apr-22,3.5,Intercontinental
H8475ZAjenniferw,Amazing hotel,Very beautiful experience here! The ambience is lovely. The staff extremely courteous. I celebrated my birthday here and it was amazing! I will recommend over and over again.,35,Apr-21,3.5,Intercontinental
olu007,Nice hotel,"The Lagos continental hotel a place to be, especially the 21st floor service there is great, Rosemary at the Lounge was very helpful, she attends to you professionally, handles all complain with a smile. With people like this, I sure will come back. But the...hotel policy right now is tough I understand due to covid 19.And they should try and Amend some policy 
ThanksMore",30,Jan-21,3.5,Intercontinental
Somssssss,Miss,Excellent breakfast and amazing customer service 😍 I’m definitely looking forward to this affordable luxury again,50,Nov-20,3.5,Intercontinental
Nicholas T,Absolutely crap,"Filthy. rip off, water short in supply. Bars full of ladies of the night. Never leave your room key visible or you ill get a knock on your door!",50,May-19,3.5,Intercontinental
Rymmk,Just Terrible,Filthy dirty towels are dirty pool is disgusting breakfast lobby restaurant just dirty glasses plates floor all filthy. Horrible experience. Room service is virtually not existing we ordered ice glasses and soft drinks after 3 follow up calls and an hour and a half later...only the coke came and it was hot. The hotels ice machine was broker and of course they forgot the glasses .. the AC was broken it was so hot in our suite .. you can never find parking for your car. Staff were just unhelpful.More,40,Dec-19,3.5,Intercontinental
_abisheart,coffee machine at the cafe wasn’t working resulting in long wait,"went on a sunday for coffees and a chat at the cafe on the ground floor. 
The Lady serving at the cafe  disappeared for 25 minutes . when my friend got up to ask what was going on we were told that the machine at...the cafe was broken so she had to use the one at the main bar. 
This was only communicated when we asked .  we got to the bar and the coffees were not ready !!! 
it took nearly 40 minutes in total to get the coffees. all we required was an explanation that the machine wasn’t working at the cafe and we would have decided on what WE wanted to do .
It was Sunday buffet and the music was super loud so it wasn’t really an enjoyable experience trying to chat over coffee at the bar next to the restaurant .
Someone i assume was a manager did come to apologize and removed one coffee from the bill. However the overall experience was not great!More",40,Jul-19,3.5,Intercontinental
WraithBlue,Great Service from the staff,"I literally ate in the Hotel daily.  Rachael what the best waitress and host for my father and I. The food was great, the concierge guy, front desk personnel.  I can't say enough on how pleasant and accommodating the staff was to us.

Sincerely,
Eric...G. ParksMore",50,Jun-19,3.5,Intercontinental
Tobore  G,Home away from Home..,"I stayed at Intercontinental twice in May. The first experience was awesome, and I came back for an encore. From arrival to checking in was superbly done. The staff were courteous and helped with our luggage. My stay was awesome, the hotel offers the right...ambience, and my room was very clean.

One of your staff, Omonigho Umukoro ensured I had an enjoyable stay. He called to ask if I needed anything, and was always willing to be of assistance.

In conclusion, I had a great time, and will visit again soon. Thank you, Intercontinental... !!!More",10,May-19,3.5,Intercontinental
BOSSLADY205,plates were dirty,"They were not clean. not enough variety of food to eat. This overall hotel is the pits. I'm praying that the Intercontinental comes back and cleans the place up. Otherwise, they may as well change their name to MOTEL LAGOS",10,Apr-19,3.5,Intercontinental
honeymix22,Much better than my previous stay,"As an ihg member, i find it difficult to believe that this hotel and its services are much better after their disassociation with ihg. The rooms are cleaner and the staff are usually ready to please. I enjoy the presentation of the room service, some...chocolates and fruits were kept in my room prior to check in. I really enjoyed my last stayMore",20,Aug-18,3.5,Intercontinental
vincentadahoc,The food is nice but the power is not seady,The staffs are great team and  they have good customer relations.But they need to be train on the area of quick responds,50,May-18,3.5,Intercontinental
fuad o,A great deal,"The Lagos Continental Hotel formerly Intercontinental Hotel is situated at Kofo Abayomi street, Victoria Island. My visit to this hotel was always a fascinating one, i always loved to be on the 5th floor of the hotel because that is where the pool is, it...is always good to be at the 23rd floor that gives you the opportunity to see the panorama view of Lagos. I don't miss going to this hotel that is why i go there every Sundays. So i implore every tourists and travelers not to miss this beautiful hotelMore",50,Mar-18,3.5,Intercontinental
Chichi N,Good experience,"I went for their sunday buffet with my friends. The food selection was amazing and difficult to pick from as it felt like i should eat all. The food was tasty, i had yam porridge and very yummy cakes😍. I ll definitely go again, it...was worth it!More",10,Aug-17,3.5,Intercontinental
ajalatraveller2017,Great food,"Enjoyed the stay, for those visiting Lagos nice place to stay and close to things around Lagos. Good place for a nice get away for two.",35,Dec-17,3.5,Intercontinental
Midibabe,The food is not fantastic,"The hotel as a whole is lovely, restaurant is nice and food array lovely . The meals are not all that tasty, kind of bland but the desserts are yummy. 
The service is good",30,Mar-17,3.5,Intercontinental
hombreturquesa,Needs urgent reforms,"A nice hotel once, but with big deterioration lately. The waiters at the restaurants never smiles and the serve you as they were obligated. They don,t have all the dishes available at the retaurants and they close quite early. For example they Didn,t have Pekín...More",35,Dec-17,3.5,Intercontinental
Ifeoluwa F,"Beautiful hotel but i'll go elsewhere for my meals, thank you!","The buffet was a disappointment. For the calibre of hotel such as this, it was a huge let down. I hope things have improved.",30,Dec-16,3.5,Intercontinental
PastorSOJ,Living to their rating,Good Sunday afternoon meal with the family is ideal. The ambience is good and facilities are nice. It's also a quiet place,40,Sep-17,3.5,Intercontinental
Ademola O,A visit to this architectural masterpiece will convince you,This is a very comfortable hotel with  top notch service. Restaurant is very affordable with lots of very nice continental dishes on the menu.,30,Feb-17,3.5,Intercontinental
Elizabeth O,The breakfast is wholesome.,"So the welcome receipt is very efficient. The staff very polite n helpful. The rooms were spacious especially on the upper floors... the views of lagos are devine. Though towels are clean, they need updating though...",20,May-17,3.5,Intercontinental
B4sure,Really nice!,"The service was prompt and courteous. The meal was sumptuous, serving size a bit small, but very tasty.",20,Sep-16,3.5,Intercontinental
360charieboustani,such a waste of architecture,"looks good from far, but far from good.
the ONLY 4 things I can say that is good about this place
1) Desert at the buffet is awesome (the desert chef is a keeper (or worth pirating :) )
2) the coffee at the Ground...More",50,Nov-16,3.5,Intercontinental
zonalagos,Buffet Dinner with a good variety,"The food was great and the service was awesome, the only reason I'm not giving this a 5-star is we had to park underground  and got lost trying to locate the vehicle... other than that, It is worth visiting. great ambience indoors",30,Jul-16,3.5,Intercontinental
FeyisolaT,Family Breakfast,"Breakfast was okay -a bit flat but the fried mushrooms were great.
Staff were courteous.
Problem - every time we go there to eat, the staff tell us there's a problem with the POS machine and suggest we go to the ATM for cash. This...More",40,Jul-16,3.5,Intercontinental
oseni_debola,Oh Gosh..tad disappointed for the buffet.,Had a Board retreat here. Was disappointed at the choices of buffet available and then it was more expensive compared to the other hotels. The only good thing is the environment and ambiance.,40,Mar-16,3.5,Intercontinental
Ibadanboy,Nice!,"Had a business lunch here recently at the Intercontinental on Kofo Abayomi street. Great location, lovely facilities, nice hotel. The service was decent, the meal we had was a buffet. Nice",20,Apr-16,3.5,Intercontinental
hhm501,a palce of opposites,"I have had three very different experiences here - one terrible (the worst meal in my life - cold, lumpy soup when I ordered a totally different starter, one OK and one surprisingly good (most recently).",40,Mar-16,3.5,Intercontinental
KayusYussuf,Excellent and Expensive,"The restaurant is in the Intercontinental Hotels in Lagos. It is an excellent restaurant with varieties to choose from. Meals are usually buffet however, you need to have your pockets full to eat in this restaurant especially when compared with other high class restaurants on...More",30,Jul-15,3.5,Intercontinental
Anne I,Classy but not the usual Intercontinental standard,"The hotel is grand bit not in a choicest location of Lagos. The interior is fine but the service is poor. We had an official function here and despite the good food, the staff were unprofessional and service was below IHG standard. I don't plan...More",35,Jan-16,3.5,Intercontinental
Funmi O,Disgraceful food and very poor service on Christmas Day,"My family and I had the most dreadful experience on Christmas Day. I had made 3 phone calls to the hotel several days before to book a table, confirm and reconfirmed. I also visited a week before to indicate exactly were we wanted to sit...More",30,Dec-15,3.5,Intercontinental
Ckno,Lovely hotel,Great service. Good facilities. Lovely swimming pool area. Excellent food selection in the restaurant based on all you can eat - flat price. Nice sports bar smoking area. Happy hour with half price drinks there. Gym spa and hair salon all contained within this fantastic...More,35,Dec-15,3.5,Intercontinental
dadachu,The main buffet restaurant has some work to do,"Several visits to this main restaurant - and on all occasions experienced serious service issues.  Staff is not well trained - or don't seem to understand the fundamental tenets of ""service industry"".   Time will tell.",30,Aug-15,3.5,Intercontinental
Ralph T,Had some buffet dinner at this hotel...if you can please just avoids food from this place .,"The food is terrible. and I mean terrible The buffet is about $40-$45 dollars . I could have had a better dinner at other restaurant nearby. With my work, I travel to may countries on weekly basis. This is my worst food experiences ... whatever...More",30,Sep-15,3.5,Intercontinental
