author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
Tia011,An ok place for a quick bite - nothing special,"An ok place for a quick bite. Some dishes are well made and quite tasty. I enjoyed the coconut rice, the first time I had it, when it was hot. The next time, it was lukewarm with a solitary prawn as a garnish! The food...could be much better if it was fresh and piping hot. I ordered an assortment of meat, it was tough and inedible. It is very variable in terms of quality, waiting staff are polite but seem inexperienced. 

Eating in is slightly better than ordering takeaway but the presentation is sloppy, oil dripping from containers and cold food. All in all, an average place.More",40,Mar-20,4,Jevinik Restaurant
dammylog,best restaurant with delicious spicy,"the food is amazing very delicious and fine looking,
their takeaway package also good with best taste",40,Jan-20,4,Jevinik Restaurant
Dealoceans,Average meal,I have visited this restaurant several times and it wasn't glorious all the time. There are some meals that are so expensive and totally empty.,40,Jan-19,4,Jevinik Restaurant
Tamdd G,Nigerian Food and vibe,"Its an interesting restaurant and pretty spacious. A very local Nigerian setting and a huge variety of local food but if you're not a pepper fan, I suggest you exercise caution because the soups can be very hot even when your'e told they aren't, be...very wary. If you're not sure of what you're ordering, be careful so you don't end up with an upset stomach, Water is your friend.More",45,Feb-19,4,Jevinik Restaurant
Segun A,Great Food Always...,Great food always with intimidating quality! Great food always with intimidating quality! Great food always with intimidating quality!,40,Aug-19,4,Jevinik Restaurant
JoanO539,"Budget friendy, Prompt excellent service","If you're looking for authentic local food at budget prices, this is the place to go. The portions are huge as well, and 5 could easily share food served for 3.  I always enjoy the local soups, especially the traditional soup. 
Service is polite, and...prompt. This is not fine dinning, but clean tidy environment.
Ideal if youre on a budget. Dont be  afraid to try the local dishes. If youre unfamiliar with  ""hot food, brace yourself.!More",30,Feb-19,4,Jevinik Restaurant
Ibarieze,Excellent Service,"Over and beyond serving fresh and tasty meals, Jevinik restaurant's knack for prompt service is commendable. You don't have to sit for several minutes before your choice of meal is served - fresh and steaming hot. Polite and efficient staff as well. I see this...same level of serve replicated in all Jevinik restaurant branches I have been to inside and outside of Lagos.

Well done!More",50,Oct-18,4,Jevinik Restaurant
CSRam,Business lunch with colleagues,"A nice parking, once you enter one is awed by the vastness high roofed place, definitely not for a romantic dinner date at a corner table!! Very Nigerian , right from spoiling the customer by offering the hand washing bowl and water with soap at...the table before food service, crisp menu with a very informed waiting staff. Very quick service , tasty food. Overall a very nice experience.More",40,Oct-18,4,Jevinik Restaurant
Ikemokeke,The elegance of African traditional cuisine,"The environment is tidy,warm and friendly....without being too formal.
The  cuisine is traditionally nigerian.....exquisitely made!
The service delivery time is one of the fastest I have seen!
If you are considering a taste of the nigerian traditional foods....
This is one of the few places...you can find everything in one roof !More",30,Aug-18,4,Jevinik Restaurant
chandr_b2017,Great Nigerian cuisine,"This restaurant was recommended to us by friends who live in Lagos. To give us a taste of local cuisine. 
There are some more adventurous dishes, if you are feeling up for it. Be sure to ask your waiter to explain the dishes before ordering....Their fresh fruit juices are amazing.More",40,Sep-18,4,Jevinik Restaurant
Ocukomadu,Saturday Birthday Lunch,"It was my birthday week and I had many people trying to celebrate with me. Needed a place not too fancy but functional. We were a group of about 14 (Adults & Kids). A place where we all screamed when the food was served due...to the large portions. If you have a large appetite, this is your place. Service was good and we ended up buying many take away plates as we all had so much leftover.More",40,Aug-18,4,Jevinik Restaurant
Willy O,Speedy service restaurant in Victoria Island,"On enquiry, a friend recommended Jevinik Restaurant at Agoro Odiyan Street, Victoria Island. 

I located it using Google map. The waiters were warm and absolutely welcoming. The tables were exceptionally neat and well arranged. The air was fresh, as they have high ceilings and well...serviced split unit air conditioners. 

I ordered afang soup with pounded yam. My food was ready in 10 minutes. I was shocked! I had to ask the waiter, Victor, if it was truly mine. He smiled and ran through the order once again with me. I was down right pleased. The food was quite tasty. I noticed that many customers around were nodding with obvious satisfaction and smiling amongst themselves. I definitely want to re-visit.More",50,Jul-18,4,Jevinik Restaurant
_sosakwe_so,Large Portions at affordable Rates,"Jevnik is your go-to restaurant if you're really hungry and have a large appetite. Their portions are super large. It is best to visit this restaurant with a friend as the portions are really scary and you might need to share your meal.
If you're...looking to try Nigerian meals, your best bet is Jevnik as they serve a variety of soups from all over the country and their prices are friendly as well. The food is also tasty.More",50,May-17,4,Jevinik Restaurant
Pinkjacket,Everyday food at everyday prices,Jevinik offers everyday food at impossible prices. Their portions are scary though - humongous. Best to share plates with others though. Nothing beats the farmhouse beans,40,Mar-18,4,Jevinik Restaurant
Sam G,Really Good,"Excellent food, large portions and great prices. Only issue is that that they didn't have several things in the menu.",40,Apr-18,4,Jevinik Restaurant
David A,Pocket friendly and good for the budget,"I am always at rest whenever I visit this restaurant. Ever since my 1st experience in 2008, they keep evolving and keep improving as well. Apart from the large space and the ambient, they are fast and efficient as well. Will recommend this restaurant any...More",40,Jan-18,4,Jevinik Restaurant
charlesboham,Fantastic Nigerian Menu,Authentic Nigerian food with a penchant for oversized portions. Well worth the money but plan to pack a takeaway bowl of excess food.,40,Dec-17,4,Jevinik Restaurant
Priscilla A,HomeCooking,"Jevinik sells good food. But each portion is a looooooot of food, so it's better eaten together or taken away",40,Apr-17,4,Jevinik Restaurant
ayodelefm,One of the Best,"I've been to Jevnik several times now. The food is good, their soup is usually more than enough especially when you go local. The pepersoup I had was however so so but overall, it's a good place.",45,Nov-17,4,Jevinik Restaurant
idowu a,One of the very best local restaurants in Nigeria,"This restaurant provides quality, taste, quantity and variety for customers satisfaction. Waiting time is magical and less than 4 minutes regardless queues. You are assured of cuisines from major tribes or famous meals in Nigeria. Incredibly moderate prices and value for money",40,Sep-17,4,Jevinik Restaurant
tese1,Not as good as I expected,"I was rather disappointed with some of the food ordered especially the pounded yam and afang soup , it was just not right. For the price point and hype I expected better I guess. The service was quite fast though plus good attitude of the...More",30,Aug-17,4,Jevinik Restaurant
LoveToTravelBoston,All good dishes across three visits,"My friend took me to Jevnik three times across two weeks this summer. The combination of adequate parking, good food and reasonable prices was irresistible.
My favorite dinner was pepper soup with goat - a large portion, well spiced with good meat. I also enjoyed...More",50,Jul-17,4,Jevinik Restaurant
chriseyo1,Good Food,"I have been going to Jevnik for a long time. They have branches in Port Harcourt,Owerri and Aba  which i have also visited. But due to proximity I frequent the Ikeja branch on Isaac John Street the most. One of my favorite dishes is""Ekpang Nkukwo"",...More",40,Jun-17,4,Jevinik Restaurant
Jydeoo,"Great Menu, Slow Service","Perhaps it was because I went for lunch alone, but my last visit to Jevinik (a favourite Nigeria restaurant of my liking) was marred by a slow service. It could also be that I felt it more acutely because I was quite hungry. 
The restaurant...More",40,May-17,4,Jevinik Restaurant
Bosslady6,Very good Nigerian food!,"If you love Nigerian food, you will love this place. Food tastes really good but make sure you are ready to eat because their portions are rather large. Service areas are clean and waiters are efficient. I have been there several times.",50,Apr-17,4,Jevinik Restaurant
magieware,Spot on meals,The atmosphere is nice and clean. Tv screens but not too loud. Food is in healthy portions. Service is quick and polite. All their soups are very nice. I particularly like the traditional bitter leaf soup. Good choice for an effective business lunch. They make...More,30,Apr-17,4,Jevinik Restaurant
Tubosun A,Great Local Food,Great place to experience authentic Nigerian food. great large portions for such great value. However  selection is still limited. They could do with some additional delicacies. All together not bad,40,Dec-16,4,Jevinik Restaurant
VCMO,Go Local,Good place if you're looking for Local Nigerian dishes. The local dishes are served (literally) in minutes so service is very fast. The only non-Nigerian dish I could have is grilled chicken and chips and full salad which takes 15 minutes. Portions are huge! Pricing...More,40,Mar-17,4,Jevinik Restaurant
Adeyemi B,Good food served in a good ambience.,"Jevinik is a very good place to have your favourite Nigerian dish at a very affordable price. They take the business of ''stomach infrastructure'' seriously. You are sure to leave the place very satisfied. This is the place to eat, especially if you have a...More",30,Mar-17,4,Jevinik Restaurant
Ian L,Delicious food & generous helpings,"If you want some authentic Nigerian cuisine look no further! The food comes out quick, is freshly prepared, and they don't skimp on the portions one bit. You will leave here amply satisfied. The catfish pepper soup deserves special mention, along with their ogbono and...More",40,Feb-17,4,Jevinik Restaurant
apiojoan,Nigerian traditional food for a good price!,"Looking for a place to experience a taste of Nigerian traditional food at a distant price? Jevinik is a good reference for any new person visiting Nigeria for the first time and would like to experience some traditional food.

The place is modest attracting a...More",40,Jan-17,4,Jevinik Restaurant
antoinevillet,Good Nigerian food,"Good place in VI to eat Nigerian food. You can have swallow, pepper soup, jollof rice, goat meat, ... Quick service. Affordable prices.",40,Jan-17,4,Jevinik Restaurant
AvnerNa,Amazing Nigerian food in reasonable price,"if you like Nigerian food so this is the place!!
all the types of the Nigerian Meals.
clean place. fresh food. the service is WOW!!!",40,Sep-16,4,Jevinik Restaurant
247Alexana,Very affordable and tasty,I went to eat here for the 'local content' the food delivered on what it was meant to. The staff were friendly as well,45,Aug-16,4,Jevinik Restaurant
MrWarrenM,Business with A Little Pleasure Mixed In,"The food is served in large quantity and it's very on point, nice customer service and nice atmosphere.  We tried Jollof Rice, Coconut Rice, Stock Fish Pepper Soup, which is a delicacy, and Bush Meat.  Good African food and prompt courteous service.",40,Aug-16,4,Jevinik Restaurant
nneejima,Eating great African meals,"Well prepared and served African meals. The portions were large, it is advisable to go when you are very hungry or you could request for your uneaten meal to be packed for you.",40,Jun-16,4,Jevinik Restaurant
Tinuks,Tasty Nigerian dishes and some not Nigerian ones,"Jevniks is basically an upper class ""buka"". The food is mostly Nigerian cuisine that's made very well. I have been there several times and highly recommend it.",40,May-16,4,Jevinik Restaurant
ZurielKiru,King Size Meals,"Everything African pot comes with Jevnik. We visited the Ikeja outlet and even though we had to wait a bit, the food was worth the wait. It's a good place for few friends to unwind over a meal or drink.",50,Apr-16,4,Jevinik Restaurant
oseni_debola,Unrivalled quantity...quality assured- An upscale buka,"I attended Jevinik Restaurant as part of a send forth dinner for a friend and colleague, we were all impressed with the food especially their fisherman's peppersoup, the afang/edikakang soup, not sure of the name again. I had coconut rice which was awesome... only snag...More",40,Jul-16,4,Jevinik Restaurant
Phyxssius,Food was King size,The food at Jevinik as always was alot on the plate (not complaining). Real value for your money. Been to 3 of their outlets and someone pointed out how they don't have female waiters. Funny,40,Jun-16,4,Jevinik Restaurant
Ibadanboy,Nice!,"Jevinik restaurants are a great concept for African food - fast service, large portions and tasty food - all at an affordable price. Lovely",50,Dec-15,4,Jevinik Restaurant
treaze,Unexpected,"So, someone very dear to me has been mentioning this place on en off but I never felt like eating there. Finally, I was convinced especially coz I was do hungry so I said ""it had better be good coz I won't do 'ok'!""

There...More",40,Apr-16,4,Jevinik Restaurant
Flynboat,Jevinik is good if you like Nigerian good,"Nigerian foods, fast, with good size portions and reasonably priced, but you better really like Nigerian foods, because that's what they are known for, and the place was packed, with no more room for parking at this multi-locations, well known restaurant.  Well staffed, and everone...More",40,Mar-16,4,Jevinik Restaurant
linda o,"Delish meals,prompt service",The meals here are to die for and the service is impeccable. They also do fast deliveries to your location,40,Feb-16,4,Jevinik Restaurant
Michael N,It's all about the Soup(s)!,"Indigenous cuisine at its best. An expansive soup variety you would relish. There are specific soups served exclusively on specific days.
Everything in huge proportions. I would gladly wager you couldn't finish a plate of food.
A place to frequent for lunch.
Mouth watering!",40,Feb-16,4,Jevinik Restaurant
Ezeji,Fas tfood Status,"If you want quick service but not so great food, Jevinik is the place to go.

quick service is their greatest asset, food gets served in less than 10mins, quality of food is not so great though, just standard.

You get served a signifiacnt quantity...More",40,Dec-15,4,Jevinik Restaurant
folushoomowole,A Great Place for Lunch,"After a Board Meeting at d Conference room, we had a mouth-watering assortment of african delicacies and chilled drinks to down with. Located round the Country but the one in Ikeja GRA is fantastic. Not far from the airport and very close to many hotels...More",40,Dec-15,4,Jevinik Restaurant
tempest872,Good food,"I initially had a not so great experience with Jevinik as regards their Oha soup. The soup was filled with fish gill and very little fish!!! However, I've had other meals there and those have been good.

Mass eating area but it you want VIP,...More",40,Aug-15,4,Jevinik Restaurant
foyaworld,Customer Service Doesn't Get Better Than This,I'm stuck on the Jevinik chain of restaurants. The food is consistent irrespective of what city you are in and they are known for having massive portions of food. I'm always sure to have an extra meal from the portion at Jevinik. This particular branch...More,45,Jan-16,4,Jevinik Restaurant
Ifeoluwa F,Quantity over quality,"If you are into huge quantities of 'barely there' food, this is the place for you. There is a ""mass produced"" feel to the food.  Definitely not for those looking for a fine dining experience, more for that ravenous afternoon after being held up in...More",40,Mar-15,4,Jevinik Restaurant
Obinali,Eating local food in Nigeria,"Jevinik is one of the 3 restaurants I recommend for a very good local food experience while travelling in Nigeria. They also have branches in most major cities in Nigeria.
Their food is very good, service excellent, and price reasonable.

The set-up is for mass...More",30,Oct-15,4,Jevinik Restaurant
SirBuddy100,Celestial ambience,"Its not even about the freshness or the quality of the food, its about the way the food is packaged and the ambience....you will just want to eat and eat and eat. great place, you have to be there to know it",50,Oct-15,4,Jevinik Restaurant
E7837YPricharda,You will over eat!,Extremely large portions of dishes from all over Nigeria. Certainly not for the uninitiated into Nigerian Cusine. The style is that if a quick rather than fast food restaurant but it's certainly not fine dining. It meets the needs of somewhere to drop in for...More,40,Nov-15,4,Jevinik Restaurant
