author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
cpl1775,Yum!,"Great food, excellent atmosphere.  A bit pricey but nice selection of beers, drinks and food. We went back a couple times while we were in town and appreciated their service.",45,Jul-21,4.5,Orchid House Thai Restaurant
gracemS3434LQ,Their delivery lines are manned rude personnel. The owners must not care about service to customers.,Yesterday I called their line and a very rude man proceeded to tell me their delivery guy was too tired to deliver - this was 8pm. He then off handedly asked if I am still interested I should call at midnight ( I know for...a fact they close at 10pm) then he hang up! A screenshot of my message followed by the rude phonecall!More,50,Mar-22,4.5,Orchid House Thai Restaurant
Nisfornimi,Food review,"Nice food nice Chapman 5/5 
Portion was great. Waiters served the food on time. Scenery is great. The only problem was that I Found it hard to locate The ikeja restaurant because there was no sign board",45,Mar-21,4.5,Orchid House Thai Restaurant
341sonalig,BAD DELIVERY,"Such a big letdown, food not delivered even after 4 hours . Totally unprofessional in approach. Order was placed at 12 noon and its 3.45.",45,Feb-21,4.5,Orchid House Thai Restaurant
msifeanyi,Amazing food,"Their food was amazing, waiting time was less than 10 minutes and their staff are polite and courteous. The ambience of the restaurant is great, definitely going back 
N.B - I went to their Ikeja restaurant",40,Mar-20,4.5,Orchid House Thai Restaurant
Valentine G,This is certainly amongst,"This is certainly amongst the best in Asian cuisine and Thai food especially. Well prepared, awesome taste and fantastic ambience. I’ve been there 6 times with the family within 5 months already! And you should.",10,Jan-20,4.5,Orchid House Thai Restaurant
TingSiong,Nice Thai foods and ambient,"Went there with my colleague for dinner on a weekday around 7:30pm. Ambient is nice. Ordered 2 appertisers, and for 3 main dishes with rice. Not so spicy which suits my colleague. However, they have got good spicy condiment if you want to spicy hot...to dip into. 

Good thai foods. I rate tom yum soup at 8/10. Pad Thai 9/10. The fish fillet appetiser and satay both 9/10. Total we spent 30k N (including 2 rounds of drinks)

Enjoyed our times there, will definitely visit again in near future.More",50,Oct-19,4.5,Orchid House Thai Restaurant
paulnewell172,Great Roof Garden,"The food here is great. I love my Thai food, so to find this place tucked away on Victoria Island in Lagos was a real surprise. The service was good, but the food was amazing, some of the best Thai food I have had outside...of Bangkok. Definitely worth a visit. They also do a Salsa night which was good fun also.More",10,Aug-19,4.5,Orchid House Thai Restaurant
FearlessBrum,Wonderful food,had lunch here recently whilst on business on Victoria island. The menu is very varied although a little confusing as there is so much choice! We ordered a few starters plus mains but soon realised that actually we could have just done mains as the...portions were fairly big. Food was really tasty and service was spott on. high recommendedMore,50,Jun-19,4.5,Orchid House Thai Restaurant
olajideo2013,Birthday Dinner,"I took my wife to this restaurant on her birthday. I called earlier to make a reservation but was told I did not need one as I getting a table for two on a weekday would not be a problem. The ambience was nice with...different corners, candles and scents. We had good wine, with prawns and chicken as appetizers and some rice with shrimps, shredded beef & chicken as the main meal. The whole team came to sing a birthday song for my wife after the dinner and served the desert with candles. Nice place.More",50,Jun-19,4.5,Orchid House Thai Restaurant
Lore D,Verbally attacked by Asian Manager/Owner,"My husband and I have had a tradition of going to Orchid House Thai restaurant  in Victoria for our weekly date night. After date night on Friday, we decided to take a friend from the UK to get dinner on Sunday. We had an issue...with the meal we ordered, and while trying to explain this to the Asian manager or alleged owner, she began to yell at us and insisted we pay for a meal we could not eat. We ended up paying for the meal that we didn’t eat so as to not escalate the issue and calmly approached her to discuss better ways this situation could have been handled since absolutely no customer service skills were exercised. Instead of engaging in this conversation, the manager / owner raised her voice and yelled at us to leave, saying we got what we ordered. I ended up leaving hungry and out of four thousand Naira (plus tax) for a meal that was taken back to the kitchen. Terrible experience and we will not be back.More",50,May-19,4.5,Orchid House Thai Restaurant
