author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
Fadi G,Staff are robbing the place !!!,The staff are rude and robbing the place. Not recommended at all especially if you are expecting a good service.,40,May-23,4,Pizze-riah
Bukkyglow,Disappointing,"I visited this pizzariah today with my family to just order a takeaway pizza since they don't do delivery but the service was so poor, we ordered a bottle of water while we wait for our pizza which never came and the pizza  we got...was definitely not worth waiting for. This place was highly recommended by a friend but I guess they are basking in old glory.More",45,Jan-22,4,Pizze-riah
gcxotf,The Pizza of Lagos,"Probably the best pizzas in Lagos.
Well run and managed.
Great variety of pizzas as well as suyas, cold beer and to round it up, excelent tiramisu or chesecake",35,Oct-21,4,Pizze-riah
Kelly M,"Yes, yummy.","We were a group of about 12 people and I always wonder how the wait staff handles large groups. This restaurant's wait staff seemed to know what to do, and although some individuals got their pizza a bit after others, it was all ok.  The...pizzas are very good, with plenty of toppings spread all over the pizza.  Cooked in a wood stove is extra special too. Thank you also for Heineken draft. I'll definitely visit again. p.s. the only 'negative' thing was the children beggars when we left. I ended up giving a child my leftovers/1/2 pizza, and the uber driver said the children won't eat it, but they will sell it and/or giving it to the 'beggar owner'.......I didn't feel about that. Now I know for next time.More",40,Sep-21,4,Pizze-riah
joerge234,Real Italian Pizza,"They serve authentic Italian Pizza. They have a real pizza oven outside, where you can enjoy easily. The inner area is beautiful designed. Always very good visited, even during the week. Prices are very much ok for the delicious pizza.",45,Apr-21,4,Pizze-riah
nickamour,Beggars can't be choosers.,"The place is more than decent. Pizzas cooked in real firewood ovens.
Place has a nice patio to chill out. 
Can't complain neither quality wise nor price wise. 
So If service is crappy and it matters to you, do take out.
For Lagos, a very...good pick all things compared.More",10,Apr-21,4,Pizze-riah
lukassinkevicius,"best pizza in Lagos , worst service in Lagos","Pizza is the best pizza hands down in Lagos, would even be considered great in Europe.  Service on the other hand is terrible, one of the most dirty places i have seen, sometimes u come lets say by launch time there is 4 people dining,...yet most of the tables has still has food contents from previous people, the ground is always covered in used tissues, not to mention rude staff bad attitudes and unprofesionalism, i had my starters coming after my main course is like normal thing there, still will come back for great pizza though, just the place is FilthyMore",20,Dec-20,4,Pizze-riah
JPinLagos234,Customer service is poor and their Jean Paul is a rude person!,"I called to make an order, their Jean Paul guy picked and took my order. The guy is super rude and very unprofessional, he hangs up on you as he wants. He’s done it more than once. Also, if you don’t specify your order, he’ll...just charge you for the most expensive items. He has a horrible sense of attitude and honestly needs to be flogged. What rubbish!More",40,Nov-20,4,Pizze-riah
brownstone21,Bed bugs on the sofas!!!,"My husband and I eat here often and the pizzas are always nice. Unfortunately we were scarred this evening and will not be returning. Before we finished our meal, my husband had several insect bites on his hand. A friend of ours who we had...dinner with, also  complained of the same bites. We complained to the waiter and he ignorantly responded saying it didn't happen at the restaurant. We left and our friend saw a bed bug on her dress. The chairs need to be discarded and the place should be fumigated immediately!More",50,Oct-19,4,Pizze-riah
Osman T,Fantastic Pizza,"Best Pizza in lagos, hands down. They use an outdoor wood fired oven. There is both an Indoor and outdoor space. The outdoor space has a small playground for kids. The menu is simple but on point. Aside from awesome pizza they also serve excellent...suya. If you want good pizza don’t go anywhere else.More",40,May-19,4,Pizze-riah
477Guus,Great fresh food - a true gem in Lagos,I have eaten at this restaurant multiple times and always enjoyed it. Fresh food prepared in a short time. Both the pizzas as well as the Suya they serve as a starter are very good. Please make sure to bring cash as it is not...always possible to pay with (international) cardMore,40,Apr-19,4,Pizze-riah
L K,Phone number big scam !,"Don't dial the phone number written on the page, it's a big 419
Pizza Riah does not make delivery of any kind.",30,Apr-19,4,Pizze-riah
KaiUWulff,"Pizza and Suya, fresh fast and friendly","NIce hangout spot with good Suya, great, thin crust pizza and even Pizza with Suya. They have nice cakes and deserts from Tiramisu to Cheese Cake.",10,Apr-19,4,Pizze-riah
KaiUWulff,Suya and Pizza and Suya on Pizza,"Great Pizza and nice fusion dishes. Affordable, fast, friendly and tasty. If the promised Cheesecake had been available this would be 5 stars .. Will come back and try the Tiramisu my friends suggested!",10,Apr-19,4,Pizze-riah
TrustedTraveller58,Amazing Pizza,"Best pizza in Lagos, traditional authentic pizza at a reasonable price.  you can order the pizza to be delivered or take away.  has both indoor and outdoor sections.",50,Feb-19,4,Pizze-riah
619hakanu,Good for pizza,I had ordered chicken wings and Greek salad. Friends ordered pizza. The wings tasted good but small pieces and small menu. Greek salad was good but needs more cheese. Pizza was liked much better by friends.,40,Dec-18,4,Pizze-riah
Emile A,Great Place,Ordered Pizza Ricardo and chicken wings and Suya ( meat and chicken ) The only complaint is the Suya meat was too strong. Everything else was excellent. Place was full yet the service was good and food came on time.,45,Nov-18,4,Pizze-riah
90jonathanb,Great Pizza,Very tasty and well presented. Service was fast. Staff were friendly and helpful. The menu is comprehensive.Aircon is good.,35,Nov-18,4,Pizze-riah
mandyfyfe,Great place with great food!,"Great Suya for starters (might take a bit long to get to you but it is cooked fresh)!  Pizzas I have always found to be great, good amount of toppings and have never been soggy.  Outside space is good (furniture a bit dated but its...More",40,Sep-18,4,Pizze-riah
Johnny-be-Good17,Great Pizza and Suya,Great Italian Pizza! The Suya is made for expats meaning it is not too spicy. You have to sit on plastic chairs though,45,Sep-18,4,Pizze-riah
DebBubai,Good Pizza,"Good ambiance,  VERY tasty pizzas, other food/cuisine are also delicious, fast service, staffs are courteous, good to spend a leisure time.",30,Jun-18,4,Pizze-riah
Vetromagia,Traditional Pizzeria but not only,Patio furniture need a bit renuval but nice location that serve traditional Italian pizza but also modified in compliance with taste of premises. ( Pizza with pineapple for example ).,40,Jun-18,4,Pizze-riah
gcxotf,La.mia pizza,Good combination of Napoli meeting Naija. The chicken suya as well as the suya pizza is a classico. Cold beer as well as decent selection of vino makes the place ideal for a weekend lunch in the open alfresco patio.,50,May-18,4,Pizze-riah
DebBubai,Sunday Funday Evening,"Excellent tasty pizza, good place to have a short evening hang out. Nice ambience, courteous staffs, a nice place....",40,Jun-18,4,Pizze-riah
Luca R,Nice place and not-so-bad pizza,"I had pizza here with a group of friends and it was not bad. It was not great, either. I think it is cooked in a traditional oven, but somehow it felt microwaved. Waiters are nice, but some of the clients (mostly white) are so...More",50,May-18,4,Pizze-riah
Andy M,Consistently Good- Delicious,"Best pizza in Lagos.  decent portion, great pizza selection, ice cold beer, spicy chilli oil, pretty good staff and a really pleasant beer garden.",50,Jun-17,4,Pizze-riah
Madgie M,Pizza lunch,"I had been meaning to visit this place for ages, having read many great reviews ( including on Trip Advisor). It wasn't busy when we arrived. We sat indoors ( I found it quite novel to eat on a sofa! Please note that this was...More",30,Feb-18,4,Pizze-riah
KITTAPPA,Fantastic Place!”,"if you really want to have Italian pizza in Lagos , it is ultimate restaurant 
wood fire pizza in clay oven    we make it  once in a week",40,Jan-18,4,Pizze-riah
654gabrielt,Best Pizza @ l'Italiana senza scherzi!,"After several trials and also in a take away, they deliver a really excellent pizza! Service and follow up is very casual but it corresponds to the ambiance. Do not expect 5* service to eat a pizza! Even in Naples, Southern Italy (THE house of...More",50,Jan-18,4,Pizze-riah
Robertsnov,Quick Lunch,"what else is there to say about Pizza Rhea ?? best place in Lagos for freshly made pizza ! Service was good as always , and the food was hot , tasty and quick",20,Sep-17,4,Pizze-riah
Robertsnov,Early lunch best in Lagos,"Have been here many times, went early on a Sunday, the place had literally just opened for the day. Service was excellent , pizza was as always the best in Lagos. i cannot praise the food enough here, it is simply the best place for...More",40,Jun-17,4,Pizze-riah
