author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
afomao2023,Sit out,Precious must go far. Her customer service is topnotch. Was she trained by a south African!!! I'll rate her the best.,35,Feb-23,3.5,Seven Eagles Spur
931judithu,Spur visit,"Dear Afomao2023,

Thank you so much for your review. We are so happy that Precious was so accommodating, and we'll be sure to pass on the kind words.

We look forward to having you dine with us again soon.

Kind regards, 
Spur Team",40,Feb-23,3.5,Seven Eagles Spur
608sane,ITEMS LISTED ON MENU BUT UNAVAILABLE,I think Precious in seven eagles deserves an award for excellent customer service. She made my experience at spur worthwhile,35,Nov-22,3.5,Seven Eagles Spur
SAN-ENTINES,POOR SERVICE TAKE-OUT,"Hi 931Judithu,

Thank you for your amazing review. We are delighted that your experience was a positive one and that the service from Precious.

We look forward to welcoming you again, soon.

Kind regards, 
Spur Team",35,Aug-21,3.5,Seven Eagles Spur
SAN-ENTINES,Being Sincere.,Kudos to Simi at Ikeja City Mall. Exceptional Customer service.  The Delivery guys were charging ridiculously high amounts. We ended up deciding to pick up as they were charging more than the food we were buying.More,40,Nov-21,3.5,Seven Eagles Spur
OLUSOJI O,Consistent Poor Service,"Dear 608Sane,

Thank you so much for your review. We are terribly sorry about your food and service experience.

We would like the opportunity to investigate this fully. Please follow the link so we can get in touch with you. https://spur2ng.goreview.co.za/goreview-crm?revid=uP8cjZ

We hope we can...More",40,Mar-21,3.5,Seven Eagles Spur
Litlewindmill,I would advise you not to,"Ordered for a beef burger got home and found Chicken patty. The mix up was DELIBERATE. Rather than ask if I would.opt for chicken they did a switch without informing me. Called and they said they'd run our of Beef Patries
 Never bothered visiting  againMore",30,Dec-20,3.5,Seven Eagles Spur
11erir,The Best,"Dear San-Entines,

Thank you for taking the time to send us your feedback. Please take a moment to send us your complaint and contact details through to our Customer Care team via the link https://spur2ng.goreview.co.za/goreview-crm?revid=UKy2is so that they may investigate and resolve this with the...More",20,Jan-20,3.5,Seven Eagles Spur
ayosuper,Good but could be Better,"Nice ambience, enthusiastic staff but it's amazing how on EVERY VISIT there's always an item or more not available. Seems customers now know them for this. Switched from the Ikeja City Mall branch to GRA. At Ikeja my take-out order was deliberately switched without telling...me but the fact is items listed are frequently unavailable. What's the re-order level ?More",30,Mar-20,3.5,Seven Eagles Spur
LordBodeOjuri,Pleasantly Surprised Service,"Hi San-Entinbes,

Thank you for bringing this to our attention. While we're happy to hear that our staff always provide you with great service,we are terribly sorry to know about the constant unavailable items.

Please share this review, along with your contact details with our...More",20,Dec-19,3.5,Seven Eagles Spur
Omelebele N,wonderful place,"This is my thrid experience here and the experience continues to get worse. Waited almost 1 hour today for breakfast (in a practically empty restaurant) with my family including my 87 year old mother in law. After several complaints, one out of 4 orders came...and it was wrong. I must admit the person who waited on us tried her best. I think her name is Tina or Rita. We had to leave and on the way out, one of the staff commented that we have not paid for the order that came wrong! That is the limit for me. NEVER AGAIN!!!More",20,Jul-18,3.5,Seven Eagles Spur
Desola o,Luscious,"Dear Olusoji O,

Thank you for bringing this to our attention. We take reviews very seriously and would really appreciate an opportunity to get in touch with you so that we may address your concerns. Kindly leave us your contact details, together with your concerns...More",50,Sep-18,3.5,Seven Eagles Spur
Tolulope F,Food was bland,"This place was swarming with flies, they ran out of fries and offered to serve my burger with rice, the service was painfully slow and even after I declined the ridiculousness of being served a burger with a side of rice, I was still billed...for it. I ordered a starter of chicken strips but ladies and gentlemen, find attached what I received. Flies had even swarmed  the meal before I had the time to make out what had been served.  I definitely will not be going back there and I would advise you not to.More",30,Sep-18,3.5,Seven Eagles Spur
darrenw226,Nice food but not enough,"Dear Litlewindmill,

Thank you for bringing this to our attention. Customer Service is extremely important to us and we are terribly sorry to read of your experience on your last visit. Please share this review, along with your contact details with our Customer Care team...More",50,Sep-18,3.5,Seven Eagles Spur
gionatav417,I like Spur!,"Whenever I go to Spurs I always get the BEST Service .Especially if you have a birthday, it is always fun",40,Dec-17,3.5,Seven Eagles Spur
sanniebonny,"Disappointed, food wasn’t that good","The food wasn’t that good, I and my partner got the Tiger prawns and buffalo wings respectively, and what we go is far from what we expected. The buffalo wings weren’t juicy and wasn’t so tasty, and the prawns didn’t taste fresh and didn’t taste...More",35,Dec-17,3.5,Seven Eagles Spur
KingOpe,"Burger, BBQ Sauce, Waffles","Every time I go here, I am always disappointed and always have to leave. First time I went, I wanted ice cream and waffles, they didn't have ice cream. 
Decided to give it another try when my friend said she was craving burgers, was seated...More",40,Mar-17,3.5,Seven Eagles Spur
Blaknite007,Lunch par excellence!,"Dear Opeyemi A,

Thank you for review of our family restaurant. We're so sorry to know that this was your experience. Please share this review, along with your contact details with our Customer Care team on customer-care@spurcorp.nl so that we may address your concerns with...More",35,Apr-17,3.5,Seven Eagles Spur
Ishola O,Hot,"Tasty meals served, very irresistible menu. had a meal everyone will like no matter your age or race! I enjoyed it!",35,Jun-17,3.5,Seven Eagles Spur
dejijolaoso,good value for money but a bit noisy,"Dear olusesan a,

Thank you for taking the time to send us your feedback. Nothing pleases us more than satisfying our customers. We look forward to welcoming you back soon.   

Kind regards,
Spur Family",20,Jan-17,3.5,Seven Eagles Spur
Litlewindmill,Really bad service and staff,"so guys this weekend i decided to visit spur at ICM. The interior is very beautiful and the decorations gives you an Indian, African feel. Although it was hot, they should improve on their ventilation system. I had the 1/4 chicken dish and the meat...More",20,Oct-16,3.5,Seven Eagles Spur
LiciaMerry,Pleasant,"Dear Ishola O,

Thank you for your rating of our Spur restaurant. Much appreciated, if there are any concerns you'd like to discuss please e-mail us on customer-care@spurcorp.nl. We hope to see you again soon. 

Many thanks, 
Spur Family",40,Jun-16,3.5,Seven Eagles Spur
Muzungu007,Great Staff - Senior Manmagement needs attention,"Great place friendliest staff.
Although sometimes service is a bit slow.
 Still one of the best places on the mainland",30,Jun-16,3.5,Seven Eagles Spur
Hardegun,Great Steak!!!,"Dear dejijolaoso,

Thank you so much for taking the time to review our family restaurant. We appreciate your feedback and hope to see you again, soon. 

Kind regards,
Spur Team",40,Jan-16,3.5,Seven Eagles Spur
SirBuddy100,very pleasant place,"Ok so I visited Spurs at Ikeja City Mall. The ambience was pretty cool, decor on point. It was crowded though. Their menu is pretty tight too. The problem here is the staff. Oh my goodness. I walked in with my friend and was told...More",20,Oct-15,3.5,Seven Eagles Spur
TitiDokubo,Scrumptious steaks,"Dear MissChizoba,

Thank you for bringing this to our attention. Customer Service is extremely important to us and we are terribly sorry to read of the level of service you received on your previous visit. Please share this review, along with your contact details with...More",30,Sep-15,3.5,Seven Eagles Spur
Seye B,"Good food, great milkshakes","It's a nice quiet place to have breakfast early in the morning. It gets a bit busier later in the day though (which is good for the business).
Staff are friendly (especially the one located at G.R.A, Isaac John).
Food is good - portions could...More",40,Mar-15,3.5,Seven Eagles Spur
Babalola O,A place to have great steaks!,"Dear LiciaMerry,

Thank you for taking the time to review our family restaurant. So happy to hear the food & service was a hit! We look forward having you back again, soon!

Kind Regards,
Spur Family.",30,May-15,3.5,Seven Eagles Spur
