author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
Kanma87,Birthday dinner,"Service was wonderful the food very tasty and the ambiance beautiful.Enjoyed every bit of it.
 Definitely coming back",45,Nov-20,4.5,The Blowfish Hotel
bajo111ng,GOOD SERVICES,thank you for an awesome review we look foward to hosting you again soon.once again happy birthday,40,Sep-20,4.5,The Blowfish Hotel
Bart_Boy_ID,Casual dinning,"Purple restaurant is always ready to serve you better 24/7 a day.
the restaurant has one of the best in terms of services render.",45,Oct-17,4.5,The Blowfish Hotel
margueritak,Superb,thank you for an awesome review,40,May-17,4.5,The Blowfish Hotel
Musa M,Great cuisine,"Great pleace for hangout and relax, at this restaurant u can get live music in night, with pool and great menu of restaurants..",50,Mar-17,4.5,The Blowfish Hotel
kito0905,Unique!! AMAZING!!!!!!,"The place is very charming, food and cocktails are great! highly recommended ! a good address for a nice evening",50,Feb-17,4.5,The Blowfish Hotel
Vania M,Nice experience - lots of choices for food,"if you re confused wish cuisine you feel like eating , Purple is the restaurant to go to , Continental, Nigerian, Thai, Indian and Lebanese food , all in one great restaurant with a great outdoor siting on the pool of Blowfish hotel. 
i can...eat there every day a huge variety with a great service.More",50,Jan-17,4.5,The Blowfish Hotel
beachbummer75,"Lovely setting, prompt service, amazing food","Simply wow!!! Usually when a restaurant offers different cuisines, one would think it's not a good sign. But seriously here, you eat Asian, Indian, Lebanese... and it's all sooo sooo DELICIOUS!! Very few places can do this so good. The chef is very talented and...the waiters make you feel like you're at home. Honestly, don't think don't hesitate, just eat here. It's mind blowing!!More",50,Dec-16,4.5,The Blowfish Hotel
Mohammedacyclo,Good food,"Big variety of food - thai, indian, lebanese, continental
Food is good, atmosphere is good, service is good.",50,Dec-16,4.5,The Blowfish Hotel
Flakey0933,Indian Food,"We sat outside facing the pool. The environment was pleasant for conversations, no loud music, breezy and the service staff  were pleasant.  

We had prawns and fried cheese for our 2 starters,  chicken and the pasta. All the food was tasty but we loved the...prawns best - fresh, tasty and value for money.   

The variety for main courses were limited though - many chicken options, limited choices of seafood and other meats. 

The wines were really expensive by glass - 2800 naira and we were given the wrong wine - a lower quality south african wine instead of Chilean wine which we were told at the start.   IT would be good to have at least 2 types of wines by glasses and a better price.More",50,Oct-16,4.5,The Blowfish Hotel
ruksabada,Cuisine Variety,"Nice ambiance. Heavy traffic, seems like an in place to be in Lagos. Trendy looking people. 

Have a lovely poolside seating area as well but I sat indoors found it a bit warm outside. 

My steak was excellent, rare to perfection. The salad was not...bad but not as great as the steak.More",50,Sep-16,4.5,The Blowfish Hotel
Yemi A,Food and music to recharge the soul,"Lamb Curry with Pilau rice made my day. Lets not forget the naan bread. Delicious!!!!
They also serve other cuisines Thai and Continental. Located very centrally in Victoria Island. Suitable for everyone as it is a very friendly environment.",40,Apr-16,4.5,The Blowfish Hotel
tIGN1,Nice variety,"Wide selection of Thai, Indian, Continental and Nigerian dishes at its best. Comes alive especially on thursday nights with an outstanding jazz event by the pool side.",50,Mar-16,4.5,The Blowfish Hotel
Rida_SF,Indian,"A hidden gem in Lagos. This little oasis in Lagos comes alive on a Thursday night to deliver an outstanding jazz event. The food is delightful, tickling the taste buds, with cuisine ranging from Italian, to Lebanese, through to Thai. Highly recommend this venue to...true foodies, resident or passing through Lagos.  Don't forget to order the Prawn spring rolls.More",50,Feb-16,4.5,The Blowfish Hotel
AdioB,Nice Indian cuisine,"Nice choice between continental, Indian and Thai where in the continental menu some nice Lebanese dishes are available. Seems all freshly made however nothing that really stroke my palate.
Staff is extremely friendly, as in 99.9% places here in NIgeria. Service is very good. The...room is a bit cold as the AC is always at max and it unfortunately drips on the tables positioned under the AC elements. 
Overall however, it's a nice place and food is decent.More",50,Jul-15,4.5,The Blowfish Hotel
Mademoiselle_Sanne,Diverse menu served at the poolside,"Nice setting, friendly staff and good menu. Have been here a few times and plan to come back. I tried some of the lebanese mezze and asian starters. Also enjoyed the burger which comes with a generous portion of crispy french fries. Reasonably priced considering...More",45,Feb-15,4.5,The Blowfish Hotel
kito0905,Fabulous!,"This hotel restaurant offers Thaï, Indian, European and Lebanese cuisine! Not only it is an achievement by itself to be able to provide different types of cuisine at one place, but also, and I tried different dishes, it is DELICIOUS!!!! Moreover, the place is cosy,...More",40,Jan-15,4.5,The Blowfish Hotel
KapilV611,"Italian, Indian , Thai : all at one place","Blow-fish Hotel's restaurant offers you indoor/outdoor seating with some very nice meal options from Europe(Italian) to South Asia (Indian) to East Asia (Thai) to Middle East (Lebanese).
I am a big fan of all the above four cuisines , having all four of them under...More",45,Sep-14,4.5,The Blowfish Hotel
