author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
Dher5,Loved this place!,"Absolutely loved the Jazzhole, full of atmosphere, very friendly staff and delicious cakes/drinks! Would love to return when they have an event on!",45,Feb-20,4.5,The Jazzhole
Lischen_Mueller32,Daytrip to booklover-heaven,"Used my trip to the Jazzhole as a way of saying comfy and safe while my friend went to the market - and it was more than worth it! They have a huge and diverse (you wouldn't believe!) collection of all kinds of books from...novels to history to cooking and art. Was lucky to find two short story collections about Lagos there - and almost finished both of them while munching on two pieces of the famous carrot cake (absolutely delicious and worth all the comments!).
Take your time when coming here as the books are scattered and only roughly sorted - and for just enjoying one of your purcharses while you listen to some Jazz! 
The record collection is also huge - was just more into the books.More",40,Oct-19,4.5,The Jazzhole
susanne o,Amazing records! State of the art books and a wonderful concert,They have amazing records and books. I always go there to get some. I also went for a music show with an international Icon Nneka. It was amazing.,40,Aug-19,4.5,The Jazzhole
KingOpe,Love!!!,"Book lovers ✔️
Music lovers ✔️
Coffee lovers ✔️
Baked goods lovers ✔️
I think you get the point... I’m assuming it’s first and only of it’s kind in Lagos, Nigeria
I was in book heaven!!!",40,Dec-18,4.5,The Jazzhole
Johnny-be-Good17,Very nice store but too expensive,"It is a bookshop and record store, not really a restaurant. Although you can get some drinks and snacks.
I would especially recommend this place for some crate digging and i was told that it is the best bookshop in Lagos. Sometimes there are also...lectures and other events of different artists. 
All in all a great place, but the prices are very high. The books will cost usually twice as much as you would have to pay at other shops in Nigeria. Still worth it, but keep that in mind!More",50,Aug-18,4.5,The Jazzhole
mstphy,Who Would Have Expected,"I went to Jazz Hole for the first time to see a movie. The Uber passed by it twice before my friend saw it.  Lots of records and CDs. So many books! Some old, some new. Very cool. Carrot cake and drinks at the back....The movie was good, but it was 45 minutes late beyond the advertised start time. The regulars seemed to know this would be the case and started arriving 30 minutes late.  The chairs were hard. The AC was on, but it was pretty warm.  N1500 for a 4:30pm (really 5:15pm) movie, so no need to rush to get there on time; plan to be late. If you're shopping for books, this is a great find.More",50,Apr-18,4.5,The Jazzhole
chris m,Dope!,"What  an ambient place to be in. If books and music is(are) your thing, then you absolutely need to pay this place a visit. They also have like a mini bistro out back, and if you're lucky, you might actually meet the baker making her...signature carrot cake.More",50,Jan-18,4.5,The Jazzhole
Colin N,Surprised to find this place!,"This small place is packed wall to wall with books, and music, vinyl and CDs. It has a great atmosphere and is like an archive of African music with old posters and information. There are a few tables and chairs at the back where you...can enjoy a decent coffee. Interesting music is playing all the time. Definitely a place to visit and to take young people to teach them about their musical heritage.More",40,Oct-17,4.5,The Jazzhole
foluke2016,THE place: a grungy ambience for bookworms and music lovers alike!,"Browse through books or even read them whilst enjoying  different background music from jazz to afrobeats, sipping away at your coffee or tea, maybe savouring a carrot cake!  
Spoilt for choice -  vinyl or CDs, paperbacks or hardbacks, international magazines...... also hosts live events, now...that is something!
Parking can be a bit of a challenge though if you don't have a driver. 
Staff is pleasant, but not very well informed regarding books available and prices.
Have been there several times and have recommended it to my expatriate friends as an insider tip! 

Would not call it a restaurant and do not feel it should be referred to as such!More",40,Apr-17,4.5,The Jazzhole
ViatorErrantis,Superstylish coffe,"Cool and charming place for a coffee or beer meanwhile some good music is playing around. What is remarkable is the great CD and vinyl collection, together with books surrounding the customers.",30,Mar-17,4.5,The Jazzhole
Michael M,Highly Recommended,"Very cool place to hangout for a coffee and listen to some good music. Great CDs and vinyl.  Owner has  a great selection and great taste in music.  Book selection is fantastic.  Would stay longer, but would have spent too much as there's sooooo much...I wanted.More",40,Mar-17,4.5,The Jazzhole
Ibadanboy,Nice!,"The Jazzhole used to be THE place to go for jazz music (CDs, vinyl, tapes, etc) back in the day. I remember spending hours here looking for stuf to buy. Still is a nice place to go to find jazz items.",50,Apr-16,4.5,The Jazzhole
saxxin-,Nostalgic!,"Jazzhole bears nostalgic memories of a once bustling outlet for Jazz buffs like one. Been here a couple of times over the years and have noted the steady decline and absence of prized stuff. Okay, that cannot be disconnected from a once bubbling national economy....There are a couple of books and literature but I really have to source contemporary CDs and DVDs of Jazz music when I travel out!More",40,Feb-16,4.5,The Jazzhole
ZurielKiru,The Jazzhole,"The Jazzhole has been around for a very long time and remained consistently relevant and true to its course. Rare and hard to find books, CDs & DVDs etc although a little more on the high side.

Located on ever busy Awolowo Road, Ikoyi (just...opposite the Warder's Barracks and near to Polo Park)More",50,Jan-16,4.5,The Jazzhole
Paul E,Eccentric Music and Literature Lounge,Loved it and could stay for hours. The owner is a large African mother who is warm and inviting. Their music collection (including records) is astounding for any music lover; like wise their literature collection from pan-African to German Chancellor Merkel's biography is worth exploring....Espresso and Carrot Cake with a good book!More,50,Jan-16,4.5,The Jazzhole
Adiba M,Great collection!,"CDs, books, vinyl.

I enjoyed my visit to Jazzhole. There are a few of sections ranging from Nigerian oldies to hip hop etc.

Some great vinyl pieces as well. There is a coffee shop and book store in the back.

It's worth stopping by if...More",45,Jan-16,4.5,The Jazzhole
Ijeoma S,Nice Place,"I was looking for a book I hadn't been able to find anywhere else in Lagos, and fortunately Jazzhole had it.",40,Nov-14,4.5,The Jazzhole
ijeh,An oasis from the feverish buzz of Lagos,"The jazzhole is situated in the middle of one of the busiest roads in Lagos, Awolowo road. There are no flashing neon lights or massive signs to signal you have reached you destination so you run the risk of missing it. 
The atmosphere is tranquil...More",40,Jul-15,4.5,The Jazzhole
chizmix,great selection of music and books,"the jazzhole, has been in Lagos for quite a few years. it prides itself on its selection of music, from jazz to classics to r'n'b. If you're looking for cd's definitely a place to visit. I go there for books. I'm very particular about books...More",40,Nov-14,4.5,The Jazzhole
ParagSen,Jazzhole is a delight to spend a few hours every now and then.,Kunle and his wife are a fab couple. Great hosts and a storehouse of knowledge in African music. Possibly the best collection of African music in this part of the world. They also have a handsome collection of non African music. And they promote upcoming...More,40,Oct-15,4.5,The Jazzhole
TheGreenBook2020,Black Libraries Matter,"Ironic , in the month where I had campaigned to keep London's Marcus Garvey Library alive, that I would stumble of this treasure trove of positive pan africanism.  with great ethiopian coffee to boot, and a live music set up",40,Sep-15,4.5,The Jazzhole
Michael Chima E,Only for the Noble,"Jazz Hole on Awolowo Road in Ikoyi, Lagos Island is more than a restaurant and bar, because it is an exclusive grove for noble intellectuals who respect the dignity and integrity of human creativity in arts and culture and jazz is the music of the...More",40,Jan-15,4.5,The Jazzhole
WangariB,"Art, Music, Books","If you love music and books, this is a must visit in Lagos. They have an amazing range of Nigerian music my favorite being the Fela tunes that were playing in the background. You can purchase coffee as you sit and read one of the...More",40,,4.5,The Jazzhole
Bch-ave,Great books and music,"I always visit Jazzhole when in Lagos for the unusual book, and the wide selection of music. I am never disappointed. All the classics are there, and contemporary ones too. Well worth the visit.",50,May-15,4.5,The Jazzhole
Ainoa R,The Jazz place of Sundays,"Since I discovered it one month ago, I try to don't miss any Jazz concert.

The environment is charming and invited artists are always great.

People working there make you feel like home.

Wide variety of teas, coffee and the warm carrot cake is mouthwatering....More",50,Apr-15,4.5,The Jazzhole
MathewF,Very nice café / bookshop /record shop,This is a real gem in Lagos. Run by a very nice women who has created a café/bookshop/record store with a nice atmosphere. The coffee is nice and there is a small selection of cakes. The book part is excellent! Lots of interesting both ranging...More,40,Oct-14,4.5,The Jazzhole
KayusYussuf,Love Jazz? Books? The Jazzhole is the Place,"If you want triple value for money, that is you want to eat, you want to read and you love some Jazz, then Jazzhole is a square peg in a round hole. Since I am planning a new family, I have started shopping for restaurants...More",40,Jul-14,4.5,The Jazzhole
