author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
joycebJ816WG,No atmosphere,As a book club Christmas meeting I thought this would be somewhere cool and different. It was not. The manager was not very pleasant and there was absolutely no atmosphere. It was very quiet. The younger barman was great and we had lovely cocktails but...won’t be back in a hurry.More,45,Dec-21,4.5,Vellvett Grill Lounge and Bar
bajo111ng,TOP NOTCH,my sincere apologies. vellett is a lounge and may have not been the most suitable place for a meeting. please accept our apologies. Thank you,45,Sep-20,4.5,Vellvett Grill Lounge and Bar
Ferdinandegbeji,Mr Ferdinand,"Vellvett is one of the best in Lagos in terms of louge, bar, Night club. i think they know how to make customer feel at home,",45,Sep-20,4.5,Vellvett Grill Lounge and Bar
tshako,fantastic,Thank you so much for this 5-star review. We really appreciate you being a customer and helping to share the word about us. We're here for you anytime.”,40,Oct-20,4.5,Vellvett Grill Lounge and Bar
jad117117,BEST NIGHT LIFE IN LAGOS,"Phenomenal experience. Top notch food, atmosphere, and wait staff. Have been here multiple times, and every time is an amazing experience all around, as the food is always superb. Definitely a lifetime customer!",45,Jul-20,4.5,Vellvett Grill Lounge and Bar
ORems,Had a good time,thank you so very much. we hope to see you back soon.,20,Apr-19,4.5,Vellvett Grill Lounge and Bar
ElusiveReviewer,A diamond in the rough ...,"it a nice bar. the music,foods,staffs and the DJ was wow. it a wonderful place to feel the groove when ever you feel like.",50,Jul-19,4.5,Vellvett Grill Lounge and Bar
Floxyb,A place u can't go in anyhow with having reservation,thank you so very much. we hope to see you back soon.,50,Jun-19,4.5,Vellvett Grill Lounge and Bar
619hakanu,Good taste,I had the best wildest and great experiences in Vellvett with my friends and colleagues. I recommend anyone who wants to have fun and enjoy to pass by,50,May-19,4.5,Vellvett Grill Lounge and Bar
explorerbysoul,Awesome Lebanese Food,thank you so very much. we hope to see you back soon.,50,Jan-19,4.5,Vellvett Grill Lounge and Bar
Ade703,Well worth the visit,"Went for a birthday hangout with friends. Courteous staff, serene environment, really nice food but quite pricey.",40,Jan-19,4.5,Vellvett Grill Lounge and Bar
Tomi10,Great Ambiance,thank you so very much. we hope to see you back soon.,50,Jul-18,4.5,Vellvett Grill Lounge and Bar
